countrycode,year,q,emp_cc,u25_cc,u25_all,n_cc,index
BRA,2021,4,782735.87,37.67,14.07,3832.0,102.34
BRA,2022,4,764869.89,34.39,14.8,4682.0,100.0
BRA,2023,4,783871.42,33.1,14.42,4643.0,102.48
BRA,2024,4,812094.16,32.29,14.29,5162.0,106.17
BRA,2025,4,796107.91,28.09,13.95,4984.0,104.08
COL,2022,4,203205.87,36.53,12.95,2706.0,100.0
COL,2023,4,231680.64,34.38,12.73,3014.0,114.01
COL,2024,4,246971.45,30.6,12.2,2944.0,121.54
COL,2025,4,273357.21,28.13,12.06,3283.0,134.52
ECU,2021,2,53303.85,21.2,16.93,604.0,131.15
ECU,2022,4,40642.7,20.53,16.33,946.0,100.0
ECU,2023,4,37365.78,20.4,16.24,853.0,91.94
ECU,2024,4,41845.08,16.07,15.51,1013.0,102.96
ECU,2025,4,41365.1,11.11,14.73,1004.0,101.78
MEX,2021,4,134821.25,28.01,15.94,1398.0,113.62
MEX,2022,4,118655.75,25.4,15.85,1264.0,100.0
MEX,2023,4,140431.75,25.66,15.57,1512.0,118.35
MEX,2024,4,125786.75,20.08,15.31,1336.0,106.01
MEX,2025,4,140646.5,19.71,14.62,1342.0,118.53
PER,2022,4,100406.13,28.35,16.12,719.0,100.0
PER,2023,4,93207.25,30.28,14.9,713.0,92.83
PER,2024,4,83428.81,31.74,14.2,623.0,83.09
PER,2025,4,94520.53,30.21,13.71,627.0,94.14
PHL,2021,4,670673.15,23.06,13.91,6683.0,72.22
PHL,2022,4,928650.11,23.36,13.31,8703.0,100.0
PHL,2023,4,1028917.02,20.92,12.66,9103.0,110.8
PHL,2024,4,1111376.66,17.41,11.8,9912.0,119.68
PHL,2025,3,1173842.0,15.56,11.58,4394.0,126.4
ZAF,2022,4,58839.62,19.38,6.45,177.0,100.0
ZAF,2023,4,60788.66,20.37,6.59,229.0,103.31
ZAF,2024,4,84549.76,14.05,6.4,329.0,143.7
ZAF,2025,4,102364.17,21.48,6.37,343.0,173.97
