group,yr,nq,n,emp_k,u25,u30,women,mean_age,index_2022
occ422,2021,2,73,346.628,10.838,40.393,42.661,34.315,68.647
occ422,2022,4,202,504.944,29.538,57.824,46.167,31.545,100.0
occ422,2023,4,202,512.648,22.783,46.991,48.544,32.733,101.526
occ422,2024,4,245,579.895,28.404,49.94,56.565,31.294,114.843
occ422,2025,4,1148,626.111,22.144,45.516,51.782,32.427,123.996
cler82,2021,2,227,631.051,17.106,35.208,23.067,39.441,104.234
cler82,2022,4,527,605.416,11.666,29.132,15.762,39.543,100.0
cler82,2023,4,588,648.272,13.585,33.501,15.558,39.068,107.079
cler82,2024,4,478,709.425,15.326,31.84,16.322,37.933,117.18
cler82,2025,4,2069,838.575,13.968,37.204,24.4,37.464,138.512
ind82,2021,2,518,1664.218,21.473,39.054,18.703,38.844,100.697
ind82,2022,4,1011,1652.706,14.271,34.004,21.61,38.438,100.0
ind82,2023,4,991,1563.707,13.567,30.254,17.882,38.537,94.615
ind82,2024,4,857,1616.184,15.112,35.059,22.853,37.597,97.79
ind82,2025,4,3992,1950.43,13.963,36.966,26.062,37.217,118.014
cler_all,2021,2,2228,8300.113,11.257,30.568,23.088,38.096,88.578
cler_all,2022,4,4873,9370.408,12.741,30.182,21.744,37.975,100.0
cler_all,2023,4,5069,10217.94,13.472,31.067,22.102,37.793,109.045
cler_all,2024,4,5152,10994.561,12.332,30.382,23.157,37.556,117.333
cler_all,2025,4,23193,10963.303,12.491,31.757,23.315,36.837,116.999
all,2021,2,77797,418067.658,11.379,23.579,26.136,40.09,96.83
all,2022,4,159763,431752.664,11.744,23.806,27.698,40.094,100.0
all,2023,4,167846,471885.685,11.961,23.558,31.487,40.103,109.295
all,2024,4,168773,482793.235,11.95,23.82,31.052,40.324,111.822
all,2025,4,782150,472133.509,11.47,23.166,31.102,40.316,109.353
