period,previous,variable,change,detail,share,country
2021Q2,2021Q1,meses,codes_added,"735,736,737",1.0,bol
2021Q2,2021Q1,meses,codes_removed,"732,733,734",1.0,bol
2021Q2,2021Q1,panel,codes_added,25,0.2071,bol
2021Q2,2021Q1,panel,codes_removed,21,0.185,bol
2021Q3,2021Q2,meses,codes_added,"738,739,740",1.0,bol
2021Q3,2021Q2,meses,codes_removed,"735,736,737",1.0,bol
2021Q3,2021Q2,panel,codes_added,26,0.2042,bol
2021Q3,2021Q2,panel,codes_removed,22,0.1874,bol
2021Q4,2021Q3,meses,codes_added,"741,742,743",1.0,bol
2021Q4,2021Q3,meses,codes_removed,"738,739,740",1.0,bol
2021Q4,2021Q3,panel,codes_added,27,0.2019,bol
2021Q4,2021Q3,panel,codes_removed,23,0.1913,bol
2022Q1,2021Q4,gestion,codes_added,2022,1.0,bol
2022Q1,2021Q4,gestion,codes_removed,2021,1.0,bol
2022Q1,2021Q4,meses,codes_added,"744,745,746",1.0,bol
2022Q1,2021Q4,meses,codes_removed,"741,742,743",1.0,bol
2022Q1,2021Q4,panel,codes_added,28,0.2033,bol
2022Q1,2021Q4,panel,codes_removed,24,0.19,bol
2022Q1,2021Q4,s2_64a,missing_share_jump,1.00 -> 0.84,,bol
2022Q1,2021Q4,s2_64a,codes_added,"1,2,3,4",1.0,bol
2022Q2,2022Q1,meses,codes_added,"747,748,749",1.0,bol
2022Q2,2022Q1,meses,codes_removed,"744,745,746",1.0,bol
2022Q2,2022Q1,panel,codes_added,29,0.2006,bol
2022Q2,2022Q1,panel,codes_removed,25,0.1957,bol
2022Q3,2022Q2,meses,codes_added,"750,751,752",1.0,bol
2022Q3,2022Q2,meses,codes_removed,"747,748,749",1.0,bol
2022Q3,2022Q2,panel,codes_added,30,0.2018,bol
2022Q3,2022Q2,panel,codes_removed,26,0.1948,bol
2022Q4,2022Q3,meses,codes_added,"753,754,755",1.0,bol
2022Q4,2022Q3,meses,codes_removed,"750,751,752",1.0,bol
2022Q4,2022Q3,panel,codes_added,31,0.2083,bol
2022Q4,2022Q3,panel,codes_removed,27,0.1907,bol
2023Q1,2022Q4,gestion,codes_added,2023,1.0,bol
2023Q1,2022Q4,gestion,codes_removed,2022,1.0,bol
2023Q1,2022Q4,meses,codes_added,"756,757,758",1.0,bol
2023Q1,2022Q4,meses,codes_removed,"753,754,755",1.0,bol
2023Q1,2022Q4,panel,codes_added,32,0.2025,bol
2023Q1,2022Q4,panel,codes_removed,28,0.1899,bol
2023Q2,2023Q1,meses,codes_added,"759,760,761",1.0,bol
2023Q2,2023Q1,meses,codes_removed,"756,757,758",1.0,bol
2023Q2,2023Q1,panel,codes_added,33,0.2049,bol
2023Q2,2023Q1,panel,codes_removed,29,0.1871,bol
2023Q3,2023Q2,meses,codes_added,"762,763,764",1.0,bol
2023Q3,2023Q2,meses,codes_removed,"759,760,761",1.0,bol
2023Q3,2023Q2,panel,codes_added,34,0.2066,bol
2023Q3,2023Q2,panel,codes_removed,30,0.188,bol
2023Q4,2023Q3,meses,codes_added,"765,766,767",1.0,bol
2023Q4,2023Q3,meses,codes_removed,"762,763,764",1.0,bol
2023Q4,2023Q3,panel,codes_added,35,0.2056,bol
2023Q4,2023Q3,panel,codes_removed,31,0.1918,bol
2024Q1,2023Q4,gestion,codes_added,2024,1.0,bol
2024Q1,2023Q4,gestion,codes_removed,2023,1.0,bol
2024Q1,2023Q4,meses,codes_added,"768,769,770",1.0,bol
2024Q1,2023Q4,meses,codes_removed,"765,766,767",1.0,bol
2024Q1,2023Q4,panel,codes_added,36,0.2117,bol
2024Q1,2023Q4,panel,codes_removed,32,0.185,bol
2024Q2,2024Q1,meses,codes_added,"771,772,773",1.0,bol
2024Q2,2024Q1,meses,codes_removed,"768,769,770",1.0,bol
2024Q2,2024Q1,panel,codes_added,37,0.2092,bol
2024Q2,2024Q1,panel,codes_removed,33,0.1854,bol
2024Q3,2024Q2,meses,codes_added,"774,775,776",1.0,bol
2024Q3,2024Q2,meses,codes_removed,"771,772,773",1.0,bol
2024Q3,2024Q2,panel,codes_added,38,0.2113,bol
2024Q3,2024Q2,panel,codes_removed,34,0.1864,bol
2024Q4,2024Q3,meses,codes_added,"777,778,779",1.0,bol
2024Q4,2024Q3,meses,codes_removed,"774,775,776",1.0,bol
2024Q4,2024Q3,panel,codes_added,39,0.2065,bol
2024Q4,2024Q3,panel,codes_removed,35,0.1826,bol
2025Q1,2024Q4,gestion,codes_added,2025,1.0,bol
2025Q1,2024Q4,gestion,codes_removed,2024,1.0,bol
2025Q1,2024Q4,meses,codes_added,"780,781,782",1.0,bol
2025Q1,2024Q4,meses,codes_removed,"777,778,779",1.0,bol
2025Q1,2024Q4,panel,codes_added,40,0.2114,bol
2025Q1,2024Q4,panel,codes_removed,36,0.1882,bol
2025Q2,2025Q1,meses,codes_added,"783,784,785",1.0,bol
2025Q2,2025Q1,meses,codes_removed,"780,781,782",1.0,bol
2025Q2,2025Q1,panel,codes_added,41,0.2099,bol
2025Q2,2025Q1,panel,codes_removed,37,0.1851,bol
2025Q3,2025Q2,meses,codes_added,"786,787,788",1.0,bol
2025Q3,2025Q2,meses,codes_removed,"783,784,785",1.0,bol
2025Q3,2025Q2,panel,codes_added,42,0.2165,bol
2025Q3,2025Q2,panel,codes_removed,38,0.1905,bol
2025Q4,2025Q3,meses,codes_added,"789,790,791",1.0,bol
2025Q4,2025Q3,meses,codes_removed,"786,787,788",1.0,bol
2025Q4,2025Q3,panel,codes_added,43,0.211,bol
2025Q4,2025Q3,panel,codes_removed,39,0.1823,bol
