period,previous,variable,change,detail,share,country
2021Q4,2021Q3,panelm,codes_added,"002,006,010,025,026,027",0.4906,ecu
2021Q4,2021Q3,panelm,codes_removed,"014,016,018,020,022,024",0.5165,ecu
2022Q1,2021Q4,panelm,codes_added,"001,005,009,029,032,035",0.4931,ecu
2022Q1,2021Q4,panelm,codes_removed,"013,015,017,019,021,023",0.5094,ecu
2022Q2,2022Q1,panelm,codes_added,"014,018,022,030,033,036",0.4926,ecu
2022Q2,2022Q1,panelm,codes_removed,"002,006,010,025,026,027",0.5069,ecu
2022Q3,2022Q2,panelm,codes_added,"013,015,017,019,021,023",0.4999,ecu
2022Q3,2022Q2,panelm,codes_removed,"001,005,009,029,032,035",0.5074,ecu
2022Q4,2022Q3,panelm,codes_added,"025,026,027,028,031,034",0.4935,ecu
2022Q4,2022Q3,panelm,codes_removed,"014,018,022,030,033,036",0.5001,ecu
2023Q1,2022Q4,panelm,codes_added,"029,032,035,037,041,042",0.4945,ecu
2023Q1,2022Q4,panelm,codes_removed,"013,015,017,019,021,023",0.5065,ecu
2023Q2,2023Q1,panelm,codes_added,"030,033,036,038,045,049",0.4926,ecu
2023Q2,2023Q1,panelm,codes_removed,"025,026,027,028,031,034",0.5055,ecu
2023Q3,2023Q2,panelm,codes_added,"039,043,044,046,048,050",0.485,ecu
2023Q3,2023Q2,panelm,codes_removed,"029,032,035,037,041,042",0.5074,ecu
2023Q4,2023Q3,panelm,codes_added,"028,031,034,040,047,051",0.4908,ecu
2023Q4,2023Q3,panelm,codes_removed,"030,033,036,038,045,049",0.515,ecu
2024Q1,2023Q4,panelm,codes_added,"037,041,042,053,056,059",0.4925,ecu
2024Q1,2023Q4,panelm,codes_removed,"039,043,044,046,048,050",0.5092,ecu
2024Q2,2024Q1,panelm,codes_added,"038,045,049,054,057,060",0.4912,ecu
2024Q2,2024Q1,panelm,codes_removed,"028,031,034,040,047,051",0.5075,ecu
2024Q3,2024Q2,panelm,codes_added,"039,043,044,046,048,050",0.4981,ecu
2024Q3,2024Q2,panelm,codes_removed,"037,041,042,053,056,059",0.5088,ecu
2024Q4,2024Q3,panelm,codes_added,"040,047,051,052,055,058",0.4935,ecu
2024Q4,2024Q3,panelm,codes_removed,"038,045,049,054,057,060",0.5019,ecu
2025Q1,2024Q4,panelm,codes_added,"053,056,059,062,063,064",0.4924,ecu
2025Q1,2024Q4,panelm,codes_removed,"039,043,044,046,048,050",0.5065,ecu
2025Q2,2025Q1,panelm,codes_added,"054,057,060,065,066,067",0.4922,ecu
2025Q2,2025Q1,panelm,codes_removed,"040,047,051,052,055,058",0.5076,ecu
2025Q3,2025Q2,panelm,codes_added,"068,069,070,071,072,073",0.4862,ecu
2025Q3,2025Q2,panelm,codes_removed,"053,056,059,062,063,064",0.5078,ecu
2025Q4,2025Q3,panelm,codes_added,"052,055,058,074,075,076",0.4913,ecu
2025Q4,2025Q3,panelm,codes_removed,"054,057,060,065,066,067",0.5138,ecu
2026Q1,2025Q4,panelm,codes_added,"062,063,064,077,081,085",0.4933,ecu
2026Q1,2025Q4,panelm,codes_removed,"068,069,070,071,072,073",0.5087,ecu
