period,previous,variable,change,detail,share,country
2021Q2,2021Q1,nsc,codes_added,24,0.0066,ind
2021Q2,2021Q1,nsc,codes_removed,"11,23,29",0.0126,ind
2021Q2,2021Q1,nss,codes_removed,15,0.0022,ind
2021Q2,2021Q1,qtr,codes_added,Q8,1.0,ind
2021Q2,2021Q1,qtr,codes_removed,Q7,1.0,ind
2021Q2,2021Q1,st,codes_removed,31,0.002,ind
2021Q3,2021Q2,nsc,codes_added,"23,32",0.015,ind
2021Q3,2021Q2,nsc,codes_removed,"26,7",0.0105,ind
2021Q3,2021Q2,nss,codes_added,16,0.0087,ind
2021Q3,2021Q2,nss,codes_removed,13,0.0063,ind
2021Q3,2021Q2,panel,codes_added,P3,1.0,ind
2021Q3,2021Q2,panel,codes_removed,P2,1.0,ind
2021Q3,2021Q2,qtr,codes_added,Q1,1.0,ind
2021Q3,2021Q2,qtr,codes_removed,Q8,1.0,ind
2021Q3,2021Q2,st,codes_added,31,0.002,ind
2021Q4,2021Q3,nsc,codes_added,"11,13,29",0.0105,ind
2021Q4,2021Q3,nsc,codes_removed,"15,23,32",0.0158,ind
2021Q4,2021Q3,nss,codes_added,15,0.003,ind
2021Q4,2021Q3,nss,codes_removed,16,0.0087,ind
2021Q4,2021Q3,qtr,codes_added,Q2,1.0,ind
2021Q4,2021Q3,qtr,codes_removed,Q1,1.0,ind
2022Q1,2021Q4,ahr1,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ahr1,codes_added,"0,1,2,3,4,5",1.0,ind
2022Q1,2021Q4,ahr2,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ahr2,codes_added,"0,1,2,3,4,5",1.0,ind
2022Q1,2021Q4,ahr3,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ahr3,codes_added,"0,1,2,3,4,5",1.0,ind
2022Q1,2021Q4,ahr4,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ahr4,codes_added,"0,1,2,3,4,5",1.0,ind
2022Q1,2021Q4,ahr5,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ahr5,codes_added,"0,1,2,3,4,5",1.0,ind
2022Q1,2021Q4,ahr6,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ahr6,codes_added,"0,1,2,3,4,5",1.0,ind
2022Q1,2021Q4,ahr7,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ahr7,codes_added,"0,1,2,3,4,5",1.0,ind
2022Q1,2021Q4,ern11,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,ern12,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,ern13,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,ern14,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,ern15,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,ern16,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,ern17,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,ern21,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ern21,codes_added,"0,100,150,180,190,193,200,220,250,297,300,350,400,500,700",1.0,ind
2022Q1,2021Q4,ern22,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ern22,codes_added,"0,100,150,180,190,193,200,220,250,300,350,400,500,700,750,800",1.0,ind
2022Q1,2021Q4,ern23,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ern23,codes_added,"0,100,150,180,190,193,200,210,220,250,297,300,350,400,500,700",1.0,ind
2022Q1,2021Q4,ern24,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ern24,codes_added,"0,180,190,193,200,210,220,230,250,265,300,350,400,50,500,700,750",1.0,ind
2022Q1,2021Q4,ern25,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ern25,codes_added,"0,100,150,180,190,193,200,210,230,250,297,300,350,400,450,500,700",1.0,ind
2022Q1,2021Q4,ern26,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ern26,codes_added,"0,100,150,180,190,193,200,210,220,250,265,297,300,400,450,500,700,750,800",1.0,ind
2022Q1,2021Q4,ern27,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,ern27,codes_added,"0,100,150,180,190,193,200,210,220,250,265,300,350,400,500,700",1.0,ind
2022Q1,2021Q4,ern_reg,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,ern_self,kind_changed,codes -> continuous,,ind
2022Q1,2021Q4,hr1,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,hr1,codes_added,"0,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9",1.0,ind
2022Q1,2021Q4,hr2,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,hr2,codes_added,"0,1,10,11,12,13,14,15,16,2,20,3,4,5,6,7,8,9",1.0,ind
2022Q1,2021Q4,hr3,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,hr3,codes_added,"0,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9",1.0,ind
2022Q1,2021Q4,hr4,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,hr4,codes_added,"0,1,10,11,12,13,14,15,16,2,20,3,4,5,6,7,8,9",1.0,ind
2022Q1,2021Q4,hr5,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,hr5,codes_added,"0,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9",1.0,ind
2022Q1,2021Q4,hr6,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,hr6,codes_added,"0,1,10,11,12,13,14,15,16,2,20,3,4,5,6,7,8,9",1.0,ind
2022Q1,2021Q4,hr7,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,hr7,codes_added,"0,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9",1.0,ind
2022Q1,2021Q4,no_qtr,missing_share_jump,1.00 -> 0.00,,ind
2022Q1,2021Q4,no_qtr,codes_added,4,1.0,ind
2022Q1,2021Q4,nsc,codes_added,"31,32",0.0078,ind
2022Q1,2021Q4,nsc,codes_removed,"11,13,29,3,5,9",0.0145,ind
2022Q1,2021Q4,nss,codes_added,16,0.0071,ind
2022Q1,2021Q4,plfs_release,codes_added,cy2022,1.0,ind
2022Q1,2021Q4,plfs_release,codes_removed,cy2021,1.0,ind
