countrycode,int_month,hhid,pid,rotation_group,visit_no,urban,subnatid1,educat7,lstatus,potential_lf,underemployment,nlfreason,empstat,ocusec,industrycat_isic,occup_isco,wage_no_compen,whours,contract,socialsec,firmsize_l,tenure_months,tenure_lt12
ARG,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,99.8,0.0,49.8,44.7,100.0,100.0,100.0,99.7,80.9,95.7,0.0,73.2,79.8,92.2,92.2
BRA,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.0,52.7,41.9,100.0,100.0,100.0,100.0,99.7,100.0,100.0,54.3,80.2,100.0,100.0
COL,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,10.4,38.8,100.0,100.0,100.0,100.0,53.3,100.0,100.0,98.4,0.0,100.0,100.0
ECU,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,61.3,0.0,100.0,100.0,100.0,100.0,60.0,100.0,49.5,100.0,100.0,100.0,100.0
GEO,100.0,100.0,100.0,100.0,0.0,100.0,100.0,99.8,100.0,46.9,45.0,46.9,100.0,100.0,100.0,100.0,0.0,92.6,63.4,76.1,91.5,0.0,0.0
IND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,45.3,46.0,100.0,0.0,100.0,100.0,76.1,88.6,0.0,0.0,0.0,0.0,0.0
MEX,25.7,100.0,100.0,0.0,100.0,100.0,100.0,99.9,100.0,39.5,58.6,39.5,100.0,95.8,99.2,99.9,70.4,96.2,69.1,99.2,0.0,26.5,26.5
NGA,100.0,100.0,100.0,0.0,0.0,100.0,100.0,90.2,100.0,19.7,76.5,17.2,100.0,100.0,98.6,98.5,0.0,97.6,12.3,12.3,0.0,74.4,74.4
PER,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,31.7,64.3,31.7,100.0,48.8,100.0,100.0,100.0,97.8,0.0,100.0,99.6,0.0,0.0
PHL,100.0,100.0,100.0,0.0,0.0,74.8,100.0,100.0,100.0,0.0,58.1,38.5,100.0,100.0,100.0,100.0,57.5,99.3,0.0,0.0,0.0,0.0,0.0
URY,100.0,100.0,100.0,100.0,69.5,100.0,100.0,100.0,100.0,0.0,54.1,41.3,100.0,100.0,99.9,100.0,0.0,100.0,0.0,100.0,0.0,20.6,20.6
ZAF,0.0,100.0,100.0,0.0,0.0,100.0,100.0,98.8,100.0,49.1,34.2,49.1,100.0,77.5,100.0,98.3,0.0,97.9,82.7,80.4,94.1,99.6,99.6
