countrycode,period,kind,metric,value,previous,change,threshold,issue
GEO,2021Q2,jump,lfpr,51.423,48.325,3.098,3.0,participation rate 15+ changed by +3.1 pts
GEO,2021Q2,jump,miss_whours_pct,5.652,16.239,-10.587,10.0,hours missing among employed changed by -10.6 pts
IND,2021Q2,jump,ur,9.343,6.204,3.139,3.0,unemployment rate 15+ changed by +3.1 pts
IND,2021Q2,level,month_outside_pct,37.988,,,5.0,interview month outside the quarter
IND,2021Q3,jump,isco3_pct,100.0,85.03,14.97,10.0,employed with 3+ ISCO digits changed by +15.0 pts
IND,2021Q3,level,month_outside_pct,60.683,,,5.0,interview month outside the quarter
IND,2022Q1,jump,miss_wage_pct,13.312,100.0,-86.688,10.0,wage missing among employed changed by -86.7 pts
IND,2022Q1,jump,miss_whours_pct,0.802,100.0,-99.198,10.0,hours missing among employed changed by -99.2 pts
IND,2025Q1,jump,n_rows,289926.0,102891.0,181.78,30.0,sample size changed by +181.8%
IND,2025Q2,jump,n_rows,570805.0,289926.0,96.88,30.0,sample size changed by +96.9%
MEX,2021Q2,jump,miss_tenure_pct,100.0,0.761,99.239,10.0,tenure missing among employed changed by +99.2 pts
MEX,2022Q1,jump,miss_tenure_pct,0.856,100.0,-99.144,10.0,tenure missing among employed changed by -99.1 pts
MEX,2022Q2,jump,miss_tenure_pct,100.0,0.856,99.144,10.0,tenure missing among employed changed by +99.1 pts
MEX,2023Q1,jump,miss_tenure_pct,0.79,100.0,-99.21,10.0,tenure missing among employed changed by -99.2 pts
MEX,2023Q2,jump,miss_tenure_pct,100.0,0.79,99.21,10.0,tenure missing among employed changed by +99.2 pts
MEX,2024Q1,jump,miss_tenure_pct,0.875,100.0,-99.125,10.0,tenure missing among employed changed by -99.1 pts
MEX,2024Q2,jump,miss_tenure_pct,100.0,0.875,99.125,10.0,tenure missing among employed changed by +99.1 pts
MEX,2025Q1,jump,miss_tenure_pct,1.335,100.0,-98.665,10.0,tenure missing among employed changed by -98.7 pts
MEX,2025Q2,jump,miss_tenure_pct,100.0,1.335,98.665,10.0,tenure missing among employed changed by +98.7 pts
MEX,2026Q1,jump,miss_tenure_pct,1.327,100.0,-98.673,10.0,tenure missing among employed changed by -98.7 pts
MEX,2026Q2,jump,miss_tenure_pct,100.0,1.327,98.673,10.0,tenure missing among employed changed by +98.7 pts
NGA,2024Q3,jump,agri_pct,34.059,26.079,7.98,5.0,agriculture share of the employed changed by +8.0 pts
NGA,2024Q3,jump,miss_tenure_pct,5.055,99.845,-94.789,10.0,tenure missing among employed changed by -94.8 pts
NGA,2025Q1,jump,urban_pct,52.946,58.119,-5.173,5.0,urban share changed by -5.2 pts
NGA,2025Q2,level,miss_isic_pct,7.608,,,5.0,industry missing among the employed
NGA,2025Q2,level,miss_occup_pct,7.608,,,5.0,occupation missing among the employed
PHL,2021Q3,jump,employee_pct,67.09,61.013,6.077,5.0,employee share of the employed changed by +6.1 pts
PHL,2021Q3,jump,lfpr,59.412,63.234,-3.822,3.0,participation rate 15+ changed by -3.8 pts
PHL,2021Q3,jump,n_rows,739533.0,185882.0,297.851,30.0,sample size changed by +297.9%
PHL,2021Q4,jump,lfpr,62.627,59.412,3.215,3.0,participation rate 15+ changed by +3.2 pts
PHL,2021Q4,jump,n_rows,184896.0,739533.0,-74.998,30.0,sample size changed by -75.0%
PHL,2022Q1,jump,n_rows,728560.0,184896.0,294.038,30.0,sample size changed by +294.0%
PHL,2022Q2,jump,n_rows,181695.0,728560.0,-75.061,30.0,sample size changed by -75.1%
PHL,2023Q3,jump,employee_pct,67.749,61.548,6.202,5.0,employee share of the employed changed by +6.2 pts
PHL,2023Q3,jump,lfpr,60.035,65.123,-5.088,3.0,participation rate 15+ changed by -5.1 pts
PHL,2023Q3,jump,n_rows,709177.0,178310.0,297.721,30.0,sample size changed by +297.7%
PHL,2023Q4,jump,lfpr,63.946,60.035,3.911,3.0,participation rate 15+ changed by +3.9 pts
PHL,2023Q4,jump,n_rows,176194.0,709177.0,-75.155,30.0,sample size changed by -75.2%
PHL,2024Q1,jump,n_rows,698660.0,176194.0,296.529,30.0,sample size changed by +296.5%
PHL,2024Q2,jump,n_rows,172568.0,698660.0,-75.3,30.0,sample size changed by -75.3%
URY,2021Q4,jump,miss_tenure_pct,76.941,48.194,28.746,10.0,tenure missing among employed changed by +28.7 pts
URY,2021Q4,jump,n_rows,52379.0,23167.0,126.093,30.0,sample size changed by +126.1%
