term,coef,se,n_cells,n_clusters,subset
post_x_treat,0.02687436334569431,0.012470156558607172,41130,479,all
post_x_treat_x_young,0.009753759170499546,0.011768451169411708,41130,479,all
post_x_treat,0.03662812251619389,0.01569471108941515,16812,269,young
post_x_treat,0.02687436334569433,0.012470004959585123,24318,479,older
post_x_treat,0.013935770835644113,0.022925287986281326,2376,31,country_ARG
post_x_treat,0.03842666180050059,0.02183328562378026,12240,111,country_BRA
post_x_treat,-0.021802046559031233,0.033346078047515354,8892,101,country_COL
post_x_treat,-0.06309001804431293,0.024241439403742654,5130,82,country_ECU
post_x_treat,0.02979901562808846,0.020255070019999016,5796,39,country_MEX
post_x_treat,0.10259250263218685,0.0441492965163401,4860,69,country_PER
post_x_treat,0.040150830349869646,0.04260823174554404,1836,46,country_ZAF
