term,coef,se,n_cells,n_clusters,subset
post_x_treat,0.02242955649007341,0.013347540625846557,46719,504,all
post_x_treat_x_young,0.006965375412873939,0.013578581430626981,46719,504,all
post_x_treat,0.0293949319029474,0.019432361475311615,18995,269,young
post_x_treat,0.02242955649007339,0.013347397772855716,27724,504,older
post_x_treat,-0.014204679075576855,0.03783837135689442,2772,31,country_ARG
post_x_treat,0.030329232459549972,0.02368143777958041,14960,111,country_BRA
post_x_treat,-0.024762764016105825,0.030569962615843747,8892,101,country_COL
post_x_treat,-0.08028329381534903,0.028705442788604145,5415,82,country_ECU
post_x_treat,-0.00525266400648272,0.095127981998864,900,25,country_GEO
post_x_treat,0.03180758445876653,0.021721215162015892,7084,39,country_MEX
post_x_treat,0.10465925654901062,0.04437869037303918,4860,69,country_PER
post_x_treat,0.030165988115623436,0.041755876500904746,1836,46,country_ZAF
