term,coef,se,n_cells,n_clusters,subset
post_x_treat,0.01822615996615717,0.01960043972085759,59536,655,all
post_x_treat_x_young,0.009633007888874466,0.015805327399793675,59536,655,all
post_x_treat,0.027859167855031685,0.017664618230382168,24023,349,young
post_x_treat,0.018226159966157153,0.019600275107419914,35513,655,older
post_x_treat,-0.016517921105074555,0.03527521505659003,2835,31,country_ARG
post_x_treat,0.004048137556623914,0.04026833977631753,2960,36,country_BOL
post_x_treat,0.030329232459549972,0.02368143777958041,14960,111,country_BRA
post_x_treat,-0.024762764016105825,0.030569962615843747,8892,101,country_COL
post_x_treat,-0.08028329381534903,0.028705442788604145,5415,82,country_ECU
post_x_treat,-0.00525266400648272,0.095127981998864,900,25,country_GEO
post_x_treat,0.03180758445876653,0.021721215162015892,7084,39,country_MEX
post_x_treat,0.10465925654901062,0.04437869037303918,4860,69,country_PER
post_x_treat,0.008021138082086586,0.08886963687141755,5510,40,country_PHL
post_x_treat,-0.0380308150165491,0.02687710707297022,4284,75,country_URY
post_x_treat,0.030165988115623436,0.041755876500904746,1836,46,country_ZAF
