term,coef,se,n_cells,n_clusters,subset
post_x_treat,0.016576254939268183,0.022865833337135554,59536,655,all
post_x_treat_x_young,-0.004438828220894312,0.018205073004725885,59536,655,all
post_x_treat,0.012137426718373846,0.017887084024253888,24023,349,young
post_x_treat,0.016576254939268162,0.02286564129943202,35513,655,older
post_x_treat,0.001774292868249177,0.03640309443561909,2835,31,country_ARG
post_x_treat,-0.02210871168049309,0.03715200861244109,2960,36,country_BOL
post_x_treat,0.013621045562665092,0.02321154419295431,14960,111,country_BRA
post_x_treat,-0.02839134706808818,0.033777862499319335,8892,101,country_COL
post_x_treat,-0.11278378831984154,0.02907524846509464,5415,82,country_ECU
post_x_treat,0.08558405854025881,0.08588672366776219,900,25,country_GEO
post_x_treat,0.017678538658680444,0.02066783051305267,7084,39,country_MEX
post_x_treat,0.06283555463210676,0.05051036421629945,4860,69,country_PER
post_x_treat,0.04338487448672066,0.09104410454079001,5510,40,country_PHL
post_x_treat,-0.05076714872423633,0.03130985697932697,4284,75,country_URY
post_x_treat,0.037080206241292664,0.06400699252982699,1836,46,country_ZAF
