term,coef,se,n_cells,n_clusters,subset
post_x_treat,0.12054922372314517,0.03929629687603465,38877,433,all
post_x_treat_x_young,0.06378409819051267,0.046913087661529594,38877,433,all
post_x_treat,0.18433332191365787,0.053603528993199874,16439,261,young
post_x_treat,0.12054922372314512,0.039295791467175906,22438,433,older
post_x_treat,0.048122852184786985,0.07104964821504822,2244,31,country_ARG
post_x_treat,0.17184572555695918,0.05890076013444922,12240,111,country_BRA
post_x_treat,-0.01565320602109823,0.11064011988416698,8892,101,country_COL
post_x_treat,-0.2657838736088413,0.09389172652997628,4845,82,country_ECU
post_x_treat,0.14212110488544538,0.0738553496975785,5796,39,country_MEX
post_x_treat,0.361762560740896,0.16353754221012176,4860,69,country_PER
