term,coef,se,n_cells,n_clusters,subset
post_x_treat,-0.0016474924064173626,0.0029617161466278766,35807,410,all
post_x_treat_x_young,-0.009248868231285241,0.007833436268584138,35807,410,all
post_x_treat,-0.01089636063770259,0.007687842316160165,14297,236,young
post_x_treat,-0.001647492406417369,0.0029616747885199426,21510,410,older
post_x_treat,0.003690568494077513,0.004132583441707934,2772,31,country_ARG
post_x_treat,-0.009082837926535959,0.004377331832005698,14960,111,country_BRA
post_x_treat,-0.008975479542241451,0.009366979527252314,8892,101,country_COL
post_x_treat,0.010329855787173997,0.007246050181363988,5415,82,country_ECU
post_x_treat,0.015037603870272895,0.006211978064998156,1932,39,country_MEX
post_x_treat,0.014487528147356845,0.008771827487043403,1836,46,country_ZAF
