term,coef,se,n_cells,n_clusters,subset
post_x_treat,-0.006481903281307398,0.0022518226831243922,35807,410,all
post_x_treat_x_young,-0.003441715582754151,0.004748513228976251,35807,410,all
post_x_treat,-0.00992361886406154,0.00485836558300071,14297,236,young
post_x_treat,-0.006481903281307403,0.002251791238137436,21510,410,older
post_x_treat,-0.0006616481100320003,0.004314611622081492,2772,31,country_ARG
post_x_treat,-0.011107136310087163,0.0032065837976404045,14960,111,country_BRA
post_x_treat,-0.007415026218720354,0.00615710596314807,8892,101,country_COL
post_x_treat,0.007517285017330575,0.003676051221196568,5415,82,country_ECU
post_x_treat,0.002361326700985465,0.007143299976481371,1932,39,country_MEX
post_x_treat,0.008560813789489537,0.008101501378503819,1836,46,country_ZAF
