countrycode,period,variable,category,share,d_prev,d_next,flag
PER,2022Q1,educat7,1,3.4641243745814108,,-0.1304712797936678,
PER,2022Q2,educat7,1,3.333653094787743,-0.1304712797936678,-0.009037546127705465,
PER,2022Q3,educat7,1,3.3246155486600375,-0.009037546127705465,0.13207167657329366,
PER,2022Q4,educat7,1,3.456687225233331,0.13207167657329366,-0.35106206276094554,
PER,2023Q1,educat7,1,3.1056251624723856,-0.35106206276094554,0.028295581202642417,
PER,2023Q2,educat7,1,3.133920743675028,0.028295581202642417,0.02043702700023209,
PER,2023Q3,educat7,1,3.15435777067526,0.02043702700023209,-0.0036263866067827166,
PER,2023Q4,educat7,1,3.1507313840684774,-0.0036263866067827166,-0.10833583051543094,
PER,2024Q1,educat7,1,3.0423955535530465,-0.10833583051543094,0.0053039626135897855,
PER,2024Q2,educat7,1,3.0476995161666363,0.0053039626135897855,0.04493628191529275,
PER,2024Q3,educat7,1,3.092635798081929,0.04493628191529275,-0.11529195732175879,
PER,2024Q4,educat7,1,2.9773438407601702,-0.11529195732175879,0.024241617435231788,
PER,2025Q1,educat7,1,3.001585458195402,0.024241617435231788,0.13065679554029552,
PER,2025Q2,educat7,1,3.1322422537356975,0.13065679554029552,-0.03123753175015498,
PER,2025Q3,educat7,1,3.1010047219855426,-0.03123753175015498,-0.17278896955861,
PER,2025Q4,educat7,1,2.9282157524269325,-0.17278896955861,-0.11345492570696081,
PER,2026Q1,educat7,1,2.8147608267199717,-0.11345492570696081,0.0001580477395459745,
PER,2026Q2,educat7,1,2.8149188744595177,0.0001580477395459745,,
PER,2022Q1,educat7,2,8.340075338204022,,0.061956462554237035,
PER,2022Q2,educat7,2,8.402031800758259,0.061956462554237035,-0.35967429437629406,
PER,2022Q3,educat7,2,8.042357506381965,-0.35967429437629406,-0.14940838349595253,
PER,2022Q4,educat7,2,7.892949122886012,-0.14940838349595253,0.4431748308322021,
PER,2023Q1,educat7,2,8.336123953718214,0.4431748308322021,0.14391830077627077,
PER,2023Q2,educat7,2,8.480042254494485,0.14391830077627077,-0.3022890098631219,
PER,2023Q3,educat7,2,8.177753244631363,-0.3022890098631219,0.007561273908835986,
PER,2023Q4,educat7,2,8.1853145185402,0.007561273908835986,0.15643792517527544,
PER,2024Q1,educat7,2,8.341752443715475,0.15643792517527544,-0.15510610007250136,
PER,2024Q2,educat7,2,8.186646343642973,-0.15510610007250136,-0.11204318310776351,
PER,2024Q3,educat7,2,8.07460316053521,-0.11204318310776351,0.0880576280847194,
PER,2024Q4,educat7,2,8.16266078861993,0.0880576280847194,-0.33451096511979994,
PER,2025Q1,educat7,2,7.828149823500129,-0.33451096511979994,0.06696810298258438,
PER,2025Q2,educat7,2,7.895117926482714,0.06696810298258438,-0.2090599447040713,
PER,2025Q3,educat7,2,7.686057981778642,-0.2090599447040713,0.1535883095793178,
PER,2025Q4,educat7,2,7.83964629135796,0.1535883095793178,0.006728274270895618,
PER,2026Q1,educat7,2,7.846374565628856,0.006728274270895618,-0.03020390878200807,
PER,2026Q2,educat7,2,7.816170656846848,-0.03020390878200807,,
PER,2022Q1,educat7,3,8.827201719171358,,0.01981403061300746,
PER,2022Q2,educat7,3,8.847015749784365,0.01981403061300746,-0.006537640227099573,
PER,2022Q3,educat7,3,8.840478109557266,-0.006537640227099573,-0.20295991031327176,
PER,2022Q4,educat7,3,8.637518199243994,-0.20295991031327176,0.0034701167047703763,
PER,2023Q1,educat7,3,8.640988315948764,0.0034701167047703763,0.0398509274594403,
PER,2023Q2,educat7,3,8.680839243408204,0.0398509274594403,0.136108665492916,
PER,2023Q3,educat7,3,8.81694790890112,0.136108665492916,-0.1332230612753218,
PER,2023Q4,educat7,3,8.683724847625799,-0.1332230612753218,-0.0037931942736868507,
PER,2024Q1,educat7,3,8.679931653352112,-0.0037931942736868507,0.24586647169654618,
PER,2024Q2,educat7,3,8.925798125048658,0.24586647169654618,-0.06401648976379093,
PER,2024Q3,educat7,3,8.861781635284867,-0.06401648976379093,-0.060512320084107785,
PER,2024Q4,educat7,3,8.80126931520076,-0.060512320084107785,0.33651836599617013,
PER,2025Q1,educat7,3,9.13778768119693,0.33651836599617013,-0.2570580261910198,
PER,2025Q2,educat7,3,8.88072965500591,-0.2570580261910198,-0.027175900873308123,
PER,2025Q3,educat7,3,8.853553754132601,-0.027175900873308123,0.01931958513710441,
PER,2025Q4,educat7,3,8.872873339269706,0.01931958513710441,0.09440775301985482,
PER,2026Q1,educat7,3,8.96728109228956,0.09440775301985482,-0.15799617379368947,
PER,2026Q2,educat7,3,8.809284918495871,-0.15799617379368947,,
PER,2022Q1,educat7,4,16.19235768829593,,0.990240103987837,
PER,2022Q2,educat7,4,17.18259779228377,0.990240103987837,0.21485209043508036,
PER,2022Q3,educat7,4,17.39744988271885,0.21485209043508036,0.44959224078879245,
PER,2022Q4,educat7,4,17.84704212350764,0.44959224078879245,-1.8636968403658098,
PER,2023Q1,educat7,4,15.983345283141832,-1.8636968403658098,0.3294433441899276,
PER,2023Q2,educat7,4,16.31278862733176,0.3294433441899276,0.8413787609276895,
PER,2023Q3,educat7,4,17.15416738825945,0.8413787609276895,0.280641594925207,
PER,2023Q4,educat7,4,17.434808983184656,0.280641594925207,-1.460544287779678,
PER,2024Q1,educat7,4,15.974264695404978,-1.460544287779678,0.4875169196669429,
PER,2024Q2,educat7,4,16.46178161507192,0.4875169196669429,0.2808912327246418,
PER,2024Q3,educat7,4,16.742672847796563,0.2808912327246418,0.14114299048535273,
PER,2024Q4,educat7,4,16.883815838281915,0.14114299048535273,-1.0960873262833477,
PER,2025Q1,educat7,4,15.787728511998568,-1.0960873262833477,0.28977874871660525,
PER,2025Q2,educat7,4,16.077507260715173,0.28977874871660525,0.3404595226581506,
PER,2025Q3,educat7,4,16.417966783373323,0.3404595226581506,0.031097053361868632,
PER,2025Q4,educat7,4,16.449063836735192,0.031097053361868632,-1.4167861786527727,
PER,2026Q1,educat7,4,15.03227765808242,-1.4167861786527727,0.6017901802641727,
PER,2026Q2,educat7,4,15.634067838346592,0.6017901802641727,,
PER,2022Q1,educat7,5,31.347513343303184,,-1.076275589720744,
PER,2022Q2,educat7,5,30.27123775358244,-1.076275589720744,-1.1456678474872888,
PER,2022Q3,educat7,5,29.12556990609515,-1.1456678474872888,-1.1591977279538455,
PER,2022Q4,educat7,5,27.966372178141306,-1.1591977279538455,1.7123647890606257,
PER,2023Q1,educat7,5,29.67873696720193,1.7123647890606257,-0.6154665358945302,
PER,2023Q2,educat7,5,29.0632704313074,-0.6154665358945302,-1.0940842149203576,
PER,2023Q3,educat7,5,27.969186216387044,-1.0940842149203576,-0.2813388836249935,
PER,2023Q4,educat7,5,27.68784733276205,-0.2813388836249935,1.5468559660154995,
PER,2024Q1,educat7,5,29.23470329877755,1.5468559660154995,-0.5907191576118862,
PER,2024Q2,educat7,5,28.643984141165664,-0.5907191576118862,-0.5945478942788185,
PER,2024Q3,educat7,5,28.049436246886845,-0.5945478942788185,0.6443730213823429,
PER,2024Q4,educat7,5,28.693809268269188,0.6443730213823429,0.4287059309731589,
PER,2025Q1,educat7,5,29.122515199242347,0.4287059309731589,-0.042533035386210116,
PER,2025Q2,educat7,5,29.079982163856137,-0.042533035386210116,-0.92308370532675,
PER,2025Q3,educat7,5,28.156898458529387,-0.92308370532675,0.46890434726019237,
PER,2025Q4,educat7,5,28.62580280578958,0.46890434726019237,1.1453709850244138,
PER,2026Q1,educat7,5,29.771173790813993,1.1453709850244138,-1.0244937870840651,
PER,2026Q2,educat7,5,28.746680003729928,-1.0244937870840651,,
PER,2022Q1,educat7,6,14.268033204569457,,0.011099110575669258,
PER,2022Q2,educat7,6,14.279132315145127,0.011099110575669258,0.5723019649395766,
PER,2022Q3,educat7,6,14.851434280084703,0.5723019649395766,0.4180426481648727,
PER,2022Q4,educat7,6,15.269476928249576,0.4180426481648727,0.19830144286015638,
PER,2023Q1,educat7,6,15.467778371109732,0.19830144286015638,0.10797826452820303,
PER,2023Q2,educat7,6,15.575756635637935,0.10797826452820303,-0.13367595636983864,
PER,2023Q3,educat7,6,15.442080679268097,-0.13367595636983864,-0.040207186143177864,
PER,2023Q4,educat7,6,15.401873493124919,-0.040207186143177864,-0.28746728811422884,
PER,2024Q1,educat7,6,15.11440620501069,-0.28746728811422884,0.4660737661777272,
PER,2024Q2,educat7,6,15.580479971188417,0.4660737661777272,-0.10584750027828349,
PER,2024Q3,educat7,6,15.474632470910134,-0.10584750027828349,-0.1951644874558216,
PER,2024Q4,educat7,6,15.279467983454312,-0.1951644874558216,0.21917353164245945,
PER,2025Q1,educat7,6,15.498641515096772,0.21917353164245945,-0.3731728142419364,
PER,2025Q2,educat7,6,15.125468700854835,-0.3731728142419364,0.14350049311572377,
PER,2025Q3,educat7,6,15.268969193970559,0.14350049311572377,-0.39830029811555967,
PER,2025Q4,educat7,6,14.870668895855,-0.39830029811555967,0.18201784304997304,
PER,2026Q1,educat7,6,15.052686738904972,0.18201784304997304,0.03801557890602858,
PER,2026Q2,educat7,6,15.090702317811001,0.03801557890602858,,
