countrycode,period,variable,category,share,d_prev,d_next,flag
ZAF,2022Q1,educat7,1,14.284292410938644,,0.44562507866978507,
ZAF,2022Q2,educat7,1,14.729917489608429,0.44562507866978507,0.14763867139127207,
ZAF,2022Q3,educat7,1,14.877556160999701,0.14763867139127207,0.23021821580112878,
ZAF,2022Q4,educat7,1,15.10777437680083,0.23021821580112878,-0.9066955711439988,
ZAF,2023Q1,educat7,1,14.201078805656831,-0.9066955711439988,0.284502591003724,
ZAF,2023Q2,educat7,1,14.485581396660555,0.284502591003724,0.22503456714736636,
ZAF,2023Q3,educat7,1,14.710615963807921,0.22503456714736636,0.2907143227594453,
ZAF,2023Q4,educat7,1,15.001330286567367,0.2907143227594453,-0.9898569562312094,
ZAF,2024Q1,educat7,1,14.011473330336157,-0.9898569562312094,0.40861786169119085,
ZAF,2024Q2,educat7,1,14.420091192027348,0.40861786169119085,0.3165182281331784,
ZAF,2024Q3,educat7,1,14.736609420160526,0.3165182281331784,0.10441207431099997,
ZAF,2024Q4,educat7,1,14.841021494471526,0.10441207431099997,-0.858835866025851,
ZAF,2025Q1,educat7,1,13.982185628445675,-0.858835866025851,0.3147994644243326,
ZAF,2025Q2,educat7,1,14.296985092870008,0.3147994644243326,0.23024181493005713,
ZAF,2025Q3,educat7,1,14.527226907800065,0.23024181493005713,0.17191496058118005,
ZAF,2025Q4,educat7,1,14.699141868381245,0.17191496058118005,-1.0146513293726915,
ZAF,2026Q1,educat7,1,13.684490539008554,-1.0146513293726915,0.45944273321159024,
ZAF,2026Q2,educat7,1,14.143933272220144,0.45944273321159024,,
ZAF,2022Q1,educat7,2,16.43998828499777,,-0.30666084089466494,
ZAF,2022Q2,educat7,2,16.133327444103106,-0.30666084089466494,0.03432667318119442,
ZAF,2022Q3,educat7,2,16.1676541172843,0.03432667318119442,-0.22425870859636277,
ZAF,2022Q4,educat7,2,15.943395408687937,-0.22425870859636277,-0.15655383091344888,
ZAF,2023Q1,educat7,2,15.786841577774489,-0.15655383091344888,0.06710504864262923,
ZAF,2023Q2,educat7,2,15.853946626417118,0.06710504864262923,0.1207130658790696,
ZAF,2023Q3,educat7,2,15.974659692296187,0.1207130658790696,-0.15376889122003057,
ZAF,2023Q4,educat7,2,15.820890801076157,-0.15376889122003057,-0.210947699217094,
ZAF,2024Q1,educat7,2,15.609943101859063,-0.210947699217094,-0.032007981769250904,
ZAF,2024Q2,educat7,2,15.577935120089812,-0.032007981769250904,-0.1032304908294801,
ZAF,2024Q3,educat7,2,15.474704629260332,-0.1032304908294801,-0.10058746299874954,
ZAF,2024Q4,educat7,2,15.374117166261582,-0.10058746299874954,-0.2520999267053998,
ZAF,2025Q1,educat7,2,15.122017239556182,-0.2520999267053998,-0.09172808940955512,
