countrycode,period,tercile,emp,emp_ref,index
ARG,2021Q1,1.0,3041190.0,3289054.0,92.46397292352148
ARG,2021Q1,2.0,3300015.0,3674879.0,89.79928318728318
ARG,2021Q1,3.0,4885974.0,5120874.0,95.41289240860057
ARG,2021Q2,1.0,2778677.0,3289054.0,84.4825594228614
ARG,2021Q2,2.0,3538173.0,3674879.0,96.27998636145571
ARG,2021Q2,3.0,4984019.0,5120874.0,97.32750698415934
ARG,2021Q3,1.0,3096611.0,3289054.0,94.14898630426865
ARG,2021Q3,2.0,3479081.0,3674879.0,94.67198783959962
ARG,2021Q3,3.0,5157212.0,5120874.0,100.70960543063548
ARG,2021Q4,1.0,3068382.0,3289054.0,93.29071520260841
ARG,2021Q4,2.0,3622275.0,3674879.0,98.56855150877077
ARG,2021Q4,3.0,5080436.0,5120874.0,99.21033011161767
ARG,2022Q1,1.0,3155992.0,3289054.0,95.9543990460479
ARG,2022Q1,2.0,3674570.0,3674879.0,99.99159155988538
ARG,2022Q1,3.0,4868038.0,5120874.0,95.06263969783284
ARG,2022Q2,1.0,3235210.0,3289054.0,98.36293353651232
ARG,2022Q2,2.0,3605493.0,3674879.0,98.11188341167151
ARG,2022Q2,3.0,5326762.0,5120874.0,104.02056367721603
ARG,2022Q3,1.0,3336854.0,3289054.0,101.45330541851851
ARG,2022Q3,2.0,3680954.0,3674879.0,100.16531156536038
ARG,2022Q3,3.0,5212127.0,5120874.0,101.78198096653033
ARG,2022Q4,1.0,3428160.0,3289054.0,104.22936199892128
ARG,2022Q4,2.0,3738499.0,3674879.0,101.73121346308272
ARG,2022Q4,3.0,5076569.0,5120874.0,99.1348156584208
ARG,2023Q1,1.0,3322593.0,3289054.0,101.0197156994078
ARG,2023Q1,2.0,3713092.0,3674879.0,101.03984376084219
ARG,2023Q1,3.0,5224679.0,5120874.0,102.02709537473486
ARG,2023Q2,1.0,3457579.0,3289054.0,105.12381371664922
ARG,2023Q2,2.0,3686601.0,3674879.0,100.3189764887497
