countrycode,period,group,emp,emp_ref,index,n
ARG,2021Q1,1.0,1275592.0,1343267.0,94.96191002980048,
ARG,2021Q1,2.0,1791775.0,1979107.25,90.53450741489628,
ARG,2021Q1,3.0,2291034.0,2624956.5,87.27893205087399,
ARG,2021Q1,4.0,2022530.0,2015867.25,100.33051531543062,
ARG,2021Q1,5.0,3846248.0,4121609.0,93.31908970501568,
ARG,2021Q2,1.0,1093842.0,1343267.0,81.43146522619851,
ARG,2021Q2,2.0,1721947.0,1979107.25,87.00624991394479,
ARG,2021Q2,3.0,2512901.0,2624956.5,95.73114830664812,
ARG,2021Q2,4.0,2013418.0,2015867.25,99.87850142413892,
ARG,2021Q2,5.0,3958761.0,4121609.0,96.04892167112406,
ARG,2021Q3,1.0,1191728.0,1343267.0,88.71862407101491,
ARG,2021Q3,2.0,1939623.0,1979107.25,98.004946422181,
ARG,2021Q3,3.0,2473595.0,2624956.5,94.23375206408183,
ARG,2021Q3,4.0,2000279.0,2015867.25,99.22672239454259,
ARG,2021Q3,5.0,4127679.0,4121609.0,100.14727258213965,
ARG,2021Q4,1.0,1204020.0,1343267.0,89.63370647830997,
ARG,2021Q4,2.0,1908350.0,1979107.25,96.42478951052298,
ARG,2021Q4,3.0,2556550.0,2624956.5,97.39399491001089,
ARG,2021Q4,4.0,2059747.0,2015867.25,102.17671823380235,
ARG,2021Q4,5.0,4042426.0,4121609.0,98.07883280534374,
ARG,2022Q1,1.0,1250859.0,1343267.0,93.12065285605915,
ARG,2022Q1,2.0,1938773.0,1979107.25,97.96199776439605,
ARG,2022Q1,3.0,2563715.0,2624956.5,97.66695181424912,
ARG,2022Q1,4.0,2062528.0,2015867.25,102.31467374649795,
ARG,2022Q1,5.0,3882725.0,4121609.0,94.20410815290825,
ARG,2022Q2,1.0,1365337.0,1343267.0,101.64300917092432,
ARG,2022Q2,2.0,1904515.0,1979107.25,96.23101527216375,
ARG,2022Q2,3.0,2607127.0,2624956.5,99.3207696965645,
ARG,2022Q2,4.0,2001716.0,2015867.25,99.29800685040148,
ARG,2022Q2,5.0,4288770.0,4121609.0,104.05572192801404,
ARG,2022Q3,1.0,1331145.0,1343267.0,99.09757330448824,
ARG,2022Q3,2.0,2042686.0,1979107.25,103.21249644252478,
ARG,2022Q3,3.0,2682314.0,2624956.5,102.18508382900822,
ARG,2022Q3,4.0,1956766.0,2015867.25,97.06819732301321,
ARG,2022Q3,5.0,4217024.0,4121609.0,102.31499397444057,
ARG,2022Q4,1.0,1425727.0,1343267.0,106.1387646685283,
ARG,2022Q4,2.0,2030455.0,1979107.25,102.59449052091543,
ARG,2022Q4,3.0,2646670.0,2624956.5,100.82719466017818,
ARG,2022Q4,4.0,2042459.0,2015867.25,101.31912208008737,
ARG,2022Q4,5.0,4097917.0,4121609.0,99.42517594463716,
ARG,2023Q1,1.0,1302220.0,1343267.0,96.94424116724375,
ARG,2023Q1,2.0,2052248.0,1979107.25,103.69564357868933,
ARG,2023Q1,3.0,2746020.0,2624956.5,104.612019284891,
ARG,2023Q1,4.0,1876160.0,2015867.25,93.06962053180833,
ARG,2023Q1,5.0,4283716.0,4121609.0,103.93309991316498,
ARG,2023Q2,1.0,1426571.0,1343267.0,106.20159655526415,
ARG,2023Q2,2.0,2062435.0,1979107.25,104.210370610284,
ARG,2023Q2,3.0,2689657.0,2624956.5,102.46482179799932,
ARG,2023Q2,4.0,1950613.0,2015867.25,96.76296889093267,
ARG,2023Q2,5.0,4228811.0,4121609.0,102.60097452232854,
ARG,2023Q3,1.0,1440418.0,1343267.0,107.23244150269456,
ARG,2023Q3,2.0,1919009.0,1979107.25,96.96336567914649,
ARG,2023Q3,3.0,2843912.0,2624956.5,108.34130013202123,
ARG,2023Q3,4.0,2049804.0,2015867.25,101.68348138995759,
ARG,2023Q3,5.0,4373058.0,4121609.0,106.10074851835776,
ARG,2023Q4,1.0,1327357.0,1343267.0,98.81557426781124,
ARG,2023Q4,2.0,2108098.0,1979107.25,106.5176230343252,
ARG,2023Q4,3.0,2796644.0,2624956.5,106.54058457730633,
ARG,2023Q4,4.0,2163054.0,2015867.25,107.30141084438968,
ARG,2023Q4,5.0,4306243.0,4121609.0,104.47965830819955,
ARG,2024Q1,1.0,1174637.0,1343267.0,87.44627836461403,
ARG,2024Q1,2.0,2026913.0,1979107.25,102.41552093753383,
ARG,2024Q1,3.0,2781838.0,2624956.5,105.97653713499633,
ARG,2024Q1,4.0,2015525.0,2015867.25,99.98302219553396,
ARG,2024Q1,5.0,4319388.0,4121609.0,104.79858715370624,
ARG,2024Q2,1.0,1330404.0,1343267.0,99.04240929018579,
