countrycode,period,group,emp,emp_ref,index,n
IND,2021Q3,1,100114792.22,102447374.02249998,97.72314144236856,
IND,2021Q3,2,163767259.31000003,170684993.72125003,95.94707521708234,
IND,2021Q3,3,42251380.02,48988064.60375,86.24831448590376,
IND,2021Q3,4,65162792.510000005,55354531.7675,117.71898420836915,
IND,2021Q3,5,44141018.93,54270015.3425,81.33592491438311,
IND,2021Q4,1,95345627.52999999,102447374.02249998,93.06790773286167,
IND,2021Q4,2,170840185.01999992,170684993.72125003,100.09092263787603,
IND,2021Q4,3,45660034.69,48988064.60375,93.20644744659857,
IND,2021Q4,4,63434995.79000001,55354531.7675,114.59765580971683,
IND,2021Q4,5,45378153.99,54270015.3425,83.61551715734159,
IND,2022Q1,1,98840559.28500001,102447374.02249998,96.47934876621844,
IND,2022Q1,2,165445542.73999995,170684993.72125003,96.9303388265012,
IND,2022Q1,3,45287952.135,48988064.60375,92.44691028584387,
IND,2022Q1,4,61436511.06499999,55354531.7675,110.98731956228175,
IND,2022Q1,5,49844789.89500001,54270015.3425,91.84591082281396,
IND,2022Q2,1,102335143.36,102447374.02249998,99.8904504253322,
IND,2022Q2,2,156990892.64000005,170684993.72125003,91.97697420101608,
IND,2022Q2,3,47163339.879999995,48988064.60375,96.27516469876967,
IND,2022Q2,4,55923894.86999999,55354531.7675,101.02857541075666,
IND,2022Q2,5,53469041.98,54270015.3425,98.52409593502964,
IND,2022Q3,1,105629053.61999999,102447374.02249998,103.10567218326283,
IND,2022Q3,2,174784450.00500005,170684993.72125003,102.40176725227816,
IND,2022Q3,3,50429938.684999995,48988064.60375,102.94331709756833,
IND,2022Q3,4,52094186.055,55354531.7675,94.11006541217962,
IND,2022Q3,5,56701154.98499998,54270015.3425,104.47971062318109,
IND,2022Q4,1,102984739.82499994,102447374.02249998,100.52452862518658,
IND,2022Q4,2,185519089.50000003,170684993.72125003,108.69091972020455,
IND,2022Q4,3,53071027.714999996,48988064.60375,108.33460791781812,
IND,2022Q4,4,51963535.08000002,55354531.7675,93.87403961478198,
IND,2022Q4,5,57065074.510000005,54270015.3425,105.15028261897531,
IND,2023Q1,1,106006725.085,102447374.02249998,103.47432142254647,
IND,2023Q1,2,180228412.39499995,170684993.72125003,105.5912464626712,
IND,2023Q1,3,55000497.57,48988064.60375,112.27326087462895,
IND,2023Q1,4,57099069.3,55354531.7675,103.15157129289325,
IND,2023Q1,5,60132588.434999995,54270015.3425,110.80260076489951,
IND,2023Q2,1,113295799.59999998,102447374.02249998,110.58926661713889,
IND,2023Q2,2,175312197.59500006,170684993.72125003,102.71096115298036,
IND,2023Q2,3,56040340.215,48988064.60375,114.3959057543787,
IND,2023Q2,4,51472465.95,55354531.7675,92.98690514842498,
IND,2023Q2,5,59814090.89,54270015.3425,110.21572504174016,
IND,2023Q3,1,119796191.85,102447374.02249998,116.93437044437059,
IND,2023Q3,2,197763730.795,170684993.72125003,115.86474386727456,
IND,2023Q3,3,58344113.545,48988064.60375,119.0986294660308,
IND,2023Q3,4,54083689.615,55354531.7675,97.7041768543219,
IND,2023Q3,5,63680316.01,54270015.3425,117.33977889652556,
IND,2023Q4,1,110530303.16499998,102447374.02249998,107.88983536144596,
IND,2023Q4,2,197263769.36499998,170684993.72125003,115.57182917155353,
IND,2023Q4,3,57327184.62999999,48988064.60375,117.02275869378117,
IND,2023Q4,4,52234795.254999995,55354531.7675,94.3640811097391,
IND,2023Q4,5,62052402.66499999,54270015.3425,114.34012368226739,
IND,2024Q1,1,116424548.67499998,102447374.02249998,113.64327273965097,
IND,2024Q1,2,192626118.49499983,170684993.72125003,112.85474738897221,
IND,2024Q1,3,61522172.41,48988064.60375,125.5860440857068,
IND,2024Q1,4,55227579.43,55354531.7675,99.7706559274438,
IND,2024Q1,5,63794116.81500001,54270015.3425,117.54947259991188,
IND,2024Q2,1,113901460.935,102447374.02249998,111.18045925704686,
IND,2024Q2,2,182835011.26500002,170684993.72125003,107.11838649599886,
IND,2024Q2,3,61061462.76,48988064.60375,124.64559123514708,
IND,2024Q2,4,53592400.855,55354531.7675,96.81664561828235,
IND,2024Q2,5,60043827.13,54270015.3425,110.63904579916048,
IND,2024Q3,1,114992372.01,102447374.02249998,112.24530946468656,
IND,2024Q3,2,191138887.17499995,170684993.72125003,111.98341635536731,
IND,2024Q3,3,59053054.63499999,48988064.60375,120.54580051827466,
IND,2024Q3,4,55589840.99000001,55354531.7675,100.42509477541668,
IND,2024Q3,5,63412198.53500001,54270015.3425,116.8457354117248,
IND,2024Q4,1,114001007.6,102447374.02249998,111.27762784330866,
IND,2024Q4,2,192725204.80999994,170684993.72125003,112.9127995427321,
IND,2024Q4,3,59025364.214999996,48988064.60375,120.48927568875962,
IND,2024Q4,4,57944482.92,55354531.7675,104.67884212873177,
IND,2024Q4,5,62259080.919999994,54270015.3425,114.72095691714976,
