countrycode,period,group,emp,emp_ref,index,n
ARG,2021Q1,1.0,1281399.0,1343927.0,95.34736633760613,
ARG,2021Q1,2.0,2172856.0,2476727.75,87.73091834578912,
ARG,2021Q1,3.0,2326854.0,2636621.0,88.25136415131337,
ARG,2021Q1,4.0,2039883.0,2044166.0,99.79047689864717,
ARG,2021Q1,5.0,3999130.0,4231847.5,94.50080609001151,
ARG,2021Q2,1.0,1095963.0,1343927.0,81.5492954602445,
ARG,2021Q2,2.0,2136521.0,2476727.75,86.26386166182375,
ARG,2021Q2,3.0,2517188.0,2636621.0,95.47022495838424,
ARG,2021Q2,4.0,2034161.0,2044166.0,99.51055834017394,
ARG,2021Q2,5.0,4069460.0,4231847.5,96.16272798110046,
ARG,2021Q3,1.0,1197804.0,1343927.0,89.12716241283938,
ARG,2021Q3,2.0,2290158.0,2476727.75,92.46708686491682,
ARG,2021Q3,3.0,2480302.0,2636621.0,94.07123739058439,
ARG,2021Q3,4.0,2032485.0,2044166.0,99.42856891270083,
ARG,2021Q3,5.0,4249494.0,4231847.5,100.41699281460403,
ARG,2021Q4,1.0,1204258.0,1343927.0,89.60739683033378,
ARG,2021Q4,2.0,2422096.0,2476727.75,97.79419639481974,
ARG,2021Q4,3.0,2572448.0,2636621.0,97.56608932417666,
ARG,2021Q4,4.0,2094283.0,2044166.0,102.45170891209422,
ARG,2021Q4,5.0,4176195.0,4231847.5,98.68491244072477,
ARG,2022Q1,1.0,1252349.0,1343927.0,93.18579059725714,
ARG,2022Q1,2.0,2446107.0,2476727.75,98.76366104429523,
ARG,2022Q1,3.0,2576111.0,2636621.0,97.7050171412577,
ARG,2022Q1,4.0,2095173.0,2044166.0,102.49524745054951,
ARG,2022Q1,5.0,3990629.0,4231847.5,94.29992456013596,
ARG,2022Q2,1.0,1365337.0,1343927.0,101.59309248195773,
ARG,2022Q2,2.0,2413181.0,2476727.75,97.434245649325,
ARG,2022Q2,3.0,2621303.0,2636621.0,99.41902912857024,
ARG,2022Q2,4.0,2029576.0,2044166.0,99.28626148756999,
ARG,2022Q2,5.0,4399101.0,4231847.5,103.95225725879773,
ARG,2022Q3,1.0,1332040.0,1343927.0,99.11550255333809,
ARG,2022Q3,2.0,2434694.0,2476727.75,98.30285141352334,
ARG,2022Q3,3.0,2693951.0,2636621.0,102.17437394301267,
ARG,2022Q3,4.0,1984638.0,2044166.0,97.08790773352067,
ARG,2022Q3,5.0,4321308.0,4231847.5,102.11398213191757,
ARG,2022Q4,1.0,1425982.0,1343927.0,106.10561436744705,
ARG,2022Q4,2.0,2612929.0,2476727.75,105.49924189285642,
ARG,2022Q4,3.0,2655119.0,2636621.0,100.7015797871594,
ARG,2022Q4,4.0,2067277.0,2044166.0,101.13058332835983,
ARG,2022Q4,5.0,4216352.0,4231847.5,99.63383604914874,
ARG,2023Q1,1.0,1303227.0,1343927.0,96.97156169940779,
ARG,2023Q1,2.0,2689260.0,2476727.75,108.58117126519053,
