k,coef,se,period,n_cells,n_clusters,subset
-3,-0.010546720448225827,0.009027473345227821,2022Q1,39294.0,433.0,all
-2,4.4649571096415505e-05,0.00792420971028273,2022Q2,39294.0,433.0,all
-1,0.001854631396382249,0.007332771458781327,2022Q3,39294.0,433.0,all
0,0.0,0.0,2022Q4,,,all
1,2.0730469242528023e-05,0.007973267094826927,2023Q1,39294.0,433.0,all
2,0.0022243037977623856,0.008312194615302448,2023Q2,39294.0,433.0,all
3,0.008458492966552107,0.009239799706210588,2023Q3,39294.0,433.0,all
4,0.010830612187312533,0.010367441812216896,2023Q4,39294.0,433.0,all
5,0.02185869430393189,0.01167024195341904,2024Q1,39294.0,433.0,all
6,0.021493303054249454,0.0123112204146972,2024Q2,39294.0,433.0,all
7,0.017952547728589233,0.012478254633495514,2024Q3,39294.0,433.0,all
8,0.025625082367996817,0.013455723785585743,2024Q4,39294.0,433.0,all
9,0.03852561846254589,0.013916466885709331,2025Q1,39294.0,433.0,all
10,0.04355849580222772,0.016385673761801108,2025Q2,39294.0,433.0,all
11,0.03988397636567163,0.017801540333159383,2025Q3,39294.0,433.0,all
12,0.0476659825267205,0.01793017673658099,2025Q4,39294.0,433.0,all
13,0.05194639391233704,0.01809179564204182,2026Q1,39294.0,433.0,all
14,0.042537377965138845,0.019384938556261926,2026Q2,39294.0,433.0,all
-3,-0.03028321111381751,0.015122531059593198,2022Q1,16560.0,261.0,young
-2,-0.01993058314238574,0.013424299189782385,2022Q2,16560.0,261.0,young
-1,-0.0077704098332442295,0.012638165871497103,2022Q3,16560.0,261.0,young
0,0.0,0.0,2022Q4,,,young
1,0.0013141428861981024,0.011999819034491575,2023Q1,16560.0,261.0,young
2,0.006907878407865966,0.012744296504101827,2023Q2,16560.0,261.0,young
3,0.01823403821959261,0.013379350875638426,2023Q3,16560.0,261.0,young
4,0.02551542666756506,0.013450771359170124,2023Q4,16560.0,261.0,young
5,0.030999876139331747,0.01640645376034226,2024Q1,16560.0,261.0,young
6,0.015418205233629976,0.017312380744905813,2024Q2,16560.0,261.0,young
7,0.010025988167856584,0.018399812429540672,2024Q3,16560.0,261.0,young
