k,coef,se,period,n_cells,n_clusters,subset
-5,-0.2702657202537774,0.08607525483053789,2021Q3,2940.0,67.0,all
-4,-0.29273311950969677,0.10259002257832694,2021Q4,2940.0,67.0,all
-3,-0.133751521097833,0.07257203720100751,2022Q1,2940.0,67.0,all
-2,-0.008780146633218654,0.059712135504136815,2022Q2,2940.0,67.0,all
-1,-0.007832886883490833,0.02086811510350907,2022Q3,2940.0,67.0,all
0,0.0,0.0,2022Q4,,,all
1,0.07684353724101257,0.04747337995395625,2023Q1,2940.0,67.0,all
2,0.07969048611419166,0.05614641654989708,2023Q2,2940.0,67.0,all
3,0.07792991519711111,0.029783769378129443,2023Q3,2940.0,67.0,all
4,0.058053234395188155,0.028569289944188128,2023Q4,2940.0,67.0,all
5,0.07792902775330156,0.04998125562419978,2024Q1,2940.0,67.0,all
6,0.062262956549659305,0.06338941627329368,2024Q2,2940.0,67.0,all
7,0.0722056278822221,0.049788985801177486,2024Q3,2940.0,67.0,all
8,0.050571987935792886,0.04358885475805494,2024Q4,2940.0,67.0,all
-5,-0.37899668774510603,0.1067018796991455,2021Q3,952.0,25.0,young
-4,-0.20300342793742196,0.07458483053223693,2021Q4,952.0,25.0,young
-3,-0.23302437370555276,0.07341763978953286,2022Q1,952.0,25.0,young
-2,-0.06732949489506394,0.09059087184374692,2022Q2,952.0,25.0,young
-1,-0.1388672047156601,0.03893664324001561,2022Q3,952.0,25.0,young
0,0.0,0.0,2022Q4,,,young
1,-0.0559426291821074,0.10404928540541504,2023Q1,952.0,25.0,young
2,-0.024089028943948113,0.09357570519054385,2023Q2,952.0,25.0,young
3,-0.00838557958204308,0.04275257655825432,2023Q3,952.0,25.0,young
4,-0.058772458793235366,0.03954324372680627,2023Q4,952.0,25.0,young
5,-0.07162006208025969,0.06940704419234764,2024Q1,952.0,25.0,young
6,-0.010710411634702745,0.08654753515545117,2024Q2,952.0,25.0,young
7,0.04464523987098397,0.06242921134190992,2024Q3,952.0,25.0,young
8,0.008262042048061063,0.06052399202147108,2024Q4,952.0,25.0,young
-5,-0.2382207649914129,0.11254534263506205,2021Q3,1988.0,67.0,older
-4,-0.31917805988392156,0.119398040120902,2021Q4,1988.0,67.0,older
-3,-0.10449404097069796,0.09104433439484,2022Q1,1988.0,67.0,older
-2,0.008475390487252227,0.058073047851533395,2022Q2,1988.0,67.0,older
-1,0.030785263489367085,0.023516319073541916,2022Q3,1988.0,67.0,older
0,0.0,0.0,2022Q4,,,older
1,0.11597798863664974,0.03924634522472539,2023Q1,1988.0,67.0,older
2,0.1102761600387181,0.0514300813377482,2023Q2,1988.0,67.0,older
3,0.1033686308865256,0.031707020373228464,2023Q3,1988.0,67.0,older
4,0.09248384968440165,0.03456229125845636,2023Q4,1988.0,67.0,older
5,0.1220038116333055,0.04806364886158907,2024Q1,1988.0,67.0,older
6,0.08376950958385733,0.06568715860561182,2024Q2,1988.0,67.0,older
7,0.08032816574986112,0.051407030206013796,2024Q3,1988.0,67.0,older
8,0.06304148355794349,0.04520444568218477,2024Q4,1988.0,67.0,older
-5,-0.2702657202537774,0.08607525483053789,2021Q3,2940.0,67.0,country_IND
-4,-0.29273311950969677,0.10259002257832694,2021Q4,2940.0,67.0,country_IND
-3,-0.133751521097833,0.07257203720100751,2022Q1,2940.0,67.0,country_IND
-2,-0.008780146633218654,0.059712135504136815,2022Q2,2940.0,67.0,country_IND
-1,-0.007832886883490833,0.02086811510350907,2022Q3,2940.0,67.0,country_IND
0,0.0,0.0,2022Q4,,,country_IND
1,0.07684353724101257,0.04747337995395625,2023Q1,2940.0,67.0,country_IND
2,0.07969048611419166,0.05614641654989708,2023Q2,2940.0,67.0,country_IND
3,0.07792991519711111,0.029783769378129443,2023Q3,2940.0,67.0,country_IND
4,0.058053234395188155,0.028569289944188128,2023Q4,2940.0,67.0,country_IND
5,0.07792902775330156,0.04998125562419978,2024Q1,2940.0,67.0,country_IND
6,0.062262956549659305,0.06338941627329368,2024Q2,2940.0,67.0,country_IND
7,0.0722056278822221,0.049788985801177486,2024Q3,2940.0,67.0,country_IND
8,0.050571987935792886,0.04358885475805494,2024Q4,2940.0,67.0,country_IND
