k,coef,se,period,n_cells,n_clusters,subset
-7,0.01628337791909214,0.032097221858340456,2021Q1,59536.0,655.0,all
-6,0.020879231108038517,0.031061655076801437,2021Q2,59536.0,655.0,all
-5,0.011315277112588172,0.02925036426251101,2021Q3,59536.0,655.0,all
-4,0.01059312642735505,0.026601743227245605,2021Q4,59536.0,655.0,all
-3,0.0016984190458729357,0.010312452837926948,2022Q1,59536.0,655.0,all
-2,0.0037116813842002017,0.018914657202500396,2022Q2,59536.0,655.0,all
-1,0.011259990410973808,0.01076360313627674,2022Q3,59536.0,655.0,all
0,0.0,0.0,2022Q4,,,all
1,0.003699950540780088,0.00757354277555858,2023Q1,59536.0,655.0,all
2,0.009729286003792983,0.008436003875275032,2023Q2,59536.0,655.0,all
3,0.013946581602997951,0.010953074106460785,2023Q3,59536.0,655.0,all
4,0.020795516851145893,0.009181562067765173,2023Q4,59536.0,655.0,all
5,0.02499647819520944,0.010719717652404691,2024Q1,59536.0,655.0,all
6,0.027373599312881133,0.011536330012669627,2024Q2,59536.0,655.0,all
7,0.02587098330573836,0.01151746285627656,2024Q3,59536.0,655.0,all
8,0.02945373604444846,0.011545837090439883,2024Q4,59536.0,655.0,all
9,0.039869447528278874,0.011594631626479604,2025Q1,59536.0,655.0,all
10,0.04025931857746809,0.012653543628119266,2025Q2,59536.0,655.0,all
11,0.041261058225234,0.01633825851624818,2025Q3,59536.0,655.0,all
12,0.04585490651086086,0.013922696898850746,2025Q4,59536.0,655.0,all
13,0.05588273070045125,0.016805960117458527,2026Q1,59536.0,655.0,all
14,0.047717988064046354,0.018723879815581716,2026Q2,59536.0,655.0,all
-7,0.012595049614779592,0.03064929581380731,2021Q1,24023.0,349.0,young
-6,0.00488957680068524,0.029731728551482314,2021Q2,24023.0,349.0,young
-5,0.015458755055200358,0.0240880861124974,2021Q3,24023.0,349.0,young
-4,0.0029843992758094725,0.02193289213466314,2021Q4,24023.0,349.0,young
-3,-0.013041834711335479,0.01575923225161468,2022Q1,24023.0,349.0,young
-2,-0.01774059131896262,0.016872237650951433,2022Q2,24023.0,349.0,young
-1,9.81489952911101e-05,0.013196529440343278,2022Q3,24023.0,349.0,young
0,0.0,0.0,2022Q4,,,young
1,0.003285947167351127,0.012025328158641862,2023Q1,24023.0,349.0,young
2,0.010167144878923095,0.012274291230053528,2023Q2,24023.0,349.0,young
3,0.02333697675714661,0.0146441350330864,2023Q3,24023.0,349.0,young
4,0.030756461030019895,0.014216061866862558,2023Q4,24023.0,349.0,young
5,0.0330038399399637,0.016204527994551764,2024Q1,24023.0,349.0,young
6,0.024325256957720632,0.018112799941366487,2024Q2,24023.0,349.0,young
7,0.020539949952897242,0.020339711747236623,2024Q3,24023.0,349.0,young
8,0.035713770906031214,0.02012644906182522,2024Q4,24023.0,349.0,young
9,0.03633098456387741,0.021549632329152406,2025Q1,24023.0,349.0,young
10,0.023388523135209487,0.018189951077758094,2025Q2,24023.0,349.0,young
11,0.04071541571507652,0.020628019207867554,2025Q3,24023.0,349.0,young
12,0.044617327782236184,0.01843408172155545,2025Q4,24023.0,349.0,young
13,0.04337510753480907,0.0203107741803209,2026Q1,24023.0,349.0,young
14,0.026431129662065806,0.02363731920939528,2026Q2,24023.0,349.0,young
-7,0.017479161758871715,0.037180574025347704,2021Q1,35513.0,655.0,older
-6,0.026390906318536928,0.03642732000916756,2021Q2,35513.0,655.0,older
-5,0.009795011919376328,0.034859820335872885,2021Q3,35513.0,655.0,older
-4,0.01314494865391857,0.03183854260575308,2021Q4,35513.0,655.0,older
-3,0.006518945495083491,0.011365494859526527,2022Q1,35513.0,655.0,older
-2,0.010727249071472966,0.022445910364373673,2022Q2,35513.0,655.0,older
-1,0.0149102635102331,0.012299491842481722,2022Q3,35513.0,655.0,older
0,0.0,0.0,2022Q4,,,older
1,0.0038353426611976815,0.008684718034715159,2023Q1,35513.0,655.0,older
2,0.0095860923842429,0.009362101430220855,2023Q2,35513.0,655.0,older
3,0.010875627129981007,0.012447960843302817,2023Q3,35513.0,655.0,older
4,0.017537974907549304,0.009938079937500273,2023Q4,35513.0,655.0,older
5,0.022377819133108788,0.012270487042269464,2024Q1,35513.0,655.0,older
6,0.028370503110559563,0.012097225412820703,2024Q2,35513.0,655.0,older
7,0.027614398833197034,0.012101517437060363,2024Q3,35513.0,655.0,older
8,0.0274065078134911,0.011755935979158798,2024Q4,35513.0,655.0,older
9,0.04102663617580207,0.01245664306963378,2025Q1,35513.0,655.0,older
10,0.045776599147272286,0.013217702158287681,2025Q2,35513.0,655.0,older
11,0.04146264782070571,0.017661539063791414,2025Q3,35513.0,655.0,older
12,0.04625963366770532,0.014996569450719976,2025Q4,35513.0,655.0,older
13,0.05989620441922692,0.01877852711813959,2026Q1,35513.0,655.0,older
14,0.05474606674367362,0.019831927114724406,2026Q2,35513.0,655.0,older
-7,0.12642781849039855,0.0402302566359766,2021Q1,2835.0,31.0,country_ARG
-6,0.11592250089860065,0.04259358001986874,2021Q2,2835.0,31.0,country_ARG
-5,0.137029562642636,0.043511093310906586,2021Q3,2835.0,31.0,country_ARG
-4,0.08503076510480534,0.03544516052719141,2021Q4,2835.0,31.0,country_ARG
-3,0.005525173964904935,0.030954339445166686,2022Q1,2835.0,31.0,country_ARG
-2,0.11317851224801204,0.03021352592626909,2022Q2,2835.0,31.0,country_ARG
-1,0.0807656463402807,0.05153349623545277,2022Q3,2835.0,31.0,country_ARG
0,0.0,0.0,2022Q4,,,country_ARG
1,0.02762267702387175,0.028123069873843987,2023Q1,2835.0,31.0,country_ARG
2,0.03823438600462016,0.02952536711933897,2023Q2,2835.0,31.0,country_ARG
3,0.022162288206775807,0.04025425281810977,2023Q3,2835.0,31.0,country_ARG
4,0.03505168201165286,0.027324387680973797,2023Q4,2835.0,31.0,country_ARG
5,0.06261528555881125,0.04284191769202251,2024Q1,2835.0,31.0,country_ARG
6,0.07903779363514189,0.03543023244281223,2024Q2,2835.0,31.0,country_ARG
7,0.064387784443535,0.041434014637452846,2024Q3,2835.0,31.0,country_ARG
8,0.08167612091627259,0.03426632172457773,2024Q4,2835.0,31.0,country_ARG
9,0.0832925004843765,0.04805022356310175,2025Q1,2835.0,31.0,country_ARG
10,0.11727590223064566,0.05801218349871812,2025Q2,2835.0,31.0,country_ARG
11,0.10917817092022791,0.05145227479133719,2025Q3,2835.0,31.0,country_ARG
12,0.04209245522602693,0.05021009366940662,2025Q4,2835.0,31.0,country_ARG
13,0.10144494596773657,0.04952910466433497,2026Q1,2835.0,31.0,country_ARG
-7,-0.02218827178485132,0.08978797368089778,2021Q1,2960.0,36.0,country_BOL
-6,-0.03433541034457656,0.07591211926265799,2021Q2,2960.0,36.0,country_BOL
-5,-0.01228847439919517,0.036490894991251986,2021Q3,2960.0,36.0,country_BOL
-4,-0.04878756033566199,0.03342787797254762,2021Q4,2960.0,36.0,country_BOL
-3,-0.014460903157011734,0.028802659285814193,2022Q1,2960.0,36.0,country_BOL
-2,-0.015311382885596553,0.01860213090626871,2022Q2,2960.0,36.0,country_BOL
-1,-0.030643615017462197,0.017960526994029308,2022Q3,2960.0,36.0,country_BOL
0,0.0,0.0,2022Q4,,,country_BOL
1,0.02306171668143364,0.02110583006350237,2023Q1,2960.0,36.0,country_BOL
2,-0.019445232104346205,0.035024673192228385,2023Q2,2960.0,36.0,country_BOL
3,-0.028177996333843658,0.03576275720200921,2023Q3,2960.0,36.0,country_BOL
4,-0.013012162571553118,0.04962950622587354,2023Q4,2960.0,36.0,country_BOL
5,-0.019177875321126372,0.04197737324118419,2024Q1,2960.0,36.0,country_BOL
6,-0.0292809225506968,0.03800570384543797,2024Q2,2960.0,36.0,country_BOL
