k,coef,se,period,n_cells,n_clusters,subset
-7,0.0213607600606731,0.03846308322840573,2021Q1,52229.0,544.0,all
-6,0.00493990440931298,0.04033087263164125,2021Q2,52229.0,544.0,all
-5,0.0039827858616412,0.025850566005906815,2021Q3,52229.0,544.0,all
-4,-0.012098206053458373,0.023208252365718454,2021Q4,52229.0,544.0,all
-3,0.0026194214983596316,0.013242649270939542,2022Q1,52229.0,544.0,all
-2,-0.008498439105524709,0.016726163452721005,2022Q2,52229.0,544.0,all
-1,-0.012381944673495389,0.011992435843484955,2022Q3,52229.0,544.0,all
0,0.0,0.0,2022Q4,,,all
1,0.017571581171624516,0.010897317551043877,2023Q1,52229.0,544.0,all
2,0.014360367228710688,0.011148340859261805,2023Q2,52229.0,544.0,all
3,0.014228423901603853,0.01352488444954267,2023Q3,52229.0,544.0,all
4,0.026172269308196737,0.011588632779431616,2023Q4,52229.0,544.0,all
5,0.0404718777142038,0.01470112664806083,2024Q1,52229.0,544.0,all
6,0.031267809903920786,0.014015338749817557,2024Q2,52229.0,544.0,all
7,0.02733506742281685,0.01575476145664183,2024Q3,52229.0,544.0,all
8,0.02592544616145721,0.01739052131522988,2024Q4,52229.0,544.0,all
9,0.03264751871066388,0.020871575356311185,2025Q1,52229.0,544.0,all
10,0.03231373408804464,0.016721811022390225,2025Q2,52229.0,544.0,all
11,0.028319054462390893,0.02055179297717249,2025Q3,52229.0,544.0,all
12,0.044561380743941524,0.02137265341807351,2025Q4,52229.0,544.0,all
13,0.03522180017789961,0.024312645841518207,2026Q1,52229.0,544.0,all
14,0.023143714656007536,0.026530232707272453,2026Q2,52229.0,544.0,all
-7,0.019926240015922914,0.04857160027741747,2021Q1,21807.0,307.0,young
-6,-0.04714237658410205,0.05187480367560217,2021Q2,21807.0,307.0,young
-5,0.0030921619981703562,0.036306907044785945,2021Q3,21807.0,307.0,young
-4,-0.030749839716155396,0.0394287293919842,2021Q4,21807.0,307.0,young
-3,-0.01644009710882028,0.01910204419704624,2022Q1,21807.0,307.0,young
-2,-0.042195096050615714,0.027669017722901788,2022Q2,21807.0,307.0,young
-1,-0.019143009827117433,0.01692175628654568,2022Q3,21807.0,307.0,young
0,0.0,0.0,2022Q4,,,young
1,-0.006055627012693748,0.022848250922549416,2023Q1,21807.0,307.0,young
2,0.0029125489295666134,0.022450953829698576,2023Q2,21807.0,307.0,young
3,-0.002436657129648348,0.021703984446442993,2023Q3,21807.0,307.0,young
4,0.006195458808469593,0.021963124128137397,2023Q4,21807.0,307.0,young
5,0.009877527331305197,0.02964719382968102,2024Q1,21807.0,307.0,young
6,-0.0016936440752662388,0.026720733693253864,2024Q2,21807.0,307.0,young
7,-0.0025688251724661965,0.028870025917093343,2024Q3,21807.0,307.0,young
8,0.006327409436394963,0.03250970320647449,2024Q4,21807.0,307.0,young
9,-0.017748931416374382,0.04475145740004953,2025Q1,21807.0,307.0,young
10,0.005871607446423962,0.02992307833089858,2025Q2,21807.0,307.0,young
11,0.002385505387241327,0.030601847790606446,2025Q3,21807.0,307.0,young
12,0.013522445790654501,0.031281652400211586,2025Q4,21807.0,307.0,young
13,0.007708359934407766,0.03563406475773066,2026Q1,21807.0,307.0,young
14,0.0006997511148369793,0.03861824721620688,2026Q2,21807.0,307.0,young
-7,0.021069294085692098,0.036890094999966386,2021Q1,30422.0,544.0,older
-6,0.028218331456130598,0.03822858279552345,2021Q2,30422.0,544.0,older
-5,0.0035741044392567714,0.025983588700118833,2021Q3,30422.0,544.0,older
-4,-0.004354104609397177,0.02087697010721137,2021Q4,30422.0,544.0,older
-3,0.01071033275921285,0.014217455172995266,2022Q1,30422.0,544.0,older
-2,0.005806049205499277,0.015039066316683397,2022Q2,30422.0,544.0,older
-1,-0.009511820862173481,0.01390913839658217,2022Q3,30422.0,544.0,older
0,0.0,0.0,2022Q4,,,older
1,0.02760151155449433,0.011263071815651038,2023Q1,30422.0,544.0,older
2,0.019220053556457322,0.011826718660213396,2023Q2,30422.0,544.0,older
3,0.021302878118301446,0.014571790520269865,2023Q3,30422.0,544.0,older
4,0.034652577985420444,0.013491032595421008,2023Q4,30422.0,544.0,older
5,0.05345941318838093,0.014677824364028234,2024Q1,30422.0,544.0,older
6,0.045260198939068866,0.015560643968856284,2024Q2,30422.0,544.0,older
7,0.04002949829114835,0.018754366714547933,2024Q3,30422.0,544.0,older
8,0.03424496247755597,0.016788477790488313,2024Q4,30422.0,544.0,older
9,0.05404119681155177,0.017801132413871202,2025Q1,30422.0,544.0,older
10,0.043538618861629866,0.018131301343440407,2025Q2,30422.0,544.0,older
