k,coef,se,period,n_cells,n_clusters,subset
-7,0.03232151358083038,0.039147375238078486,2021Q1,56009.0,611.0,all
-6,0.015900657929470277,0.041024235018756704,2021Q2,56009.0,611.0,all
-5,-0.03760323419008962,0.044036191897250096,2021Q3,56009.0,611.0,all
-4,-0.024385592505639382,0.03819229424117897,2021Q4,56009.0,611.0,all
-3,0.0009304010545630729,0.03555151098329177,2022Q1,56009.0,611.0,all
-2,-0.01286179172878256,0.028200974707233525,2022Q2,56009.0,611.0,all
-1,-0.0007117151375421405,0.01746164656596268,2022Q3,56009.0,611.0,all
0,0.0,0.0,2022Q4,,,all
1,-0.001451522628272988,0.026881006934458305,2023Q1,56009.0,611.0,all
2,0.032364050566862194,0.019624866090272367,2023Q2,56009.0,611.0,all
3,0.05040795109024332,0.017488802317141963,2023Q3,56009.0,611.0,all
4,0.05003874697571943,0.015546025242089095,2023Q4,56009.0,611.0,all
5,0.07653166653564779,0.02120188678554734,2024Q1,56009.0,611.0,all
6,0.0464025261794644,0.027629444200981394,2024Q2,56009.0,611.0,all
7,0.05650442925511276,0.03052007159220853,2024Q3,56009.0,611.0,all
8,0.044068111721559854,0.02669657691312203,2024Q4,56009.0,611.0,all
9,0.04251597248197117,0.03203875145225077,2025Q1,56009.0,611.0,all
10,0.0891114173430753,0.02915520360790542,2025Q2,56009.0,611.0,all
11,0.0214664998225412,0.037520527725308346,2025Q3,56009.0,611.0,all
12,0.06807706559127644,0.02833280165833229,2025Q4,56009.0,611.0,all
13,0.04681306504243242,0.0276182323738731,2026Q1,56009.0,611.0,all
14,0.03481061249776997,0.02947480987114655,2026Q2,56009.0,611.0,all
-7,0.007286225410737864,0.04761643241301405,2021Q1,23031.0,332.0,young
-6,-0.059782391189287125,0.051081615880353266,2021Q2,23031.0,332.0,young
-5,-0.07264331783605947,0.05835731093281004,2021Q3,23031.0,332.0,young
-4,-0.04505059247563952,0.04004290678459019,2021Q4,23031.0,332.0,young
-3,-0.061771065132416994,0.04289220681144809,2022Q1,23031.0,332.0,young
-2,-0.06987533854263338,0.030396214610275737,2022Q2,23031.0,332.0,young
-1,-0.05775670274962239,0.03254185077880231,2022Q3,23031.0,332.0,young
0,0.0,0.0,2022Q4,,,young
1,-0.08967903566495865,0.0702289777425188,2023Q1,23031.0,332.0,young
2,0.019678125156267264,0.025244411535493765,2023Q2,23031.0,332.0,young
3,0.009330276300960236,0.025736266326576804,2023Q3,23031.0,332.0,young
4,-0.027791812692154493,0.029412886592187975,2023Q4,23031.0,332.0,young
5,-0.0031033527294211565,0.03110888467655591,2024Q1,23031.0,332.0,young
6,-0.013589976741232265,0.03421640825915654,2024Q2,23031.0,332.0,young
