k,coef,se,period,n_cells,n_clusters,subset
-7,0.011282451391892394,0.03719297561886872,2021Q1,52229.0,544.0,all
-6,0.0067591922851121655,0.03622367748063679,2021Q2,52229.0,544.0,all
-5,0.003879711224380611,0.035168225057281524,2021Q3,52229.0,544.0,all
-4,0.0028101011043190297,0.031827235821557755,2021Q4,52229.0,544.0,all
-3,0.008473418410788091,0.01083435032238332,2022Q1,52229.0,544.0,all
-2,0.002233662525965567,0.023615419765382686,2022Q2,52229.0,544.0,all
-1,0.011334934193441455,0.012665629708456158,2022Q3,52229.0,544.0,all
0,0.0,0.0,2022Q4,,,all
1,0.01006666853806269,0.008291337273349795,2023Q1,52229.0,544.0,all
2,0.007581142999521719,0.009587023698593322,2023Q2,52229.0,544.0,all
3,0.009160967304586577,0.012202332193518102,2023Q3,52229.0,544.0,all
4,0.017848709464308804,0.010376651917779844,2023Q4,52229.0,544.0,all
5,0.022918030016318418,0.012687097527335038,2024Q1,52229.0,544.0,all
6,0.0244334090845724,0.013441148869741985,2024Q2,52229.0,544.0,all
7,0.017948326017387595,0.013059023620685286,2024Q3,52229.0,544.0,all
8,0.025559066105935464,0.01277828465997035,2024Q4,52229.0,544.0,all
9,0.036454451800367944,0.01298345990869351,2025Q1,52229.0,544.0,all
10,0.03048202769635693,0.014042675671459103,2025Q2,52229.0,544.0,all
11,0.02619615056307671,0.01942207777093736,2025Q3,52229.0,544.0,all
12,0.033839883136359675,0.015620458346149833,2025Q4,52229.0,544.0,all
13,0.033554243595965455,0.019041631736945466,2026Q1,52229.0,544.0,all
14,0.023049916958388653,0.0205162392608796,2026Q2,52229.0,544.0,all
-7,0.03524796373876426,0.031087317485470646,2021Q1,21807.0,307.0,young
-6,0.009401614764211136,0.03160410245278149,2021Q2,21807.0,307.0,young
-5,0.024898844149427734,0.02550541319345366,2021Q3,21807.0,307.0,young
-4,-0.0016934196222139492,0.02363223650289069,2021Q4,21807.0,307.0,young
-3,-0.00048534388996128653,0.01612935560328757,2022Q1,21807.0,307.0,young
-2,-0.017331196745201408,0.01843215805399329,2022Q2,21807.0,307.0,young
-1,0.012016058534308035,0.013483844659349925,2022Q3,21807.0,307.0,young
0,0.0,0.0,2022Q4,,,young
1,0.010350577922109801,0.01312796311505817,2023Q1,21807.0,307.0,young
2,0.006004773201185099,0.013375292330881456,2023Q2,21807.0,307.0,young
3,0.01331362823608952,0.015669236771229576,2023Q3,21807.0,307.0,young
4,0.02648348993717617,0.015393892426645994,2023Q4,21807.0,307.0,young
5,0.022152241973751804,0.0186699273192503,2024Q1,21807.0,307.0,young
6,0.014422586107339805,0.020315820870503244,2024Q2,21807.0,307.0,young
7,0.011330879705466455,0.022763252728366924,2024Q3,21807.0,307.0,young
8,0.021008860713318527,0.023156986137288792,2024Q4,21807.0,307.0,young
9,0.034423616283405796,0.024779079950981796,2025Q1,21807.0,307.0,young
10,0.01608536647613138,0.020359965787862887,2025Q2,21807.0,307.0,young
11,0.030838030205616845,0.022277502631251354,2025Q3,21807.0,307.0,young
12,0.027135927021220998,0.019809416881828204,2025Q4,21807.0,307.0,young
13,0.03613935674685523,0.02168573426193689,2026Q1,21807.0,307.0,young
14,0.013628118685359226,0.02477349084463413,2026Q2,21807.0,307.0,young
-7,0.0019521299307432678,0.04423086577494482,2021Q1,30422.0,544.0,older
-6,0.005673454622716833,0.043802001396967195,2021Q2,30422.0,544.0,older
-5,-0.00425095073585383,0.04323517252594588,2021Q3,30422.0,544.0,older
-4,0.004481025555542974,0.03961366491904181,2021Q4,30422.0,544.0,older
-3,0.011769673081787582,0.012412445706206907,2022Q1,30422.0,544.0,older
-2,0.009432286241501662,0.029147355664054176,2022Q2,30422.0,544.0,older
-1,0.011084323761471518,0.01509262370414077,2022Q3,30422.0,544.0,older
0,0.0,0.0,2022Q4,,,older
1,0.009962207943855245,0.009625878917470892,2023Q1,30422.0,544.0,older
2,0.008161146814396891,0.010667972676667999,2023Q2,30422.0,544.0,older
3,0.007633052227367654,0.014143337371820126,2023Q3,30422.0,544.0,older
4,0.01467165949789185,0.011418779089578794,2023Q4,30422.0,544.0,older
5,0.02319979130516298,0.014701860805179908,2024Q1,30422.0,544.0,older
6,0.02811675516425254,0.01412482510552109,2024Q2,30422.0,544.0,older
7,0.02038312533268312,0.013897795399481118,2024Q3,30422.0,544.0,older
8,0.02723325225753917,0.012661477214135608,2024Q4,30422.0,544.0,older
9,0.037201670091700716,0.013952205380005593,2025Q1,30422.0,544.0,older
10,0.035779083271767514,0.01489216730899309,2025Q2,30422.0,544.0,older
11,0.024539825580980588,0.021696469411109972,2025Q3,30422.0,544.0,older
12,0.03630651255645876,0.017453380605802687,2025Q4,30422.0,544.0,older
13,0.03263734896744247,0.02203830761895758,2026Q1,30422.0,544.0,older
14,0.026608992306381675,0.02262292865062636,2026Q2,30422.0,544.0,older
-7,0.0601583652217164,0.04185950321393145,2021Q1,2772.0,31.0,country_ARG
-6,0.07260797492601374,0.042243426539389936,2021Q2,2772.0,31.0,country_ARG
-5,0.08808601410366576,0.04621182719694276,2021Q3,2772.0,31.0,country_ARG
-4,0.046090118508263625,0.03545686429569858,2021Q4,2772.0,31.0,country_ARG
-3,-0.011671919246156404,0.033968592312810436,2022Q1,2772.0,31.0,country_ARG
-2,0.1093216823131209,0.031120852197142154,2022Q2,2772.0,31.0,country_ARG
-1,0.07346033943063335,0.04962769175855809,2022Q3,2772.0,31.0,country_ARG
0,0.0,0.0,2022Q4,,,country_ARG
1,0.05500837825700243,0.025386604299072083,2023Q1,2772.0,31.0,country_ARG
2,0.04510787922694083,0.02989629364438702,2023Q2,2772.0,31.0,country_ARG
3,0.0511669735837877,0.03428156209483856,2023Q3,2772.0,31.0,country_ARG
4,0.013208496772657424,0.027764772928477087,2023Q4,2772.0,31.0,country_ARG
5,0.07515378153044733,0.04209555641096755,2024Q1,2772.0,31.0,country_ARG
6,0.05033180822583283,0.03293690075315782,2024Q2,2772.0,31.0,country_ARG
7,0.035267124176422214,0.043731546909352895,2024Q3,2772.0,31.0,country_ARG
8,0.06623042123775619,0.04102905293678101,2024Q4,2772.0,31.0,country_ARG
9,0.0737448070612104,0.05492166377299356,2025Q1,2772.0,31.0,country_ARG
10,0.1066289307935035,0.07073080060089455,2025Q2,2772.0,31.0,country_ARG
11,0.10677613773328119,0.05716157268466163,2025Q3,2772.0,31.0,country_ARG
12,0.03494106582485837,0.05412533585273066,2025Q4,2772.0,31.0,country_ARG
13,0.07451258429177787,0.057835265947356496,2026Q1,2772.0,31.0,country_ARG
-7,0.022656410287253303,0.03729915572812468,2021Q1,14960.0,111.0,country_BRA
-6,-0.0030621836134093272,0.04305677618670965,2021Q2,14960.0,111.0,country_BRA
-5,-0.015665322090202247,0.025632297508087192,2021Q3,14960.0,111.0,country_BRA
-4,-0.00519121170560552,0.017040211149098584,2021Q4,14960.0,111.0,country_BRA
-3,-0.010489394067937753,0.01348237653750937,2022Q1,14960.0,111.0,country_BRA
-2,-0.01692286285688304,0.00954935171269608,2022Q2,14960.0,111.0,country_BRA
-1,-0.004246646979721898,0.008086360117817937,2022Q3,14960.0,111.0,country_BRA
0,0.0,0.0,2022Q4,,,country_BRA
1,0.010771474622564772,0.012164431475479584,2023Q1,14960.0,111.0,country_BRA
2,-0.015580166357079381,0.01690703778617378,2023Q2,14960.0,111.0,country_BRA
3,-0.007194477072134183,0.014532726038047138,2023Q3,14960.0,111.0,country_BRA
4,0.0037459102058748145,0.01870713790904807,2023Q4,14960.0,111.0,country_BRA
