k,coef,se,period,n_cells,n_clusters,subset
-7,0.010447660178301057,0.038400992359574046,2021Q1,56009.0,611.0,all
-6,0.005924401071520777,0.037526830100205036,2021Q2,56009.0,611.0,all
-5,-0.13190454199703391,0.07864544941988959,2021Q3,56009.0,611.0,all
-4,-0.14347708324971198,0.09254920442942127,2021Q4,56009.0,611.0,all
-3,-0.05617854172031441,0.049958795327764566,2022Q1,56009.0,611.0,all
-2,-0.0027729442837211202,0.0297451390972297,2022Q2,56009.0,611.0,all
-1,0.0026217140764388824,0.012557365753447283,2022Q3,56009.0,611.0,all
0,0.0,0.0,2022Q4,,,all
1,0.040421790979870885,0.02759489742640087,2023Q1,56009.0,611.0,all
2,0.040360277181167796,0.029585554111041062,2023Q2,56009.0,611.0,all
3,0.04042163995993197,0.014911256543906194,2023Q3,56009.0,611.0,all
4,0.036124697852150944,0.01295794975678318,2023Q4,56009.0,611.0,all
5,0.04792467684458436,0.021321025534442158,2024Q1,56009.0,611.0,all
6,0.04162979111813385,0.02901944699010854,2024Q2,56009.0,611.0,all
7,0.04261236123586451,0.02079606274869117,2024Q3,56009.0,611.0,all
8,0.03692932529179556,0.01928460554852047,2024Q4,56009.0,611.0,all
9,0.07062666313304086,0.03369161803476899,2025Q1,56009.0,611.0,all
10,0.08326687474238409,0.04033736872924765,2025Q2,56009.0,611.0,all
11,0.06085276616809253,0.036211533681860156,2025Q3,56009.0,611.0,all
12,0.07070702474239743,0.030057586624735486,2025Q4,56009.0,611.0,all
13,0.03578585095475597,0.023594074133762275,2026Q1,56009.0,611.0,all
14,0.025549407790126055,0.024782494902220106,2026Q2,56009.0,611.0,all
-7,0.008690250493816455,0.03567109258780179,2021Q1,23031.0,332.0,young
-6,-0.017156098480736688,0.03629420151284041,2021Q2,23031.0,332.0,young
-5,-0.1525006113459518,0.0641669210961912,2021Q3,23031.0,332.0,young
-4,-0.08962960912253487,0.06029819639056124,2021Q4,23031.0,332.0,young
-3,-0.09666466861157273,0.04159498773397526,2022Q1,23031.0,332.0,young
-2,-0.03801074700004167,0.036289437565377086,2022Q2,23031.0,332.0,young
-1,-0.050390026081608384,0.0315053960748252,2022Q3,23031.0,332.0,young
0,0.0,0.0,2022Q4,,,young
1,-0.017068629502853,0.038166181324711036,2023Q1,23031.0,332.0,young
2,-0.0064421763320595725,0.03956944437316385,2023Q2,23031.0,332.0,young
3,0.004338725585998233,0.019816217703244175,2023Q3,23031.0,332.0,young
4,-0.008778803811506645,0.02393967809362732,2023Q4,23031.0,332.0,young
5,-0.016632459625186235,0.034909133452695584,2024Q1,23031.0,332.0,young
6,0.004027450490853897,0.03576728821115361,2024Q2,23031.0,332.0,young
7,0.025109868405958854,0.02690512311318402,2024Q3,23031.0,332.0,young
8,0.01573671172161945,0.028112325386755937,2024Q4,23031.0,332.0,young
9,0.0244719781570097,0.038310335385146464,2025Q1,23031.0,332.0,young
10,0.10535066141647312,0.06274338859922911,2025Q2,23031.0,332.0,young
11,0.03829312058666193,0.04379713070130644,2025Q3,23031.0,332.0,young
12,0.037114842309585935,0.04341827263593504,2025Q4,23031.0,332.0,young
13,0.01160948926196997,0.0288885510090978,2026Q1,23031.0,332.0,young
14,-0.010790849860640231,0.030990690342395204,2026Q2,23031.0,332.0,young
-7,0.009619224966816936,0.04378246904764614,2021Q1,32978.0,611.0,older
-6,0.013340549658790652,0.043303186740820544,2021Q2,32978.0,611.0,older
-5,-0.12509760292215816,0.08811279069760844,2021Q3,32978.0,611.0,older
-4,-0.16188453200742473,0.1051377406306367,2021Q4,32978.0,611.0,older
