k,coef,se,period,n_cells,n_clusters,subset
-3,-0.015948520971581392,0.029740380090941893,2022Q1,38877.0,433.0,all
-2,-0.005635120270796693,0.024913938924427486,2022Q2,38877.0,433.0,all
-1,-0.007960917666025058,0.025222673302487564,2022Q3,38877.0,433.0,all
0,0.0,0.0,2022Q4,,,all
1,0.02823164179279341,0.02916696393965327,2023Q1,38877.0,433.0,all
2,0.044412841172076674,0.029126477813096456,2023Q2,38877.0,433.0,all
3,0.06358340119311334,0.031118521507018115,2023Q3,38877.0,433.0,all
4,0.0914285150367608,0.036069661085327276,2023Q4,38877.0,433.0,all
5,0.11617341912274932,0.03916074820295562,2024Q1,38877.0,433.0,all
6,0.10997307375046979,0.03936631696000198,2024Q2,38877.0,433.0,all
7,0.10649599543300542,0.04070257541100541,2024Q3,38877.0,433.0,all
8,0.12519028294270476,0.04241747546865133,2024Q4,38877.0,433.0,all
9,0.16584284654773887,0.0482880668610203,2025Q1,38877.0,433.0,all
10,0.19627382231902027,0.04643257612467855,2025Q2,38877.0,433.0,all
11,0.18230497352625544,0.049267562348024437,2025Q3,38877.0,433.0,all
12,0.19870438104529015,0.053514631642580905,2025Q4,38877.0,433.0,all
13,0.21181472569443116,0.0553546303735807,2026Q1,38877.0,433.0,all
14,0.19595055360335784,0.0628170081709747,2026Q2,38877.0,433.0,all
-3,-0.0694637609204003,0.049250864199844056,2022Q1,16439.0,261.0,young
-2,-0.05773664576939196,0.044936517576603885,2022Q2,16439.0,261.0,young
-1,-0.03080531255009588,0.04020052045871107,2022Q3,16439.0,261.0,young
0,0.0,0.0,2022Q4,,,young
1,0.06139233333419488,0.04986090128936886,2023Q1,16439.0,261.0,young
2,0.08208040610256181,0.04599443638142436,2023Q2,16439.0,261.0,young
3,0.09942833917794273,0.04947681815260497,2023Q3,16439.0,261.0,young
4,0.16721230124662811,0.05405099379507226,2023Q4,16439.0,261.0,young
5,0.16491539365028382,0.0607931537639239,2024Q1,16439.0,261.0,young
6,0.11098560348196781,0.06123984450532737,2024Q2,16439.0,261.0,young
7,0.11203684949945622,0.06547621354322643,2024Q3,16439.0,261.0,young
8,0.1428070289044482,0.0691690428995798,2024Q4,16439.0,261.0,young
9,0.13761095558951106,0.08885290872782614,2025Q1,16439.0,261.0,young
10,0.16772778216261047,0.06689968206199486,2025Q2,16439.0,261.0,young
11,0.20014543074099614,0.06086034309937318,2025Q3,16439.0,261.0,young
12,0.22628556178389753,0.07226917073132648,2025Q4,16439.0,261.0,young
13,0.1908170457800756,0.06736088109684353,2026Q1,16439.0,261.0,young
14,0.16538953333974768,0.07951040653928564,2026Q2,16439.0,261.0,young
-3,0.004378872115850479,0.03366105865892119,2022Q1,22438.0,433.0,older
-2,0.0141552831783459,0.028454202749999265,2022Q2,22438.0,433.0,older
-1,0.0007163674418617821,0.027552115298057088,2022Q3,22438.0,433.0,older
0,0.0,0.0,2022Q4,,,older
1,0.015635782881234395,0.0318700774158567,2023Q1,22438.0,433.0,older
2,0.03010507763180179,0.031691983507169647,2023Q2,22438.0,433.0,older
3,0.04996794986916279,0.033071767000736815,2023Q3,22438.0,433.0,older
4,0.06264256895082733,0.039242762459446606,2023Q4,22438.0,433.0,older
5,0.09765911783162441,0.04190557097948812,2024Q1,22438.0,433.0,older
6,0.10958847134777464,0.04354060003484017,2024Q2,22438.0,433.0,older
7,0.10439134040843977,0.044629955781571945,2024Q3,22438.0,433.0,older
8,0.11849868405557273,0.04260626265798482,2024Q4,22438.0,433.0,older
9,0.17656653470943182,0.048039845145979955,2025Q1,22438.0,433.0,older
10,0.20711683787690258,0.050799172533566785,2025Q2,22438.0,433.0,older
11,0.17552839946976775,0.054430888064382316,2025Q3,22438.0,433.0,older
12,0.1882278606517393,0.05630845665557626,2025Q4,22438.0,433.0,older
13,0.21979054891696054,0.06359419554354137,2026Q1,22438.0,433.0,older
14,0.2082879421545439,0.06946396584883781,2026Q2,22438.0,433.0,older
-3,0.04537969199000913,0.12889931758197706,2022Q1,2244.0,31.0,country_ARG
-2,0.29442962181905064,0.10717170439083479,2022Q2,2244.0,31.0,country_ARG
-1,0.07556090353577616,0.15357147517530242,2022Q3,2244.0,31.0,country_ARG
0,0.0,0.0,2022Q4,,,country_ARG
1,0.09874577083857664,0.08988350317921467,2023Q1,2244.0,31.0,country_ARG
2,0.12739945372718914,0.10905826908505667,2023Q2,2244.0,31.0,country_ARG
3,0.1597002941999184,0.12720028291880703,2023Q3,2244.0,31.0,country_ARG
4,0.04189072472421612,0.10678407742783765,2023Q4,2244.0,31.0,country_ARG
5,0.20299741437839108,0.1442854181859032,2024Q1,2244.0,31.0,country_ARG
6,0.1604207533770047,0.1157639840316349,2024Q2,2244.0,31.0,country_ARG
7,0.1836950299855709,0.19261832530440826,2024Q3,2244.0,31.0,country_ARG
8,0.1956033569291835,0.1443522660179421,2024Q4,2244.0,31.0,country_ARG
9,0.15417232144633727,0.18364464719685475,2025Q1,2244.0,31.0,country_ARG
10,0.2541126723296595,0.18680155263844433,2025Q2,2244.0,31.0,country_ARG
