k,coef,se,period,n_cells,n_clusters,subset
-7,0.017720264804644534,0.03756873878883699,2021Q1,63316.0,722.0,all
-6,0.02231611799359094,0.03673412789353789,2021Q2,63316.0,722.0,all
-5,0.032179460102674695,0.1138529800993458,2021Q3,63316.0,722.0,all
-4,0.027202000250140253,0.12440990086736284,2021Q4,63316.0,722.0,all
-3,0.0765508229294205,0.08482980378463796,2022Q1,63316.0,722.0,all
-2,0.07574108498983881,0.04873858149560025,2022Q2,63316.0,722.0,all
-1,0.027089702748495568,0.01761410811769833,2022Q3,63316.0,722.0,all
0,0.0,0.0,2022Q4,,,all
1,0.05223938853182,0.02475550187317756,2023Q1,63316.0,722.0,all
2,0.028627493321555706,0.034396458734252885,2023Q2,63316.0,722.0,all
3,0.021594080188456714,0.024994383057971872,2023Q3,63316.0,722.0,all
4,0.0013984817430141643,0.03160450781486671,2023Q4,63316.0,722.0,all
5,0.02707850326466279,0.034399977518237715,2024Q1,63316.0,722.0,all
6,0.014081025377823811,0.04072469930716662,2024Q2,63316.0,722.0,all
7,0.037892934568769514,0.027189300820319773,2024Q3,63316.0,722.0,all
8,0.0404833824691953,0.020986032167259416,2024Q4,63316.0,722.0,all
9,-0.022113111491034416,0.07753082892315324,2025Q1,63316.0,722.0,all
10,0.018613773082768317,0.06945561143795373,2025Q2,63316.0,722.0,all
11,-0.05775370170014098,0.08953439377701053,2025Q3,63316.0,722.0,all
12,-0.03349707807273431,0.08388616116900609,2025Q4,63316.0,722.0,all
13,0.05586785919111586,0.02748304632446303,2026Q1,63316.0,722.0,all
14,0.04766642760398238,0.02861023130056029,2026Q2,63316.0,722.0,all
-7,-0.006468438626674084,0.03758351426799268,2021Q1,25247.0,374.0,young
-6,-0.014173911440768554,0.036889659541985816,2021Q2,25247.0,374.0,young
-5,-0.0718735800737867,0.08384043543551215,2021Q3,25247.0,374.0,young
-4,-0.006734053341205014,0.08308258054903332,2021Q4,25247.0,374.0,young
