k,coef,se,period,n_cells,n_clusters,subset
-7,-0.029461046128697262,0.009566554664288693,2021Q1,35807.0,410.0,all
-6,-0.000572007959734688,0.011012924900154127,2021Q2,35807.0,410.0,all
-5,0.0010623482492289845,0.007684102660378181,2021Q3,35807.0,410.0,all
-4,-0.0014971221900390388,0.011206506017018197,2021Q4,35807.0,410.0,all
-3,-0.00313939208036522,0.006359962899116375,2022Q1,35807.0,410.0,all
-2,-0.0005267584101325887,0.007590214083540095,2022Q2,35807.0,410.0,all
-1,-0.0014568746310196976,0.004624781082307097,2022Q3,35807.0,410.0,all
0,0.0,0.0,2022Q4,,,all
1,-0.0027833464561084326,0.00429327979769025,2023Q1,35807.0,410.0,all
2,-0.002122832387035159,0.005104414441962348,2023Q2,35807.0,410.0,all
3,-0.013830317679029815,0.0056374881850704784,2023Q3,35807.0,410.0,all
4,-0.010249293643384448,0.006423985315225559,2023Q4,35807.0,410.0,all
5,-0.010531778453063004,0.006032208321001323,2024Q1,35807.0,410.0,all
6,-0.008814913597502541,0.0076119533112665285,2024Q2,35807.0,410.0,all
7,-0.009485356599911045,0.006619991009828148,2024Q3,35807.0,410.0,all
8,-0.017631205204765115,0.007453208781067178,2024Q4,35807.0,410.0,all
9,-0.010374580950626777,0.007157721546078702,2025Q1,35807.0,410.0,all
10,-0.01175306243084821,0.007868396649627352,2025Q2,35807.0,410.0,all
11,-0.012985651083879113,0.008081475684932457,2025Q3,35807.0,410.0,all
12,-0.010842642475426505,0.00633819787065059,2025Q4,35807.0,410.0,all
13,-0.004318541886742623,0.0067253467040529835,2026Q1,35807.0,410.0,all
14,-0.01182407975508349,0.00766367857738203,2026Q2,35807.0,410.0,all
-7,-0.061379943396011286,0.012249630121039912,2021Q1,14297.0,236.0,young
-6,-0.016223626270761404,0.01725807239145142,2021Q2,14297.0,236.0,young
-5,-0.0036150623144759384,0.01153358627972548,2021Q3,14297.0,236.0,young
-4,-0.006247556320021733,0.01866642179441319,2021Q4,14297.0,236.0,young
-3,-0.0035609065142556957,0.010844985364281797,2022Q1,14297.0,236.0,young
-2,0.008925972443463331,0.015625568691073708,2022Q2,14297.0,236.0,young
-1,0.006080660147050409,0.010899774388390416,2022Q3,14297.0,236.0,young
0,0.0,0.0,2022Q4,,,young
1,-0.01099645018556861,0.009883187211252824,2023Q1,14297.0,236.0,young
2,-0.014004793881104998,0.007830881386705069,2023Q2,14297.0,236.0,young
3,-0.023060623856581933,0.011865281994101876,2023Q3,14297.0,236.0,young
4,-0.02942982988468789,0.008954093666811732,2023Q4,14297.0,236.0,young
5,-0.025072730962203367,0.009433590791818247,2024Q1,14297.0,236.0,young
6,-0.02444242868280387,0.011206813266890747,2024Q2,14297.0,236.0,young
7,-0.015153875773346637,0.010319320433165226,2024Q3,14297.0,236.0,young
8,-0.030302228504327393,0.010947428454798215,2024Q4,14297.0,236.0,young
9,-0.01906920761588361,0.012393094320654543,2025Q1,14297.0,236.0,young
10,-0.023912884271049248,0.01044033266250806,2025Q2,14297.0,236.0,young
11,-0.019374897271925852,0.01001717491289127,2025Q3,14297.0,236.0,young
12,-0.02733480337912282,0.01022831864495409,2025Q4,14297.0,236.0,young
13,-0.015005002370496448,0.01196475051426334,2026Q1,14297.0,236.0,young
14,-0.03082296411103952,0.012097762042505737,2026Q2,14297.0,236.0,young
-7,-0.01593810889297235,0.009462465398877433,2021Q1,21510.0,410.0,older
-6,0.006015603009316882,0.00927711267522505,2021Q2,21510.0,410.0,older
-5,0.0027444262514626488,0.008509568916957286,2021Q3,21510.0,410.0,older
-4,0.000217030533324245,0.009133936035648875,2021Q4,21510.0,410.0,older
-3,-0.002901463371351897,0.006795348370472713,2022Q1,21510.0,410.0,older
-2,-0.004280335988031922,0.0059725450617801245,2022Q2,21510.0,410.0,older
-1,-0.004449948481719419,0.004163626677919361,2022Q3,21510.0,410.0,older
0,0.0,0.0,2022Q4,,,older
1,0.0005368382149396055,0.005476401739007971,2023Q1,21510.0,410.0,older
2,0.0025953665055778075,0.006674474032567041,2023Q2,21510.0,410.0,older
3,-0.0101650625435759,0.006398687615362262,2023Q3,21510.0,410.0,older
4,-0.0026329093537528856,0.006560513289830758,2023Q4,21510.0,410.0,older
5,-0.004708375389958075,0.006299971993102387,2024Q1,21510.0,410.0,older
6,-0.002609395728541192,0.00878537809893348,2024Q2,21510.0,410.0,older
7,-0.007234448708969989,0.006836600443393878,2024Q3,21510.0,410.0,older
8,-0.012599678370571455,0.009127880423322646,2024Q4,21510.0,410.0,older
9,-0.006863911786182777,0.007081456048093093,2025Q1,21510.0,410.0,older
10,-0.006924528188463915,0.009092681591052459,2025Q2,21510.0,410.0,older
11,-0.01044855026057484,0.009228047227365909,2025Q3,21510.0,410.0,older
12,-0.004293783067705775,0.007622068903015852,2025Q4,21510.0,410.0,older
13,-1.9928000169132808e-05,0.006402519522322236,2026Q1,21510.0,410.0,older
14,-0.0037856260358782585,0.008292420298678967,2026Q2,21510.0,410.0,older
-7,-0.06545738992040956,0.014794976943446565,2021Q1,2772.0,31.0,country_ARG
-6,-0.028867407221606023,0.012382880974329767,2021Q2,2772.0,31.0,country_ARG
-5,-0.017307246515223,0.0151101989055903,2021Q3,2772.0,31.0,country_ARG
-4,-0.04213251917954896,0.014210660311073296,2021Q4,2772.0,31.0,country_ARG
-3,-0.008772100034088938,0.012910304356187343,2022Q1,2772.0,31.0,country_ARG
-2,-0.012589674456795324,0.009916997615089454,2022Q2,2772.0,31.0,country_ARG
-1,-0.011136135320457161,0.015909550711865807,2022Q3,2772.0,31.0,country_ARG
0,0.0,0.0,2022Q4,,,country_ARG
