countrycode,yr,nq,emp_all_k,itbpo_k,n_itbpo,it_k,bpo_k,itbpo_prof_k,itbpo_cler_k,u25_itbpo,u30_itbpo,u25_all,itbpo_idx,it_idx,bpo_idx,itbpo_prof_idx,itbpo_cler_idx,emp_all_idx,itbpo_share_pct,definition
ARG,2021,4,12252.647,251.037,1088,140.309,110.728,140.486,77.04,16.09,32.015,10.654,87.754,103.605,73.504,92.889,79.122,95.055,2.049,ISIC 62+63+82
ARG,2022,4,12890.111,286.069,1387,135.427,150.642,151.242,97.37,13.576,34.315,10.798,100.0,100.0,100.0,100.0,100.0,100.0,2.219,ISIC 62+63+82
ARG,2023,4,13303.285,245.754,1239,129.61,116.145,126.678,86.123,13.134,32.853,11.03,85.907,95.704,77.1,83.759,88.449,103.205,1.847,ISIC 62+63+82
ARG,2024,4,13344.088,267.152,1221,168.431,98.722,152.353,80.46,13.447,31.25,10.783,93.387,124.37,65.534,100.735,82.634,103.522,2.002,ISIC 62+63+82
ARG,2025,4,13418.212,251.558,1193,161.353,90.206,146.309,71.011,13.285,29.577,10.681,87.936,119.144,59.881,96.739,72.929,104.097,1.875,ISIC 62+63+82
ARG,2026,1,13471.636,321.012,300,186.239,134.773,189.276,106.899,12.381,27.785,10.229,112.215,137.52,89.466,125.148,109.787,104.511,2.383,ISIC 62+63+82
BRA,2021,4,89623.206,1639.437,8137,894.072,745.365,993.286,553.735,24.223,43.486,14.072,90.622,93.07,87.85,91.695,88.904,93.134,1.829,ISIC 62+63+82
BRA,2022,4,96230.195,1809.097,11205,960.65,848.447,1083.248,622.848,24.652,44.556,14.8,100.0,100.0,100.0,100.0,100.0,100.0,1.88,ISIC 62+63+82
BRA,2023,4,97503.903,1910.385,11846,1041.045,869.34,1198.293,611.37,21.862,41.849,14.421,105.599,108.369,102.462,110.62,98.157,101.324,1.959,ISIC 62+63+82
BRA,2024,4,100266.041,1924.833,11976,1081.633,843.2,1210.209,595.941,20.913,40.968,14.289,106.397,112.594,99.381,111.72,95.68,104.194,1.92,ISIC 62+63+82
BRA,2025,4,102064.502,1964.689,12227,1137.782,826.907,1262.415,576.895,20.215,39.882,13.949,108.6,118.439,97.461,116.54,92.622,106.063,1.925,ISIC 62+63+82
BRA,2026,2,102516.686,2056.498,6776,1220.119,836.379,1382.58,546.19,19.04,38.429,13.797,113.675,127.01,98.578,127.633,87.692,106.533,2.006,ISIC 62+63+82
COL,2022,4,22032.18,416.404,5390,161.009,255.395,217.83,177.611,23.281,47.792,12.948,100.0,100.0,100.0,100.0,100.0,100.0,1.89,ISIC 62+63+82
COL,2023,4,22788.394,450.707,5499,185.882,264.824,238.488,193.017,21.252,46.62,12.727,108.238,115.448,103.692,109.483,108.674,103.432,1.978,ISIC 62+63+82
COL,2024,4,23036.043,466.604,5306,190.698,275.906,245.832,201.122,21.303,45.279,12.199,112.055,118.439,108.031,112.855,113.237,104.556,2.026,ISIC 62+63+82
COL,2025,4,23827.434,509.54,5803,210.035,299.505,278.31,211.87,19.324,43.15,12.061,122.367,130.449,117.271,127.765,119.289,108.148,2.138,ISIC 62+63+82
COL,2026,2,24165.331,501.492,2823,215.797,285.696,289.131,191.158,16.607,39.601,11.923,120.434,134.028,111.864,132.733,107.627,109.682,2.075,ISIC 62+63+82
ECU,2021,2,8058.694,56.527,618,15.527,41.0,21.976,29.715,19.891,40.703,16.929,89.773,106.209,84.804,104.011,98.342,98.73,0.701,ISIC 62+63+82
ECU,2022,4,8162.331,62.966,1332,14.619,48.346,21.128,30.216,21.644,43.281,16.329,100.0,100.0,100.0,100.0,100.0,100.0,0.771,ISIC 62+63+82
ECU,2023,4,8180.799,56.398,1277,15.192,41.206,22.566,29.249,18.493,40.408,16.244,89.569,103.914,85.231,106.805,96.801,100.226,0.689,ISIC 62+63+82
ECU,2024,4,8241.036,54.741,1259,15.492,39.249,22.532,27.156,16.116,38.262,15.505,86.937,105.967,81.183,106.644,89.875,100.964,0.664,ISIC 62+63+82
ECU,2025,4,8333.569,54.507,1193,17.626,36.88,23.67,27.175,9.374,28.295,14.729,86.565,120.569,76.283,112.029,89.936,102.098,0.654,ISIC 62+63+82
ECU,2026,1,8328.699,64.877,310,18.048,46.829,22.88,22.121,11.656,22.565,14.471,103.035,123.45,96.862,108.292,73.212,102.038,0.779,ISIC 62+63+82
GEO,2021,4,1217.417,7.628,81,6.27,1.358,6.331,0.698,9.362,41.617,6.087,88.542,112.927,44.33,96.044,44.974,94.836,0.627,ISIC 62+63+82
GEO,2022,4,1283.706,8.615,92,5.552,3.062,6.592,1.552,15.886,46.547,5.795,100.0,100.0,100.0,100.0,100.0,100.0,0.671,ISIC 62+63+82
GEO,2023,4,1334.559,6.852,67,5.135,1.718,5.551,1.014,29.191,63.041,5.878,79.541,92.477,56.086,84.204,65.33,103.961,0.513,ISIC 62+63+82
GEO,2024,4,1402.459,5.512,69,3.977,1.535,4.055,1.323,10.032,40.864,6.472,63.988,71.63,50.132,61.518,85.253,109.251,0.393,ISIC 62+63+82
GEO,2025,4,1389.652,5.786,56,5.212,0.574,4.067,1.611,27.195,51.584,6.179,67.163,93.877,18.732,61.698,103.782,108.253,0.416,ISIC 62+63+82
IND,2021,2,418067.658,6153.518,1334,4489.3,1664.218,4633.563,1207.732,18.548,48.069,11.379,90.223,86.874,100.697,89.721,88.723,96.83,1.472,ISIC 62+63+82
IND,2022,4,431752.664,6820.322,2726,5167.616,1652.706,5164.422,1361.246,17.4,43.727,11.744,100.0,100.0,100.0,100.0,100.0,100.0,1.58,ISIC 62+63+82
IND,2023,4,471885.685,7258.672,2790,5694.965,1563.707,5551.342,1460.356,12.715,41.629,11.961,106.427,110.205,94.615,107.492,107.281,109.295,1.538,ISIC 62+63+82
IND,2024,4,482793.235,7344.769,2600,5728.585,1616.184,5313.612,1625.47,13.461,45.527,11.95,107.689,110.855,97.79,102.889,119.41,111.822,1.521,ISIC 62+63+82
IND,2025,4,472133.509,7421.274,11473,5470.843,1950.43,5073.144,1877.988,14.749,44.894,11.47,108.811,105.868,118.014,98.233,137.961,109.353,1.572,ISIC 62+63+82
PER,2022,4,17333.632,187.172,1309,54.016,133.156,57.741,105.29,25.0,50.794,16.123,100.0,100.0,100.0,100.0,100.0,100.0,1.08,ISIC 62+63+82
PER,2023,4,17179.847,176.171,1384,58.026,118.146,61.455,88.95,23.623,45.566,14.904,94.123,107.424,88.727,106.432,84.481,99.113,1.025,ISIC 62+63+82
PER,2024,4,17322.936,176.416,1373,65.665,110.751,65.166,83.581,22.351,44.67,14.203,94.253,121.566,83.174,112.858,79.382,99.938,1.018,ISIC 62+63+82
PER,2025,4,17575.15,161.673,1159,60.265,101.409,57.772,82.827,21.337,40.047,13.709,86.377,111.569,76.158,100.054,78.665,101.393,0.92,ISIC 62+63+82
PER,2026,2,17689.142,162.908,587,61.322,101.586,64.367,75.049,15.274,34.057,13.845,87.037,113.527,76.29,111.474,71.278,102.051,0.921,ISIC 62+63+82
PHL,2021,4,42502.308,1274.407,13827,217.627,1056.78,289.245,944.993,21.252,52.714,13.912,83.667,106.775,80.097,103.583,78.743,92.724,2.998,ISIC 62+63+82
PHL,2022,4,45837.52,1523.188,15365,203.819,1319.369,279.239,1200.101,20.823,52.01,13.31,100.0,100.0,100.0,100.0,100.0,100.0,3.323,ISIC 62+63+82
PHL,2023,4,46938.519,1770.646,16881,264.316,1506.33,353.195,1367.079,18.861,50.135,12.656,116.246,129.682,114.17,126.485,113.914,102.402,3.772,ISIC 62+63+82
PHL,2024,4,47524.318,1895.624,17288,255.914,1639.71,338.776,1493.685,15.743,47.305,11.803,124.451,125.56,124.28,121.321,124.463,103.68,3.989,ISIC 62+63+82
PHL,2025,3,48637.288,1953.144,7394,256.543,1696.601,313.363,1578.321,14.746,46.367,11.579,128.227,125.868,128.592,112.22,131.516,106.108,4.016,ISIC 62+63+82
ZAF,2022,4,15735.863,252.231,637,252.231,,213.508,23.023,8.968,31.484,6.453,100.0,100.0,,100.0,100.0,100.0,1.603,ISIC 62 only (SIC 88 lumps business services)
ZAF,2023,4,16737.449,285.865,945,285.865,,237.781,32.691,7.143,24.315,6.59,113.335,113.335,,111.369,141.991,106.365,1.708,ISIC 62 only (SIC 88 lumps business services)
ZAF,2024,4,17127.641,291.488,960,291.488,,229.087,27.234,6.228,24.031,6.399,115.564,115.564,,107.297,118.29,108.845,1.702,ISIC 62 only (SIC 88 lumps business services)
ZAF,2025,4,17179.735,302.816,960,302.816,,234.931,41.321,8.115,22.241,6.374,120.055,120.055,,110.034,179.473,109.176,1.763,ISIC 62 only (SIC 88 lumps business services)
ZAF,2026,2,16947.716,316.479,469,316.479,,250.112,35.014,7.505,20.15,6.175,125.472,125.472,,117.144,152.081,107.701,1.867,ISIC 62 only (SIC 88 lumps business services)
MEX,2021,4,55165.865,445.924,5182,,445.924,182.359,206.015,22.023,42.484,15.937,105.873,,105.873,112.278,95.174,96.238,0.808,ENOE 5611 business support and employment services (IT not separable)
MEX,2022,4,57322.398,421.188,4802,,421.188,162.418,216.461,22.375,43.458,15.849,100.0,,100.0,100.0,100.0,100.0,0.735,ENOE 5611 business support and employment services (IT not separable)
MEX,2023,4,58896.384,424.073,5097,,424.073,155.974,218.598,21.269,42.301,15.568,100.685,,100.685,96.032,100.987,102.746,0.72,ENOE 5611 business support and employment services (IT not separable)
MEX,2024,4,59365.965,423.44,4935,,423.44,172.372,196.847,20.88,40.305,15.312,100.534,,100.534,106.128,90.939,103.565,0.713,ENOE 5611 business support and employment services (IT not separable)
MEX,2025,4,59440.268,466.636,5033,,466.636,177.543,242.177,19.016,36.554,14.625,110.79,,110.79,109.313,111.88,103.695,0.785,ENOE 5611 business support and employment services (IT not separable)
MEX,2026,2,59796.377,444.958,2394,,444.958,175.013,228.455,18.634,36.465,14.207,105.643,,105.643,107.755,105.541,104.316,0.744,ENOE 5611 business support and employment services (IT not separable)
