countrycode,period,emp_all_k,itbpo_k,itbpo_cler_k,u25_itbpo,n_itbpo,itbpo_idx,itbpo_cler_idx,emp_all_idx
BRA,2021Q1,85496.617,1550.732,526.501,25.22,1578,85.719,84.531,88.846
BRA,2021Q2,87743.113,1640.069,529.486,23.158,1806,90.657,85.01,91.18
BRA,2021Q3,91265.228,1634.196,562.047,24.7,2244,90.332,90.238,94.841
BRA,2021Q4,93987.868,1732.752,596.908,23.889,2509,95.78,95.835,97.67
BRA,2022Q1,93523.38,1716.034,602.154,23.735,2585,94.856,96.678,97.187
BRA,2022Q2,96445.239,1884.234,630.31,25.857,2851,104.153,101.198,100.223
BRA,2022Q3,97435.208,1804.215,632.582,25.312,2919,99.73,101.563,101.252
BRA,2022Q4,97516.953,1831.906,626.346,23.621,2850,101.261,100.562,101.337
BRA,2023Q1,95978.014,1838.717,617.277,22.368,2824,101.637,99.106,99.738
BRA,2023Q2,97037.779,1820.045,589.045,21.963,2827,100.605,94.573,100.839
BRA,2023Q3,97937.872,1937.235,624.968,21.404,3077,107.083,100.34,101.775
BRA,2023Q4,99061.947,2045.543,614.192,21.75,3118,113.07,98.61,102.943
BRA,2024Q1,98290.439,1860.689,574.441,20.606,2979,102.852,92.228,102.141
BRA,2024Q2,99883.417,1975.272,622.785,20.821,3069,109.186,99.99,103.796
BRA,2024Q3,101058.351,1945.01,601.399,20.527,3008,107.513,96.556,105.017
BRA,2024Q4,101831.959,1918.362,585.139,21.696,2920,106.04,93.946,105.821
BRA,2025Q1,100510.786,1928.998,558.867,20.753,2943,106.628,89.728,104.448
BRA,2025Q2,102315.739,1911.19,597.34,20.835,2913,105.643,95.905,106.324
BRA,2025Q3,102433.241,1971.063,576.616,20.504,3142,108.953,92.577,106.446
BRA,2025Q4,102998.244,2047.504,574.756,18.851,3229,113.178,92.279,107.033
BRA,2026Q1,101976.125,2053.786,533.493,18.921,3332,113.525,85.654,105.971
BRA,2026Q2,103057.248,2059.21,558.887,19.159,3444,113.825,89.731,107.095
COL,2022Q1,21352.178,390.396,178.188,22.224,1333,93.754,100.325,96.914
COL,2022Q2,22054.918,422.981,171.075,20.037,1381,101.579,96.32,100.103
COL,2022Q3,22201.466,419.425,172.179,24.992,1340,100.726,96.942,100.768
COL,2022Q4,22520.159,432.815,189.003,25.748,1336,103.941,106.414,102.215
COL,2023Q1,22172.652,426.065,174.775,21.173,1321,102.32,98.403,100.638
COL,2023Q2,22787.222,439.042,189.263,23.557,1423,105.437,106.56,103.427
COL,2023Q3,23149.82,449.983,181.52,20.889,1376,108.064,102.201,105.073
COL,2023Q4,23043.881,487.736,226.512,19.582,1379,117.13,127.533,104.592
COL,2024Q1,22387.537,429.657,188.091,22.89,1272,103.183,105.9,101.613
COL,2024Q2,22938.895,489.355,209.59,20.469,1426,117.519,118.005,104.115
COL,2024Q3,23278.057,471.241,210.6,21.981,1345,113.169,118.574,105.655
COL,2024Q4,23539.683,476.161,196.207,20.059,1263,114.351,110.47,106.842
COL,2025Q1,23358.235,466.865,204.637,23.761,1402,112.118,115.216,106.019
COL,2025Q2,23651.954,532.206,228.383,16.906,1468,127.81,128.586,107.352
COL,2025Q3,23902.243,497.089,211.907,19.556,1457,119.376,119.31,108.488
COL,2025Q4,24397.303,542.002,202.553,17.663,1476,130.162,114.043,110.735
COL,2026Q1,23890.988,491.834,179.906,15.878,1439,118.115,101.292,108.437
COL,2026Q2,24439.675,511.151,202.409,17.308,1384,122.753,113.962,110.927
IND,2021Q3,415462.777,6266.608,1084.412,16.889,655,91.881,79.663,96.227
IND,2021Q4,420672.539,6040.429,1331.052,20.269,679,88.565,97.782,97.434
IND,2022Q1,420858.32,6244.956,1312.799,17.414,672,91.564,96.441,97.477
IND,2022Q2,415898.719,6927.531,1733.087,22.813,656,101.572,127.316,96.328
IND,2022Q3,439638.783,6889.861,1083.288,12.7,713,101.02,79.581,101.827
IND,2022Q4,450614.833,7218.938,1315.808,16.682,685,105.845,96.662,104.369
IND,2023Q1,458467.538,6746.34,1340.271,11.108,702,98.915,98.459,106.188
IND,2023Q2,455982.842,7964.426,1742.688,13.877,756,116.775,128.022,105.612
IND,2023Q3,493683.903,7017.423,1364.074,14.496,682,102.89,100.208,114.344
IND,2023Q4,479408.455,7306.498,1394.389,11.223,650,107.128,102.435,111.038
IND,2024Q1,489594.536,8389.383,1828.172,9.099,682,123.006,134.301,113.397
IND,2024Q2,471434.163,7089.182,1391.822,10.664,667,103.942,102.246,109.191
IND,2024Q3,484187.285,6934.063,1487.199,19.964,645,101.668,109.253,112.145
IND,2024Q4,485956.957,6966.448,1794.686,15.088,606,102.143,131.841,112.554
IND,2025Q1,484245.102,7408.935,1994.589,17.831,1720,108.63,146.527,112.158
IND,2025Q2,470866.742,7531.933,1953.111,15.202,3317,110.434,143.48,109.059
IND,2025Q3,462915.112,7373.626,1673.475,12.789,3235,108.113,122.937,107.218
IND,2025Q4,470507.079,7370.6,1890.777,13.15,3201,108.068,138.901,108.976
PHL,2021Q1,41247.729,1189.619,843.677,23.688,1818,78.101,70.301,89.987
PHL,2021Q2,43268.969,1139.916,869.978,20.111,1691,74.837,72.492,94.396
PHL,2021Q3,41670.982,1412.816,1013.621,20.626,8296,92.754,84.461,90.91
PHL,2021Q4,43821.554,1355.279,1052.698,20.725,2022,88.976,87.717,95.602
PHL,2022Q1,43264.382,1500.53,1152.798,21.0,8735,98.512,96.058,94.386
PHL,2022Q2,45630.306,1415.267,1122.771,21.645,2077,92.915,93.556,99.548
PHL,2022Q3,47391.497,1554.814,1246.931,19.915,2236,102.076,103.902,103.39
PHL,2022Q4,47063.894,1622.142,1277.905,20.811,2317,106.496,106.483,102.675
PHL,2023Q1,47351.759,1675.044,1301.501,18.797,2331,109.97,108.449,103.303
PHL,2023Q2,48058.081,1737.252,1382.169,18.659,2277,114.054,115.171,104.844
PHL,2023Q3,44555.975,1772.58,1331.366,17.567,9732,116.373,110.938,97.204
PHL,2023Q4,47788.26,1897.708,1453.28,20.311,2541,124.588,121.096,104.256
PHL,2024Q1,45902.161,1823.199,1402.788,17.873,9870,119.696,116.889,100.141
PHL,2024Q2,48354.356,1799.579,1438.957,16.246,2362,118.146,119.903,105.491
PHL,2024Q3,47683.861,1804.375,1430.846,15.018,2410,118.46,119.227,104.028
PHL,2024Q4,48156.894,2155.342,1702.15,14.13,2646,141.502,141.834,105.06
PHL,2025Q1,48486.641,1940.71,1560.074,15.653,2427,127.411,129.995,105.779
PHL,2025Q2,48671.648,1900.092,1537.242,14.066,2338,124.744,128.093,106.183
PHL,2025Q4,48753.575,2018.629,1637.647,14.515,2629,132.527,136.459,106.362
URY,2021Q3,1629.702,40.722,11.516,18.266,261,96.001,80.943,98.201
URY,2021Q4,1678.336,40.087,13.103,17.486,575,94.504,92.093,101.132
URY,2022Q1,1667.29,39.872,12.85,16.964,667,93.997,90.315,100.466
URY,2022Q2,1647.357,44.11,13.924,20.359,738,103.988,97.866,99.265
URY,2022Q3,1648.351,42.417,14.298,18.362,719,99.996,100.494,99.325
URY,2022Q4,1675.208,43.274,15.839,17.704,747,102.018,111.325,100.943
URY,2023Q1,1676.098,44.793,14.383,18.195,765,105.599,101.089,100.997
URY,2023Q2,1688.686,40.765,14.547,17.756,710,96.102,102.247,101.756
URY,2023Q3,1709.441,40.937,15.35,16.145,738,96.508,107.891,103.006
URY,2023Q4,1716.068,45.649,15.11,14.743,813,107.616,106.202,103.406
URY,2024Q1,1720.291,44.484,14.151,14.779,824,104.87,99.461,103.66
URY,2024Q2,1716.181,40.48,11.21,14.008,717,95.431,78.792,103.412
URY,2024Q3,1737.401,40.111,12.077,15.338,720,94.562,84.884,104.691
URY,2024Q4,1758.714,47.693,12.88,14.842,816,112.435,90.53,105.975
URY,2025Q1,1748.472,48.262,12.395,15.008,872,113.777,87.121,105.358
URY,2025Q2,1752.548,44.422,12.813,17.638,745,104.724,90.057,105.604
URY,2025Q3,1766.719,47.265,15.087,18.592,738,111.426,106.038,106.458
URY,2025Q4,1773.252,48.357,14.369,15.503,775,114.001,100.996,106.851
ALL,2022Q1,159807.229,3646.832,1945.99,22.374,13320,96.194,96.585,96.409
ALL,2022Q2,165777.82,3766.593,1938.08,23.556,7047,99.353,96.193,100.011
ALL,2022Q3,168676.523,3820.871,2065.99,23.004,7214,100.785,102.541,101.76
ALL,2022Q4,168776.214,3930.137,2109.093,22.63,7250,103.667,104.681,101.82
ALL,2023Q1,167178.523,3984.62,2107.935,20.692,7241,105.104,104.623,100.856
