source,year,month,period,total,J_info_comm,N_admin_support,total_idx,J_info_comm_idx,N_admin_support_idx,itbpo,itbpo_u25,n_itbpo,itbpo_idx,millions,forecast,idx
PSA OpenSTAT monthly,2021.0,1.0,2021Q1,41247.73,464.22,1764.9,87.97,95.92,80.77,,,,,,,
PSA OpenSTAT monthly,2021.0,2.0,2021Q1,43153.47,508.36,1651.26,92.04,105.04,75.57,,,,,,,
PSA OpenSTAT monthly,2021.0,3.0,2021Q1,45331.55,445.9,1789.72,96.68,92.13,81.9,,,,,,,
PSA OpenSTAT monthly,2021.0,4.0,2021Q2,43268.97,372.83,1728.29,92.28,77.04,79.09,,,,,,,
PSA OpenSTAT monthly,2021.0,5.0,2021Q2,44716.9,444.9,1535.78,95.37,91.93,70.28,,,,,,,
PSA OpenSTAT monthly,2021.0,6.0,2021Q2,45075.63,428.62,1808.79,96.14,88.56,82.77,,,,,,,
PSA OpenSTAT monthly,2021.0,7.0,2021Q3,41670.98,478.33,2043.86,88.88,98.83,93.53,,,,,,,
PSA OpenSTAT monthly,2021.0,8.0,2021Q3,44231.04,497.14,1811.76,94.34,102.72,82.91,,,,,,,
PSA OpenSTAT monthly,2021.0,9.0,2021Q3,43592.93,369.29,1904.05,92.98,76.3,87.13,,,,,,,
PSA OpenSTAT monthly,2021.0,10.0,2021Q4,43821.55,449.88,1949.82,93.46,92.96,89.23,,,,,,,
PSA OpenSTAT monthly,2021.0,11.0,2021Q4,45474.29,480.17,1932.12,96.99,99.21,88.42,,,,,,,
PSA OpenSTAT monthly,2021.0,12.0,2021Q4,46274.47,396.08,2051.98,98.69,81.84,93.9,,,,,,,
PSA OpenSTAT monthly,2022.0,1.0,2022Q1,43264.38,494.85,2183.98,92.27,102.25,99.94,,,,,,,
PSA OpenSTAT monthly,2022.0,2.0,2022Q1,45480.02,532.73,1914.25,97.0,110.08,87.6,,,,,,,
PSA OpenSTAT monthly,2022.0,3.0,2022Q1,46975.03,504.32,2236.38,100.19,104.21,102.34,,,,,,,
PSA OpenSTAT monthly,2022.0,4.0,2022Q2,45630.31,431.97,2079.11,97.32,89.25,95.15,,,,,,,
PSA OpenSTAT monthly,2022.0,5.0,2022Q2,46083.59,441.73,2068.76,98.29,91.27,94.67,,,,,,,
PSA OpenSTAT monthly,2022.0,6.0,2022Q2,46591.56,434.61,2176.02,99.37,89.8,99.58,,,,,,,
PSA OpenSTAT monthly,2022.0,7.0,2022Q3,47391.5,423.04,2208.28,101.08,87.41,101.06,,,,,,,
PSA OpenSTAT monthly,2022.0,8.0,2022Q3,47870.53,484.11,2229.28,102.1,100.03,102.02,,,,,,,
PSA OpenSTAT monthly,2022.0,9.0,2022Q3,47582.79,480.63,1939.03,101.48,99.31,88.73,,,,,,,
PSA OpenSTAT monthly,2022.0,10.0,2022Q4,47063.89,476.7,2315.01,100.38,98.5,105.94,,,,,,,
PSA OpenSTAT monthly,2022.0,11.0,2022Q4,49704.92,628.16,2307.8,106.01,129.79,105.61,,,,,,,
PSA OpenSTAT monthly,2022.0,12.0,2022Q4,49001.11,474.82,2564.43,104.51,98.11,117.35,,,,,,,
PSA OpenSTAT monthly,2023.0,1.0,2023Q1,47351.76,555.78,2355.29,100.99,114.84,107.78,,,,,,,
PSA OpenSTAT monthly,2023.0,2.0,2023Q1,48796.88,477.39,2180.28,104.07,98.64,99.78,,,,,,,
PSA OpenSTAT monthly,2023.0,3.0,2023Q1,48581.27,423.96,2290.76,103.61,87.6,104.83,,,,,,,
PSA OpenSTAT monthly,2023.0,4.0,2023Q2,48058.08,489.68,2424.06,102.5,101.18,110.93,,,,,,,
