term,coef,se,z,p,odds_ratio,countrycode
const,0.08696239609581824,0.015236525911520206,5.707495041902349,1.1465095957753636e-08,1.090855658515345,ARG
agegrp_15-21,0.06350580598232411,0.012230421344383926,5.192446293887109,2.0754875146162406e-07,1.0655656724389664,ARG
agegrp_22-25,-0.0211585006189501,0.01328559159493155,-1.592590022639418,0.11125219325846314,0.9790637700570257,ARG
agegrp_26-29,-0.05561486891975517,0.013385577127689625,-4.154835341743266,3.255218770624624e-05,0.9459033625322135,ARG
agegrp_40-49,0.09279238474087491,0.010645233228943327,8.716801477733872,2.861712792654833e-18,1.0972339091164456,ARG
agegrp_50-64,0.12060416052184765,0.010401963224240881,11.594365209904801,4.401166682279511e-31,1.1281782464808308,ARG
agegrp_65+,0.06957552874434028,0.012327225229505863,5.644054314656926,1.6609163783109322e-08,1.0720530289661798,ARG
educ_1,-0.210495127655589,0.03930299587698159,-5.355701848134909,8.522494457870574e-08,0.8101830026343557,ARG
educ_3,-0.02168372087715153,0.00918004707947516,-2.3620489840005514,0.018174240633556216,0.978549680947746,ARG
educ_4,-0.015655656070335904,0.010290648791238265,-1.5213478166377177,0.12817257671803187,0.9844662566759976,ARG
labour_employed occ 0,-0.19912395833519714,0.07080933503707007,-2.8121145076556906,0.004921697877694442,0.819448309588743,ARG
labour_employed occ 1,-0.06970511086647278,0.021325019304733194,-3.2687009502965085,0.0010804242683353715,0.932668813255889,ARG
labour_employed occ 2,-0.08846680552732007,0.015507527010276493,-5.704765528939275,1.1650334804469258e-08,0.9153334942443803,ARG
labour_employed occ 3,-0.07257952763835142,0.01675008355404834,-4.333084512931257,1.470346333248829e-05,0.929991783669025,ARG
labour_employed occ 4,-0.054096934013321316,0.014482452934889378,-3.735343332827101,0.00018745925551243538,0.947340272556354,ARG
labour_employed occ 6,0.021267833838583796,0.06653677882937377,0.31964026832622616,0.749241044814979,1.0214956060915996,ARG
labour_employed occ 7,0.02825763234040562,0.015357602039037847,1.8399768576224913,0.06577163500700405,1.0286606665409816,ARG
labour_employed occ 8,0.0077939120716811255,0.015862103833595965,0.4913542461608154,0.6231759189224627,1.00782436366531,ARG
labour_employed occ 9,0.04890934682950829,0.014053270699468762,3.4802821261642065,0.0005008860300655102,1.0501251492507422,ARG
labour_employed occ na,-0.8276663243051942,0.06963578656880678,-11.885646232880289,1.4054384987280243e-32,0.4370680722383652,ARG
labour_inactive,0.060088855133644335,0.01072623731173593,5.602044163977161,2.1183856129538423e-08,1.06193090036546,ARG
labour_status missing,-1.3439019797491094,0.07137406061718,-18.828997091215335,4.369576855882869e-79,0.2608259428525179,ARG
labour_unemployed,-0.03470928274160505,0.01818878640904157,-1.9082791980201168,0.056355140141774375,0.9658861752256336,ARG
quarter_Q2,0.20201257887198076,0.008632782745298304,23.40063277765254,4.210648680510023e-121,1.2238634028356,ARG
quarter_Q3,0.2884697389392511,0.008565883941201334,33.676587369078256,1.2729800219593103e-248,1.3343839690375747,ARG
quarter_Q4,0.18626941590230248,0.00865114456418641,21.531187523256932,7.947100298917025e-103,1.2047467946030401,ARG
year_2022,0.38535257875534695,0.009452474684375326,40.76737485394422,0.0,1.4701325675853596,ARG
year_2023,0.39905951964896813,0.009546293967332396,41.802559298357835,0.0,1.4904223253810993,ARG
year_2024,0.3641056608222227,0.009552540393199761,38.11610794982048,0.0,1.4392262759560994,ARG
year_2025,0.3312352611954419,0.009606919589023499,34.47882103373684,1.6662876780507834e-260,1.3926873990724864,ARG
male,-0.030023091662689214,0.006661469339565222,-4.506977384759494,6.575763909724453e-06,0.9704231246063201,ARG
