term,coef,se,z,p,odds_ratio,countrycode
const,2.7272852518537922,0.031743774842084536,85.91559338551237,0.0,15.291318542796454,BOL
interview_2,0.04799039689726791,0.015344384100202495,3.1275544579618937,0.0017626716171909086,1.0491605800792607,BOL
interview_3,0.13932344690018517,0.016744892719173413,8.320354703775173,8.770046008164587e-17,1.1494958407476341,BOL
agegrp_15-21,0.008335403738961616,0.022669672700691923,0.3676896375617811,0.7131046681372787,1.008370239940706,BOL
agegrp_22-25,-0.25983258802848247,0.022827214720431022,-11.382579574893327,5.106650822062389e-30,0.7711806798753325,BOL
agegrp_26-29,-0.19894382937931415,0.023502029364401118,-8.464963867361064,2.5623211661709057e-17,0.8195959292520382,BOL
agegrp_40-49,0.2931603749402028,0.022504858460322512,13.026537156723872,8.644254249925205e-39,1.3406577811031395,BOL
agegrp_50-64,0.46687495791172073,0.024349424077183823,19.173963065072954,6.107401531058585e-82,1.5950019485726763,BOL
agegrp_65+,0.4152469814443054,0.03130158192964097,13.266006247789289,3.6449510855600606e-40,1.5147448083567827,BOL
educ_1,-0.1650147637604497,0.05175388096151096,-3.18845197103518,0.0014303676968764139,0.8478811860807886,BOL
educ_3,-0.02521125790334729,0.02323866824091464,-1.084883937495164,0.2779730629690441,0.975103891863664,BOL
educ_4,0.13278162590333537,0.02345402273149528,5.661358284821192,1.5017950090700238e-08,1.1420005877527395,BOL
educ_missing,0.06439656727387981,0.03573413380507263,1.802102371507279,0.07152930067413223,1.0665152599587004,BOL
labour_employed occ 0,-0.8806223774753004,0.1733195479153854,-5.08091780798563,3.756156231660285e-07,0.4145248404574001,BOL
labour_employed occ 1,-0.09080722079696328,0.05528399781419257,-1.6425588667115378,0.10047423716953686,0.9131937386926351,BOL
labour_employed occ 2,-0.009956503127868084,0.032892374626332536,-0.30269943234494356,0.7621189304306846,0.9900928987567806,BOL
labour_employed occ 3,0.005895460919348828,0.03261939039171909,0.1807348588845939,0.8565756959080293,1.0059128733503593,BOL
labour_employed occ 4,0.06889479917345552,0.04388330106011141,1.569954800781357,0.11642562702495396,1.071323499102253,BOL
labour_employed occ 6,-0.13289812497361195,0.04036066124404457,-3.2927638169759117,0.0009920777475399287,0.8755542846813023,BOL
labour_employed occ 7,-0.02116289560539717,0.02232243169756613,-0.9480551174764985,0.3431013955392265,0.9790594670944812,BOL
labour_employed occ 8,-0.047073804335189665,0.029119454654796966,-1.6165757529883893,0.10596988931232537,0.9540169844027103,BOL
labour_employed occ 9,-0.01335037979516455,0.029464705625751587,-0.4530973417734258,0.6504786494037964,0.986738341266359,BOL
labour_inactive,0.0005486216317464266,0.020208229952420192,0.02714842581651849,0.9783413507613045,1.000548772152119,BOL
labour_unemployed,-0.37709970590069364,0.03224417128847377,-11.69512785820904,1.349837500902753e-31,0.685847687425396,BOL
quarter_Q2,0.04269532163465578,0.01805587890573844,2.3646216203347787,0.018048500229081357,1.0436198780081745,BOL
quarter_Q3,-0.013615107132520423,0.019402769645370924,-0.7017094662961527,0.48286036830537904,0.9864771592251471,BOL
quarter_Q4,-0.20473964138305775,0.018673969915508168,-10.963905495693643,5.698586552756172e-28,0.8148594444734972,BOL
year_2022,0.05587039132897353,0.02047325201522184,2.7289456158422687,0.006353718132513753,1.0574606187889362,BOL
year_2023,-0.15666954888957113,0.01964783810923726,-7.973882318172925,1.5376596501381847e-15,0.8549865433941098,BOL
year_2024,-0.2743727842793156,0.019178723497349212,-14.306102505583233,2.0043594423047237e-46,0.7600486882405603,BOL
year_2025,-0.08261380596144861,0.02597317311313561,-3.1807359694402417,0.001469014479508349,0.9207066499886615,BOL
male,-0.12820787401646047,0.014501529986564649,-8.840989477333927,9.487459502748145e-19,0.8796704994974467,BOL
