term,coef,se,z,p,odds_ratio,countrycode
const,1.7608079263940577,0.015490923522775014,113.66707245086378,0.0,5.8171353135182144,MEX
interview_2,0.15019770849048122,0.007525484210795804,19.958544099396647,1.26339606766924e-88,1.1620639699313633,MEX
interview_3,0.17610132259470135,0.007592948089954832,23.1927468103827,5.389174982425662e-119,1.1925588856899438,MEX
interview_4,0.26041660034666936,0.007733359334379452,33.67444716928649,1.3682005410908862e-248,1.297470500750014,MEX
agegrp_15-21,0.02092127655892879,0.00981096140962878,2.1324389818102847,0.03297077564969255,1.0211416606878936,MEX
agegrp_22-25,-0.13393629840093693,0.010838012194262954,-12.358013259279724,4.4091957928305986e-35,0.8746457791635084,MEX
agegrp_26-29,-0.12683532356197827,0.011134457198820665,-11.391244431332707,4.623389875121408e-30,0.8808787206238744,MEX
agegrp_40-49,0.17661462849109386,0.009180901428511577,19.237177293137208,1.8078933312334737e-82,1.1931711903341116,MEX
agegrp_50-64,0.3040029021457012,0.00908829838344888,33.44992531267843,2.580190972388829e-245,1.3552729892836441,MEX
agegrp_65+,0.37133216959681115,0.011661072758161427,31.84374004843772,1.6070249095702234e-222,1.4496645279016862,MEX
educ_1,-0.059443200605676795,0.01658969310680705,-3.5831404609459705,0.0003394879348547777,0.9422890535187832,MEX
educ_3,-0.027475101586657422,0.00857986382032947,-3.2022771179137863,0.0013634576481707647,0.9728989058909908,MEX
educ_4,-0.05108600498860622,0.009911174617625435,-5.154384516418261,2.544653198929956e-07,0.9501969453406325,MEX
educ_missing,-0.6420573492850152,0.06250225386718178,-10.272547141250245,9.369753933754319e-25,0.5262087145182078,MEX
urb_0,0.1899380103412499,0.008391123235611348,22.635588229137916,1.9346593518097694e-113,1.2091746390107034,MEX
labour_employed occ 0,-0.5813564343333435,0.07837132819692054,-7.417973482248408,1.1892590318027606e-13,0.5591394160474467,MEX
labour_employed occ 1,-0.24166062358702908,0.019957752411834152,-12.10860915599564,9.509291747967816e-34,0.785322652316415,MEX
labour_employed occ 2,-0.037677972220992784,0.014102905854984695,-2.671646014546388,0.007548022587264772,0.9630230111243109,MEX
labour_employed occ 3,-0.04562451032304042,0.013894570224356806,-3.2836215576543624,0.0010248243779437188,0.9554006379238839,MEX
labour_employed occ 4,-0.04855704630733469,0.015413917242394125,-3.150208058324355,0.0016315422691546523,0.9526029952725502,MEX
labour_employed occ 6,-0.023485414621519627,0.01858955855428913,-1.263365913339609,0.20645770828325194,0.9767882213908508,MEX
labour_employed occ 7,0.06392713095347954,0.01295089463313178,4.936116983759346,7.96933161352167e-07,1.066014716455257,MEX
labour_employed occ 8,-0.00016821525061001645,0.013496173772514152,-0.01246392151178417,0.9900554869382778,0.999831798896782,MEX
labour_employed occ 9,-0.005205286341387002,0.011398490643212555,-0.4566645272886711,0.6479121912237317,0.9948082376859075,MEX
labour_employed occ na,0.15082111187982447,0.14678520720833177,1.0274953092907009,0.3041872930627627,1.1627886304032804,MEX
labour_inactive,0.028049121164440555,0.009531433290884463,2.942802022363811,0.003252563478999384,1.028446201655672,MEX
labour_unemployed,-0.21483026483727535,0.01997489484402444,-10.755013556506535,5.612576669500197e-27,0.8066783502388166,MEX
quarter_Q2,0.07078990074064474,0.008742254074507808,8.097442620326754,5.612656244073256e-16,1.073355690941135,MEX
quarter_Q3,0.009760243550907068,0.008577186175013993,1.1379307096468785,0.2551494167515772,1.0098080300708174,MEX
quarter_Q4,-0.49992221900336936,0.007933054917359616,-63.01761732537711,0.0,0.6065778381066004,MEX
year_2022,0.6028900475498745,0.010141233641284898,59.449379520802374,0.0,1.8273924272106847,MEX
year_2023,0.26094989315142364,0.009185175250595565,28.409898127366016,1.5259871900412492e-177,1.298162616966341,MEX
year_2024,0.2865012529701811,0.009270013362675352,30.90623948005788,9.847883001225607e-210,1.3317598365485275,MEX
year_2025,-0.35263983055559417,0.008356401516599577,-42.19996249044432,0.0,0.7028302857899733,MEX
year_2026,-1.4723794372230694,0.01207996402271984,-121.88607800932496,0.0,0.2293790422998282,MEX
male,-0.06365514465625811,0.0059428852867246095,-10.711151500509834,9.023240759885227e-27,0.9383285313499062,MEX
