term,coef,se,z,p,odds_ratio,countrycode
const,0.2690560139927903,0.012550232137346887,21.438329669786377,5.8682361665765864e-102,1.3087284460991373,PER
agegrp_15-21,-0.3027645148991222,0.008795619987091583,-34.422191425215985,1.1741832868597188e-259,0.738773045933661,PER
agegrp_22-25,-0.33319928449589953,0.010376285641410663,-32.11161450356921,3.0354552653718588e-226,0.7166273672009523,PER
agegrp_26-29,-0.21622473985797086,0.01034660409121812,-20.898136040741694,5.567693846184274e-97,0.805554241382691,PER
agegrp_40-49,0.12557799496902244,0.008407474760247825,14.936470051956578,1.9081905426775142e-50,1.1338035964884163,PER
agegrp_50-64,0.19639940216107632,0.008314846288010866,23.620328669727016,2.3829035344130915e-123,1.2170128858536886,PER
agegrp_65+,0.2338632677801059,0.0100484744936114,23.273509618678045,8.22469561633963e-120,1.2634717231030221,PER
educ_1,-0.1298400919907089,0.01684291673699786,-7.708884038207983,1.2692267307763852e-14,0.8782358566401869,PER
educ_3,-0.10014336672443104,0.008475838270784698,-11.815157808002832,3.2593633489017723e-32,0.9047077037577709,PER
educ_4,-0.09295796721997056,0.009110609991506945,-10.203264908346142,1.917170909522793e-24,0.9112318010970417,PER
urb_0,0.22563181563036938,0.009877614266228888,22.842744163617954,1.7254242717143044e-115,1.2531142032688447,PER
labour_employed occ 0,-0.2788982356390991,0.03257612996498754,-8.56142936373522,1.1147670935925428e-17,0.756616895932285,PER
labour_employed occ 1,-0.17229168380002777,0.03386717651766126,-5.087276280919966,3.6324248397412756e-07,0.8417336172978016,PER
labour_employed occ 2,-0.15571137987339587,0.012326259548107723,-12.632492384707252,1.3977958807545623e-36,0.8558061576110043,PER
labour_employed occ 3,-0.11303620708746191,0.012932542783524613,-8.740447178838192,2.3218951945104673e-18,0.8931183223173803,PER
labour_employed occ 4,-0.11756884734957267,0.014301447012648244,-8.220765859957696,2.0220769875960833e-16,0.8890792988860124,PER
labour_employed occ 6,0.25131160585636,0.01516683550432209,16.569811532850327,1.1518624105715747e-61,1.2857106568878476,PER
labour_employed occ 7,0.024470952894569385,0.012664747309730788,1.9322101180627154,0.05333357684674294,1.0247728239906155,PER
labour_employed occ 8,-0.059600064951431254,0.013298970574594499,-4.481554765245319,7.41012116425723e-06,0.9421412535554667,PER
labour_employed occ 9,-0.021620657150874502,0.009385140339539303,-2.3037116514696483,0.02123883535166376,0.9786113938828771,PER
labour_inactive,-0.11020594332163361,0.008562257710264677,-12.871131312657829,6.543661522431726e-38,0.8956496632351191,PER
labour_unemployed,-0.17853809830239795,0.01355604642977949,-13.17036639164876,1.2996542230510624e-39,0.836492187338002,PER
quarter_Q2,0.37278564891625354,0.007025040299380314,53.065268387020836,0.0,1.451773117337472,PER
quarter_Q3,0.4518456271310843,0.007116202094599657,63.4953337643377,0.0,1.5712093777556424,PER
quarter_Q4,0.3713001563215302,0.007066726672376772,52.54202879713894,0.0,1.4496181201349256,PER
year_2023,0.4971445078580106,0.006998133351883395,71.03958768150868,0.0,1.644020075374865,PER
year_2024,0.48615409588865793,0.007036045672620353,69.09478967432644,0.0,1.626050544610281,PER
year_2025,0.50254006319194,0.007072390612802001,71.05660457756296,0.0,1.65291445012946,PER
year_2026,0.8277157927602184,0.012217612733378956,67.74775161262636,0.0,2.2880863032548584,PER
male,-0.14072700598010895,0.0053760525919300355,-26.176642354904327,4.90342330715184e-151,0.8687264364514479,PER
