term,coef,se,z,p,odds_ratio,countrycode
const,2.051322961164302,0.0465075349131821,44.107325081701426,0.0,7.778184538589464,URY
interview_2,0.46374364610625474,0.027258165119389416,17.013017716896222,6.576149590456708e-65,1.5900153115735662,URY
interview_3,0.5178859107609733,0.028144519487402812,18.400950529383653,1.2908052144946644e-75,1.6784754493022385,URY
interview_4,0.47558378988487265,0.028108532756971394,16.919552293846422,3.2287549409485135e-64,1.6089532139765022,URY
interview_5,0.18579836900731617,0.026211217141680804,7.088505963039066,1.355675406243635e-12,1.2041794360029419,URY
agegrp_15-21,-0.003452404392916429,0.03884924384986789,-0.08886670758015716,0.9291878423390487,0.9965535483027883,URY
agegrp_22-25,-0.10642027402260673,0.043655970937330826,-2.4377026037371965,0.014780928691592917,0.8990467226827209,URY
agegrp_26-29,-0.1153063297678654,0.043386540457408196,-2.6576520863897777,0.007868707786125225,0.8910931337405906,URY
agegrp_40-49,0.16918088784285706,0.03353025424079158,5.04561899912582,4.520554316988181e-07,1.1843343512352003,URY
agegrp_50-64,0.23879688946321725,0.03137245667836044,7.611673255666029,2.705698819161079e-14,1.2697206167555726,URY
agegrp_65+,0.24561717673648484,0.03635346200617166,6.756362755623848,1.4149888697328835e-11,1.2784100747350302,URY
educ_1,-0.13456133221334207,0.07601297621652686,-1.770241594409318,0.07668690299384812,0.874099266789802,URY
educ_3,0.24909378841399754,0.023847551422307062,10.445256370471418,1.540386241573585e-25,1.2828623450525078,URY
educ_4,0.6090827596749472,0.033822037531037456,18.008458512175988,1.6722076190550604e-72,1.8387440548554284,URY
urb_0,0.2478909728142588,0.046027796352468266,5.385679794791338,7.217134901752274e-08,1.2813202258400076,URY
labour_employed occ 0,-0.02537561892317538,0.15418500218970854,-0.1645790353328486,0.8692753335582173,0.9749436359638313,URY
labour_employed occ 1,0.07113597867842976,0.08430440031617926,0.8437991185707742,0.39878166814509874,1.0737272199504542,URY
labour_employed occ 2,0.1343119793458006,0.05107610318213051,2.629644216726209,0.008547426931650712,1.1437495902381472,URY
labour_employed occ 3,0.13341227814223347,0.05452374293491221,2.4468657315308406,0.014410451122735757,1.1427210201274962,URY
labour_employed occ 4,0.19285104325600072,0.05018182974830679,3.843045266050862,0.0001215170452594992,1.2127021399024656,URY
labour_employed occ 6,0.19686958181655884,0.06942794638416501,2.8355956364778847,0.004574031799814183,1.217585235096018,URY
labour_employed occ 7,0.006981307886296617,0.04258648086976276,0.1639324908683282,0.8697842890782141,1.0070057340252456,URY
labour_employed occ 8,0.14747443825936166,0.053457891850118934,2.7587028435920926,0.005803127748172487,1.1589036608563288,URY
labour_employed occ 9,-0.0809758032980195,0.03715935035801174,-2.179150133623386,0.029320516980503548,0.9222160057604936,URY
labour_inactive,0.04689549091618226,0.033182277713740854,1.4132691951029852,0.15757658790518858,1.0480124765324303,URY
labour_unemployed,-0.16870850411481594,0.04541849263415596,-3.7145333173814423,0.0002035790477727308,0.8447551101387569,URY
quarter_Q2,-0.10844304318865702,0.02473833790228184,-4.383602633977053,1.1673261460090102e-05,0.8972299967213109,URY
quarter_Q3,-0.10469537857995327,0.0246600882513678,-4.245539493320598,2.1806809347621702e-05,0.9005988224975319,URY
quarter_Q4,-0.029561490502581257,0.02885704883161504,-1.0244114245734806,0.305640988056601,0.9708711764491034,URY
year_2024,-0.20261886018494368,0.021553161178231094,-9.400888273855193,5.410435445921736e-21,0.8165894168604882,URY
year_2025,-0.1963103296757374,0.02417847791295769,-8.119217859058493,4.691976016670236e-16,0.8217571794655943,URY
male,-0.0828211704891302,0.01944850962486742,-4.258484176249303,2.0581778570820894e-05,0.9205157478828999,URY
