cno2017,isco08,note
00001,1100,
01001,1100,
02001,2600,
03001,1100,
04001,1100,
05001,1300,
05002,1400,
06001,1300,
07001,1200,
10111,2400,
10112,3300,
10113,4100,
10123,4100,
10132,3300,
10133,4100,
10201,2400,
10202,3300,
10203,4100,
10311,2400,
10312,3300,
10313,4100,
10314,4200,
10322,3300,
10323,4100,
10331,2400,
10332,3400,
10333,4100,
11111,2600,
11112,3400,
11131,2600,
11201,2600,
11202,3400,
11311,2600,
11312,3400,
11313,4100,
11331,2600,
11332,3400,
11333,4100,
20111,2400,
20112,3300,
20113,4300,
20131,2400,
20132,3300,
20201,2400,
20202,3300,
20203,4300,
20311,2400,
20312,3300,
20313,4300,
20314,4100,
20331,2400,
20332,4200,
20333,4200,
30111,2400,
30112,3300,
30113,5200,
30123,5200,
30131,2400,
30132,3300,
30133,5200,
30201,2400,
30202,3300,
30203,5200,
30311,2400,
30312,3300,
30313,5200,
30314,5200,
30323,5200,
30331,2400,
30332,3300,
30333,5200,
31111,2400,
31112,3300,
31113,5200,
31123,5200,
31131,2400,
31132,3300,
31133,5200,
31202,3300,
31311,2400,
31312,3300,
31313,5200,
31314,5200,
31323,5200,
31331,2400,
31332,3300,
31333,5200,
32111,2400,
32112,3300,
32113,5200,
32123,5200,
32131,2400,
32201,2400,
32202,3300,
32203,5200,
32311,2400,
32312,3300,
32313,5200,
32314,9300,
32323,8300,
32331,2400,
32332,3300,
32333,5200,
33114,9500,
33123,9500,
33113,9500,
33203,5200,
33314,9500,
34113,9300,
34121,3100,
34122,3100,
34123,8300,
34131,3100,
34201,3100,
34202,3100,
34203,4300,
34311,3100,
34312,3100,
34313,5100,
34314,9300,
34321,3100,
34322,3100,
34323,8300,
34324,9300,
34331,3100,
34332,3100,
34333,8300,
35111,2100,
35112,3500,
35113,4400,
35123,8300,
35131,2500,
35132,3500,
35133,4400,
35201,2100,
35202,3500,
35203,4400,
35311,2100,
35312,3500,
35313,4400,
35314,4400,
35322,3500,
35323,8300,
35332,3500,
35333,4400,
36111,2100,
36112,3100,
36113,4300,
36114,9300,
36202,3100,
36203,4300,
36311,2100,
36312,3100,
36313,4300,
36314,9300,
36323,8300,
36332,3100,
36333,4300,
40111,2200,
40112,3200,
40113,5300,
40131,2200,
40132,3200,
40201,2200,
40202,3200,
40203,5300,
40311,2200,
40312,3200,
40313,5300,
40314,5300,
40321,2200,
40322,3200,
40323,3200,
40331,2200,
40332,3200,
40333,3200,
41111,2300,
41112,2300,
41131,2300,
41132,2300,
41201,2300,
41202,2300,
41203,5300,
41311,2300,
41312,2300,
41313,5300,
41323,5300,
41331,2300,
41332,2300,
41333,5300,
42113,4200,
42313,4200,
42333,4400,
43313,4200,
44111,2100,
44112,5400,
44113,7500,
44122,7500,
44131,2100,
44132,3100,
44201,2100,
44202,5400,
44311,2100,
44312,5400,
44313,7500,
44314,9600,
44322,7500,
44323,3100,
44331,2100,
44332,3100,
45111,2600,
45112,2600,
45131,2500,
45132,3500,
45201,2600,
45202,2600,
45311,2600,
45312,2600,
45313,3500,
45322,3500,
45323,3500,
45331,2500,
45332,3500,
45333,3500,
46111,2600,
46112,3400,
46113,3400,
46201,2600,
46202,3400,
46203,3400,
46311,2600,
46312,3400,
46313,3400,
46331,2600,
46332,3400,
46333,3400,
47112,5400,
47113,5400,
47131,2500,
47202,3300,
47203,5400,
47312,3300,
47313,5400,
47314,9600,
47322,3500,
47323,5400,
47331,2500,
47332,3500,
47333,5400,
48311,3300,
48312,3300,
48313,5400,
48322,5400,
48323,5400,
48331,3100,
48332,3300,
48333,5400,
49311,0100,
49312,0100,
49313,0200,
49314,0300,
49322,0100,
49323,0200,
49331,0100,
49332,0100,
49333,0200,
50111,2600,
50112,3400,
50113,3400,
50122,3500,
50131,2100,
50132,3500,
50201,2600,
50202,3400,
50311,2600,
50312,3400,
50313,3400,
50322,3500,
50331,2100,
50332,3500,
51112,3400,
51113,9600,
51202,3400,
51203,3400,
51312,3400,
51313,5100,
51314,9600,
52112,3400,
52113,3400,
52122,3400,
52123,3400,
52133,3400,
52202,3400,
52203,4200,
52312,3400,
52313,3400,
52314,9600,
52322,3400,
52323,3400,
52333,3400,
53111,3400,
53112,3400,
53113,5100,
53123,5100,
53202,3400,
53203,5100,
53312,3400,
53313,5100,
53314,5100,
53323,5100,
53333,5100,
54111,2400,
54112,5100,
54113,5100,
54131,2400,
54132,5100,
54133,5100,
54202,5100,
54311,2400,
54312,5100,
54313,5100,
54314,9600,
54331,2400,
54332,5100,
54333,5100,
55203,5100,
55313,5100,
55314,9100,
56113,9100,
56114,9100,
56123,8100,
56202,5100,
56203,5100,
56313,9100,
56314,9100,
56323,8100,
56324,9100,
57112,5100,
57113,5100,
57202,5100,
57203,5100,
57312,5100,
57313,5100,
57314,5100,
58112,3400,
58113,5100,
58123,5100,
58132,3400,
58202,3400,
58203,5100,
