code,level,code_orig,title
1000,1,1,Managers
1100,2,11,"Chief Executives, Senior Officials and Legislators"
1110,3,111,Legislators and Senior Officials
1111,4,1111,Legislators
1112,4,1112,Senior Government Officials
1113,4,1113,Traditional Chiefs and Heads of Villages
1114,4,1114,Senior Officials of Special-interest Organizations
1120,3,112,Managing Directors and Chief Executives
1120,4,1120,Managing Directors and Chief Executives
1200,2,12,Administrative and Commercial Managers
1210,3,121,Business Services and Administration Managers
1211,4,1211,Finance Managers
1212,4,1212,Human Resource Managers
1213,4,1213,Policy and Planning Managers
1219,4,1219,Business Services and Administration Managers Not Elsewhere Classified
1220,3,122,"Sales, Marketing and Development Managers"
1221,4,1221,Sales and Marketing Managers
1222,4,1222,Advertising and Public Relations Managers
1223,4,1223,Research and Development Managers
1300,2,13,Production and Specialized Services Managers
1310,3,131,"Production Managers in Agriculture, Forestry and Fisheries"
1311,4,1311,Agricultural and Forestry Production Managers
1312,4,1312,Aquaculture and Fisheries Production Managers
1320,3,132,"Manufacturing, Mining, Construction and Distribution Managers"
1321,4,1321,Manufacturing Managers
1322,4,1322,Mining Managers
1323,4,1323,Construction Managers
1324,4,1324,"Supply, Distribution and Related Managers"
1330,3,133,Information and Communications Technology Service managers
1330,4,1330,Information and Communications Technology Service Managers
1340,3,134,Professional Services Managers
1341,4,1341,Child Care Service Managers
1342,4,1342,Health Service Managers
1343,4,1343,Aged Care Service Managers
1344,4,1344,Social Welfare Managers
1345,4,1345,Education Managers
1346,4,1346,Financial and Insurance Services Branch managers
1349,4,1349,Professional Services Managers Not Elsewhere Classified
1400,2,14,"Hospitality, Retail and Other Services Managers"
1410,3,141,Hotel and Restaurant Managers
1411,4,1411,Hotel Managers
1412,4,1412,Restaurant Managers
1420,3,142,Retail and Wholesale Trade Managers
1420,4,1420,Retail and Wholesale Trade Managers
1430,3,143,Other Services Managers
1431,4,1431,"Sports, Recreation and Cultural Centre Managers"
1439,4,1439,Services Managers Not Elsewhere Classified
2000,1,2,Professionals
2100,2,21,Science and Engineering Professionals
2110,3,211,Physical and Earth Science Professionals
2111,4,2111,Physicists and Astronomers
2112,4,2112,Meteorologists
2113,4,2113,Chemists
2114,4,2114,Geologists and geophysicists
2120,3,212,"Mathematicians, Actuaries and Statisticians"
2120,4,2120,"Mathematicians, Actuaries and Statisticians"
2130,3,213,Life Science Professionals
2131,4,2131,"Biologists, Botanists, Zoologists and Related Professionals"
2132,4,2132,"Farming, Forestry and Fisheries Advisers"
2133,4,2133,Environmental Protection Professionals
2140,3,214,Engineering Professionals (excluding Electrotechnology)
2141,4,2141,Industrial and Production Engineers
2142,4,2142,Civil Engineers
2143,4,2143,Environmental Engineers
2144,4,2144,Mechanical Engineers
2145,4,2145,Chemical Engineers
2146,4,2146,"Mining Engineers, Metallurgists and Related Professionals"
2149,4,2149,Engineering Professionals Not Elsewhere Classified
2150,3,215,Electrotechnology Engineers
2151,4,2151,Electrical Engineers
2152,4,2152,Electronics Engineers
2153,4,2153,Telecommunications Engineers
2160,3,216,"Architects, Planners, Surveyors and Designers"
2161,4,2161,Building Architects
2162,4,2162,Landscape Architects
2163,4,2163,Product and Garment Designers
2164,4,2164,Town and Traffic Planners
2165,4,2165,Cartographers and Surveyors
2166,4,2166,Graphic and Multimedia Designers
2200,2,22,Health Professionals
2210,3,221,Medical Doctors
2211,4,2211,Generalist Medical Practitioners
2212,4,2212,Specialist Medical Practitioners
2220,3,222,Nursing and Midwifery Professionals
2221,4,2221,Nursing Professionals
2222,4,2222,Midwifery Professionals
2230,3,223,Traditional and Complementary Medicine Professionals
2230,4,2230,Traditional and Complementary Medicine Professionals
2240,3,224,Paramedical Practitioners
2240,4,2240,Paramedical Practitioners
2250,3,225,Veterinarians
2250,4,2250,Veterinarians
2260,3,226,Other Health Professionals
2261,4,2261,Dentists
2262,4,2262,Pharmacists
2263,4,2263,Environmental and Occupational Health and Hygiene Professionals
2264,4,2264,Physiotherapists
2265,4,2265,Dieticians and Nutritionists
2266,4,2266,Audiologists and Speech Therapists
2267,4,2267,Optometrists and Ophthalmic Opticians
2269,4,2269,Health Professionals Not Elsewhere Classified
2300,2,23,Teaching Professionals
2310,3,231,University and Higher Education Teachers
2310,4,2310,University and Higher Education Teachers
2320,3,232,Vocational education teachers
2320,4,2320,Vocational Education Teachers
2330,3,233,Secondary Education Teachers
2330,4,2330,Secondary Education Teachers
2340,3,234,Primary School and Early Childhood Teachers
2341,4,2341,Primary School Teachers
2342,4,2342,Early Childhood Educators
2350,3,235,Other Teaching Professionals
2351,4,2351,Education Methods Specialists
2352,4,2352,Special Needs Teachers
2353,4,2353,Other Language Teachers
2354,4,2354,Other Music Teachers
2355,4,2355,Other Arts Teachers
2356,4,2356,Information Technology Trainers
2359,4,2359,Teaching Professionals Not Elsewhere Classified
2400,2,24,Business and Administration Professionals
2410,3,241,Finance Professionals
2411,4,2411,Accountants
2412,4,2412,Financial and Investment Advisers
2413,4,2413,Financial Analysts
2420,3,242,Administration Professionals
2421,4,2421,Management and Organization Analysts
2422,4,2422,Policy Administration Professionals
2423,4,2423,Personnel and Careers Professionals
2424,4,2424,Training and Staff Development Professionals
2430,3,243,"Sales, Marketing and Public Relations Professionals"
2431,4,2431,Advertising and Marketing Professionals
2432,4,2432,Public Relations Professionals
2433,4,2433,Technical and Medical Sales Professionals (excluding ICT)
2434,4,2434,Information and Communications Technology Sales Professionals
2500,2,25,Information and Communications Technology Professionals
2510,3,251,Software and Applications Developers and Analysts
2511,4,2511,Systems Analysts
2512,4,2512,Software Developers
2513,4,2513,Web and Multimedia Developers
2514,4,2514,Applications Programmers
2519,4,2519,Software and Applications Developers and Analysts Not Elsewhere Classified
2520,3,252,Database and Network Professionals
2521,4,2521,Database Designers and Administrators
2522,4,2522,Systems Aministrators
2523,4,2523,Computer Network Professionals
2529,4,2529,Database and Network Professionals Not Elsewhere Classified
2600,2,26,"Legal, Social and Cultural Professionals"
2610,3,261,Legal Professionals
2611,4,2611,Lawyers
2612,4,2612,Judges
2619,4,2619,Legal Professionals Not Elsewhere Classified
2620,3,262,"Librarians, Archivists and Curators"
2621,4,2621,Archivists and Curators
2622,4,2622,Librarians and Related Information Professionals
2630,3,263,Social and Religious Professionals
2631,4,2631,Economists
2632,4,2632,"Sociologists, Anthropologists and Related Professionals"
2633,4,2633,"Philosophers, Historians and Political Scientists"
2634,4,2634,Psychologists
2635,4,2635,Social Work and Counselling Professionals
2636,4,2636,Religious Professionals
2640,3,264,"Authors, Journalists and Linguists"
2641,4,2641,Authors and Related Writers
2642,4,2642,Journalists
2643,4,2643,"Translators, Interpreters and Other Linguists"
2650,3,265,Creative and Performing Artists
2651,4,2651,Visual Artists
2652,4,2652,"Musicians, Singers and Composers"
2653,4,2653,Dancers and Choreographers
2654,4,2654,"Film, Stage and Related Directors and Producers"
2655,4,2655,Actors
2656,4,2656,"Announcers on Radio, Television and Other Media"
2659,4,2659,Creative and Performing Artists Not Elsewhere Classified
3000,1,3,Technicians and Associate Professionals
3100,2,31,Science and Engineering Associate Professionals
3110,3,311,Physical and Engineering Science Technicians
3111,4,3111,Chemical and Physical Science Technicians
3112,4,3112,Civil Engineering Technicians
3113,4,3113,Electrical Engineering Technicians
3114,4,3114,Electronics Engineering Technicians
3115,4,3115,Mechanical Engineering Technicians
3116,4,3116,Chemical Engineering Technicians
3117,4,3117,Mining and metallurgical technicians
3118,4,3118,Draughtspersons
3119,4,3119,Physical and Engineering Science Technicians Not Elsewhere Classified
3120,3,312,"Mining, Manufacturing and Construction Supervisors"
3121,4,3121,Mining Supervisors
3122,4,3122,Manufacturing Supervisors
3123,4,3123,Construction Supervisors
3130,3,313,Process Control Technicians
3131,4,3131,Power Production Plant Operators
3132,4,3132,Incinerator and Water Treatment Plant Operators
3133,4,3133,Chemical Processing Plant Controllers
3134,4,3134,Petroleum and Natural Gas Refining Plant Operators
3135,4,3135,Metal Production Process Controllers
3139,4,3139,Process Control Technicians Not Elsewhere Classified
3140,3,314,Life Science Technicians and Related Associate Professionals
3141,4,3141,Life Science Technicians (excluding Medical)
3142,4,3142,Agricultural Technicians
3143,4,3143,Forestry Technicians
3150,3,315,Ship and Aircraft Controllers and Technicians
3151,4,3151,Ships' Engineers
3152,4,3152,Ships' Deck Officers and Pilots
3153,4,3153,Aircraft Pilots and Related Associate Professionals
3154,4,3154,Air Traffic Controllers
3155,4,3155,Air Traffic Safety Electronics Technicians
3200,2,32,Health Associate Professionals
3210,3,321,Medical and Pharmaceutical Technicians
3211,4,3211,Medical Imaging and Therapeutic Equipment Technicians
3212,4,3212,Medical and Pathology Laboratory Technicians
3213,4,3213,Pharmaceutical Technicians and Assistants
3214,4,3214,Medical and Dental Prosthetic Technicians
3220,3,322,Nursing and Midwifery Associate Professionals
3221,4,3221,Nursing Associate Professionals
3222,4,3222,Midwifery Associate Professionals
3230,3,323,Traditional and Complementary Medicine Associate Professionals
3230,4,3230,Traditional and Complementary Medicine Associate Professionals
3240,3,324,Veterinary Technicians and Assistants
3240,4,3240,Veterinary Technicians and Assistants
3250,3,325,Other Health Associate Professionals
3251,4,3251,Dental Assistants and Therapists
3252,4,3252,Medical Records and Health Information Technicians
3253,4,3253,Community Health Workers
3254,4,3254,Dispensing Opticians
3255,4,3255,Physiotherapy Technicians and Assistants
3256,4,3256,Medical Assistants
3257,4,3257,Environmental and Occupational Health Inspectors and Associates
3258,4,3258,Ambulance Workers
3259,4,3259,Health Associate Professionals Not Elsewhere Classified
3300,2,33,Business and Administration Associate Professionals
3310,3,331,Financial and Mathematical Associate Professionals
3311,4,3311,Securities and Finance Dealers and Brokers
3312,4,3312,Credit and Loans Officers
3313,4,3313,Accounting Associate Professionals
3314,4,3314,"Statistical, Mathematical and Related Associate Professionals"
3315,4,3315,Valuers and Loss Assessors
3320,3,332,Sales and Purchasing Agents and Brokers
3321,4,3321,Insurance Representatives
3322,4,3322,Commercial Sales Representatives
3323,4,3323,Buyers
3324,4,3324,Trade Brokers
3330,3,333,Business Services Agents
3331,4,3331,Clearing and Forwarding Aents
3332,4,3332,Conference and Event Planners
3333,4,3333,Employment agents and contractors
3334,4,3334,Real Estate Agents and Property Managers
3339,4,3339,Business Services Agents Not Elsewhere Classified
3340,3,334,Administrative and Specialized Secretaries
3341,4,3341,Office Supervisors
3342,4,3342,Legal Secretaries
3343,4,3343,Administrative and Executive Secretaries
3344,4,3344,Medical Secretaries
3350,3,335,Government Regulatory  Associate Professionals
3351,4,3351,Customs and Border Inspectors
