isco88,isco08,digits,rule,targets
0110,0110,4,whole-multi-similar,"0110,0210,0310"
1110,1111,4,whole,1111
1120,1112,4,whole,1112
1130,1113,4,whole,1113
1141,1114,4,partial,1114
1142,1114,4,partial,1114
1143,1114,4,partial,1114
1210,1120,4,whole,1120
1221,1310,3,whole-multi,"1311,1312"
1222,1320,3,partial,"1321,1322"
1223,1323,4,partial-similar,"1323,3123"
1224,1420,4,partial,1420
1225,1410,3,partial,"1411,1412"
1226,1300,2,partial-similar,"1324,1330"
1227,1346,4,whole,"1219,1346"
1228,1219,4,partial,1219
1229,1210,3,partial-similar,"1213,1219,1341,1342,1343,1344,1345,1349,1439,2654,3435"
1231,1210,3,partial,"1211,1219"
1232,1212,4,partial,1212
1233,1221,4,partial,1221
1234,1222,4,partial,1222
1235,1324,4,partial,1324
1236,1330,4,partial,1330
1237,1223,4,partial,1223
1239,1213,4,partial,1213
1311,6000,1,partial,"6111,6112,6113,6114,6121,6122,6130,6210,6221,6222,6223"
1312,1320,3,partial,"1321,1322"
1313,1323,4,partial,1323
1314,5221,4,whole,"1420,5221"
1315,1410,3,partial,"1411,1412"
1316,1300,2,partial-similar,"1324,1330"
1317,1346,4,whole,"1211,1212,1219,1221,1222,1330,1346"
1318,1219,4,partial,1219
1319,1431,4,whole,"1223,1341,1342,1343,1344,1345,1349,1431,1439"
2111,2111,4,whole,2111
2112,2112,4,whole,2112
2113,2113,4,whole,"2113,2262"
2114,2114,4,whole,2114
2121,2120,4,partial,2120
2122,2120,4,partial,2120
2131,2500,2,whole-multi-similar,"2511,2512,2513,2519,2521,2522,2523"
2132,2514,4,whole,"2513,2514,2519,2523"
2139,2529,4,whole,"2513,2519,2529"
2141,2160,3,whole-multi,"2161,2162,2164"
2142,2142,4,whole,2142
2143,2151,4,whole,2151
2144,2150,3,whole-multi,"2152,2153"
2145,2144,4,whole,2144
2146,2145,4,whole,2145
2147,2146,4,whole,2146
2148,2165,4,whole,2165
2149,2140,3,whole-multi,"2141,2143,2149"
2211,2133,4,whole,"2131,2133"
2212,2212,4,whole,"2131,2212,2250"
2213,2132,4,partial,2132
2221,2210,3,whole-multi,"2211,2212"
2222,2261,4,whole,2261
2223,2250,4,partial,2250
2224,2262,4,partial,2262
2229,2260,3,partial,"2263,2269"
2230,2220,3,partial-similar,"1342,1343,2221,2222,3221,3222"
2310,2310,4,whole,"2310,2320"
2320,2330,4,whole,"2320,2330"
2331,2341,4,partial,2341
2332,2342,4,partial,2342
2340,2352,4,partial,2352
2351,2351,4,partial,2351
2352,2351,4,partial,2351
2359,2354,4,whole,"2353,2354,2355,2356,2359"
2411,2411,4,whole,"2411,2412"
2412,2420,3,whole-multi,"2263,2423,2424"
2419,2413,4,whole-multi-similar,"2412,2413,2421,2422,2431,2432,3339"
2421,2611,4,whole,2611
