scian,isic
1110,0100
1121,0140
1122,0320
1130,0200
1141,0310
1142,0170
1150,000A
1199,000A
2110,0600
2121,0500
2122,0700
2123,0800
2129,000B
2131,0900
2132,0910
2199,000B
2211,3510
2212,3600
2213,3520
2361,4100
2362,4100
2363,4100
2370,4200
2381,4300
2382,4300
2399,000F
3110,1000
3120,1100
3130,1300
3140,1300
3150,1400
3160,1500
3210,1600
3220,1700
3230,1800
3240,1900
3250,2000
3260,2100
3270,2300
3310,2400
3320,2500
3330,2800
3340,2600
3350,2700
3360,2900
3370,3100
3380,3200
3399,000C
4310,4630
4320,4641
4330,4600
4340,4600
4350,4600
4360,4500
4370,4600
4399,4600
4611,4720
4612,4780
4620,4710
4631,4770
4632,4780
4641,4770
4642,4780
4651,4760
4652,4780
4661,4740
4662,4780
4671,4750
4672,4780
4681,4500
4682,4500
4690,4700
4699,4700
4810,5100
4820,4910
4830,5000
4840,4923
4850,4900
4860,4930
4870,4900
4881,5200
4882,5200
4899,000H
4910,5310
4920,5320
4930,5210
5110,5800
5120,5900
5150,6000
5170,6100
5180,6300
5190,6390
5199,000J
5210,6411
5221,6400
5222,6400
5223,6400
5229,000K
5230,6400
5240,6500
5250,6500
5299,6400
5310,6800
5321,7710
5322,7700
5330,7740
5399,0000
5411,000M
5412,000M
5413,7500
5414,7420
5510,7000
5611,000N
5612,8129
5613,8130
5614,8000
5615,7900
5616,0000
5621,3800
5622,3800
6111,8500
6112,8500
6119,8500
6121,8500
6122,8500
6129,8500
6131,8500
6132,8500
6139,8500
6141,8500
6142,8500
6149,8500
6150,8500
6199,8500
6211,8600
6212,8600
6219,8600
6221,8600
6222,8600
6229,8600
6231,8700
6232,8700
6239,8700
6241,8700
6242,8700
6249,8700
6251,8500
6252,8500
6259,8500
6299,000Q
7111,9000
7112,9300
7113,7490
7114,9000
7115,9000
7120,9100
7131,9320
7132,9200
7133,9200
7210,5500
7221,5600
7222,5600
7223,5600
8111,4520
8112,3300
8119,0000
8121,9600
8122,5221
8123,4520
8124,7420
8125,8130
8130,9400
8140,9700
9311,8400
9312,8400
9313,8400
9314,8400
9319,8400
9320,8400
9399,8400
9700,0000
9800,0000
9999,0000
