sinco,isco,match
1112,1111,100.0
1129,1120,100.0
1131,1114,100.0
1132,1114,100.0
1133,1114,100.0
1134,1114,100.0
1135,1114,100.0
1223,1345,100.0
1225,0110,100.0
1226,1349,100.0
1313,1321,100.0
1314,1321,100.0
1315,1323,100.0
1321,1330,100.0
1322,1330,100.0
1323,1324,100.0
1324,1223,100.0
1421,2654,100.0
1521,1342,100.0
1523,1345,100.0
1525,0110,100.0
1526,1349,100.0
1612,1322,100.0
1613,1321,100.0
1614,1321,100.0
1615,1323,100.0
1621,1330,100.0
1622,1330,100.0
1623,1324,100.0
1624,1223,100.0
2113,2421,100.0
2121,2411,100.0
2134,2632,100.0
2136,2631,100.0
2141,2633,100.0
2142,2634,100.0
2143,2635,100.0
2145,2636,100.0
2151,2641,100.0
2152,2642,100.0
2153,2643,100.0
2161,2651,100.0
2163,2651,100.0
2164,3432,100.0
2171,2652,100.0
2172,2652,100.0
2173,2652,100.0
2174,2653,100.0
2212,2120,100.0
2221,2131,100.0
2222,2113,100.0
2231,2132,100.0
2232,2250,100.0
2233,2132,100.0
2241,2151,100.0
2242,2152,100.0
2251,2145,100.0
2252,2144,100.0
2253,2141,100.0
2254,2146,100.0
2261,2142,100.0
2281,2153,100.0
2311,2351,100.0
2322,2320,100.0
2331,2330,100.0
2332,2341,100.0
2333,2359,100.0
2335,2342,100.0
2339,2359,100.0
2341,2352,100.0
2342,2352,100.0
2343,2352,100.0
2411,2211,100.0
2412,2261,100.0
2421,2212,100.0
2422,2212,100.0
2423,2212,100.0
2424,2212,100.0
2425,2212,100.0
2426,2212,100.0
2427,2212,100.0
2428,2212,100.0
2431,2149,100.0
2432,2267,100.0
2433,2265,100.0
2434,2263,100.0
2435,2230,100.0
2438,2262,100.0
2513,3331,100.0
2521,3355,100.0
2522,3351,100.0
2532,3411,100.0
2533,3413,100.0
2541,2163,100.0
2542,2163,100.0
2543,2166,100.0
2544,3432,100.0
2551,2656,100.0
2553,2659,100.0
2561,3421,100.0
2562,3422,100.0
2563,3422,100.0
2613,3142,100.0
2622,3112,100.0
2623,3117,100.0
2624,3112,100.0
2630,3115,100.0
2631,7231,100.0
2632,7232,100.0
2633,3115,100.0
2637,7127,100.0
2638,7127,100.0
2641,3113,100.0
2645,7412,100.0
2646,7412,100.0
2653,3521,100.0
2654,3521,100.0
2655,3431,100.0
2661,3154,100.0
2662,8312,100.0
2714,2353,100.0
2716,3423,100.0
2811,3221,100.0
2813,3212,100.0
2814,3213,100.0
2815,3214,100.0
2816,2265,100.0
2817,3230,100.0
2822,3251,100.0
2823,5329,100.0
2824,3222,100.0
2825,3257,100.0
2826,3230,100.0
2827,7544,100.0
3101,3341,100.0
