period,population,source_url,tolerance,indicator,value
2021Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,46.298
2021Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,10.161
2021Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,41.594
2021Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",144035.69,population,28807138.0
2021Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",59909.935,employed,11981987.0
2021Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,45.905
2021Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,9.601
2021Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,41.498
2021Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",144362.195,population,28872439.0
2021Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",59907.4,employed,11981480.0
2021Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,46.707
2021Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,8.236
2021Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,42.86
2021Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",144697.805,population,28939561.0
2021Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",62017.69,employed,12403538.0
2021Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,46.853
2021Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,6.967
2021Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,43.589
2021Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",145031.84,population,29006368.0
2021Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",63217.91,employed,12643582.0
2022Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,46.526
2022Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,6.969
2022Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,43.284
2022Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",145366.075,population,29073215.0
2022Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",62919.885,employed,12583977.0
2022Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,47.877
2022Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,6.86
2022Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,44.593
2022Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",145685.0,population,29137000.0
2022Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",64965.0,employed,12993000.0
2022Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,47.634
2022Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,7.109
2022Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,44.247
2022Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",146020.0,population,29204000.0
2022Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",64610.0,employed,12922000.0
2022Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,47.615
2022Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,6.282
2022Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,44.624
2022Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",146346.605,population,29269321.0
2022Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",65305.51,employed,13061102.0
2023Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,48.287
2023Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,6.875
2023Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,44.968
2023Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",146675.775,population,29335155.0
2023Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",65956.80500000001,employed,13191361.0
2023Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,47.552
2023Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,6.238
2023Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,44.586
2023Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",146994.265,population,29398853.0
2023Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",65538.195,employed,13107639.0
2023Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,48.228
2023Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,5.726
2023Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,45.467
2023Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",147319.095,population,29463819.0
2023Q3,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",66981.01,employed,13396202.0
2023Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,48.562
2023Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,5.732
2023Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,45.779
2023Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",147645.0,population,29529000.0
2023Q4,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",67590.0,employed,13518000.0
2024Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,47.991
2024Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,7.661
2024Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,44.315
2024Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",147965.0,population,29593000.0
2024Q1,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",65570.0,employed,13114000.0
2024Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,participation_rate,48.509
2024Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,unemployment_rate,7.564
2024Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",0.06,employment_rate,44.84
2024Q2,all,"https://apis.datos.gob.ar/series/api/series/?ids=49.2_TAEP_0_0_37,49.2_TAEP_0_0_25,49.2_TAEO_0_0_30&start_date=2021-01-01&format=json",148281.71,population,29656342.0
