period,population,source_url,tolerance,indicator,value
2021Q1,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202101/c629/all?formato=json,0.06,participation_rate,59.656
2021Q1,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202101/c629/all?formato=json,0.06,unemployment_rate,14.908
2021Q1,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202101/c629/all?formato=json,0.06,employment_rate,50.762
2021Q1,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202101/c629/all?formato=json,842130.0,population,168426000.0
2021Q1,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202101/c629/all?formato=json,427485.0,employed,85497000.0
2021Q2,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202102/c629/all?formato=json,0.06,participation_rate,60.631
2021Q2,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202102/c629/all?formato=json,0.06,unemployment_rate,14.242
2021Q2,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202102/c629/all?formato=json,0.06,employment_rate,51.996
2021Q2,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202102/c629/all?formato=json,843755.0,population,168751000.0
2021Q2,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202102/c629/all?formato=json,438715.0,employed,87743000.0
2021Q3,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202103/c629/all?formato=json,0.06,participation_rate,61.792
2021Q3,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202103/c629/all?formato=json,0.06,unemployment_rate,12.651
2021Q3,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202103/c629/all?formato=json,0.06,employment_rate,53.975
2021Q3,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202103/c629/all?formato=json,845445.0,population,169089000.0
2021Q3,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202103/c629/all?formato=json,456325.0,employed,91265000.0
2021Q4,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202104/c629/all?formato=json,0.06,participation_rate,62.434
2021Q4,14+,https://apisidra.ibge.gov.br/values/t/4092/n1/all/v/all/p/202104/c629/all?formato=json,0.06,unemployment_rate,11.149
