period,population,source_url,tolerance,indicator,value
2022Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,63.42
2022Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,13.215
2022Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,55.039
2022Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",193972.54166666666,population,38794508.33333333
2022Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",106760.88833333334,employed,21352177.666666668
2022Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,63.673
2022Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,11.026
2022Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,56.653
2022Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",194649.74166666667,population,38929948.333333336
2022Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",110274.58833333332,employed,22054917.666666664
2022Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,63.71
2022Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,10.789
2022Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,56.836
2022Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",195311.21333333332,population,39062242.666666664
2022Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",111007.33166666667,employed,22201466.333333332
