period,population,source_url,tolerance,indicator,value
2022Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,participation_rate,49.906
2022Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,unemployment_rate,19.429
2022Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,employment_rate,40.21
2022Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,14934.860904300662,population,2986972.1808601324
2022Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,6005.336138633305,employed,1201067.2277266611
2022Q2,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,participation_rate,51.537
2022Q2,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,unemployment_rate,18.148
2022Q2,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,employment_rate,42.184
2022Q2,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,15052.154762393287,population,3010430.9524786575
2022Q2,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,6349.659935397639,employed,1269931.9870795277
2022Q3,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,participation_rate,53.535
2022Q3,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,unemployment_rate,15.58
2022Q3,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,employment_rate,45.194
2022Q3,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,15030.866125215885,population,3006173.225043177
2022Q3,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,6793.116245937185,employed,1358623.2491874371
2022Q4,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,participation_rate,52.665
2022Q4,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,unemployment_rate,16.051
2022Q4,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,employment_rate,44.212
2022Q4,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,14760.663380708325,population,2952132.676141665
2022Q4,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,6526.016576626087,employed,1305203.3153252173
2023Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,participation_rate,51.958
2023Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,unemployment_rate,18.001
2023Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,employment_rate,42.605
2023Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,14926.629873439602,population,2985325.9746879204
2023Q1,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,6359.5589633395575,employed,1271911.7926679114
2023Q2,15+,Geostat 30-Labour-Force-Indicators-Q.xlsx,0.05,participation_rate,53.15
