period,population,source_url,tolerance,indicator,value
2021,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,participation_rate,51.8
2021,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,employment_rate,48.0
2021,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,unemployment_rate,7.3
2021,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,participation_rate,53.3
2021,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,employment_rate,49.8
2021,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,unemployment_rate,6.4
2021,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,participation_rate,48.4
2021,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,employment_rate,43.8
2021,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,unemployment_rate,9.4
2022,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,participation_rate,52.8
2022,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,employment_rate,49.8
2022,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,unemployment_rate,5.7
2022,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.25,participation_rate,54.4
2022,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.25,employment_rate,51.7
2022,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.25,unemployment_rate,5.0
2022,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,participation_rate,48.9
2022,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,employment_rate,45.2
2022,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,unemployment_rate,7.6
2023,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,participation_rate,56.2
2023,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,employment_rate,53.4
2023,15+,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,unemployment_rate,5.0
2023,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,participation_rate,58.8
2023,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,employment_rate,56.2
2023,15+ rural,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,unemployment_rate,4.3
2023,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,participation_rate,50.3
2023,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,employment_rate,47.0
2023,15+ urban,"MoSPI, PLFS Key Labour Force Indicators Calendar Year 2023, Statement 2 (CWS, 15+)",0.15,unemployment_rate,6.7
2024,15+,"MoSPI, Press note PLFS key indicators January-December 2024 (CWS, 15+)",0.15,participation_rate,56.2
2024,15+,"MoSPI, Press note PLFS key indicators January-December 2024 (CWS, 15+)",0.15,employment_rate,53.5
2024,15+,"MoSPI, Press note PLFS key indicators January-December 2024 (CWS, 15+)",0.15,unemployment_rate,4.9
2024,15+ rural,"MoSPI, Press note PLFS key indicators January-December 2024 (CWS, 15+)",0.15,unemployment_rate,4.2
2024,15+ urban,"MoSPI, Press note PLFS key indicators January-December 2024 (CWS, 15+)",0.15,participation_rate,51.0
2024,15+ urban,"MoSPI, Press note PLFS key indicators January-December 2024 (CWS, 15+)",0.15,employment_rate,47.6
2024,15+ urban,"MoSPI, Press note PLFS key indicators January-December 2024 (CWS, 15+)",0.15,unemployment_rate,6.7
2021Q4,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,participation_rate,47.3
2021Q4,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,employment_rate,43.2
2021Q4,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",0.7,unemployment_rate,8.7
2022Q1,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,participation_rate,47.3
2022Q1,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,employment_rate,43.4
2022Q1,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",0.7,unemployment_rate,8.2
2022Q2,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,participation_rate,47.5
2022Q2,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,employment_rate,43.9
2022Q2,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",0.7,unemployment_rate,7.6
2022Q3,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,participation_rate,47.9
2022Q3,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,employment_rate,44.5
2022Q3,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",0.7,unemployment_rate,7.2
2022Q4,15+ urban,"PIB PRID 1902106 (PLFS Quarterly Bulletin Oct-Dec 2022), urban CWS 15+; first-visit sample only in our file (participation about 1 pp above the all-visit bulletin)",2.0,participation_rate,48.2
