period,population,source_url,tolerance,indicator,value
2023Q4,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2024/enoe/enoe2024_02.pdf,0.06,participation_rate,60.5
2023Q4,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2024/enoe/enoe2024_02.pdf,0.06,unemployment_rate,2.7
2024Q1,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2024/enoe/enoe2024_05.pdf,0.06,unemployment_rate,2.5
2024Q4,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_02.pdf,0.06,participation_rate,59.9
2025Q1,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_05.pdf,0.06,participation_rate,59.2
2025Q1,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_05.pdf,0.06,unemployment_rate,2.5
2025Q1,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_05.pdf,50000.0,employed,59000000.0
2025Q2,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_08.pdf,0.06,participation_rate,59.5
2025Q2,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_08.pdf,0.06,unemployment_rate,2.7
2025Q3,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_11.pdf,0.06,participation_rate,59.5
2025Q3,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_11.pdf,0.06,unemployment_rate,2.9
2025Q3,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/enoe/enoe2025_11.pdf,50000.0,employed,59500000.0
2025Q4,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2026/enoe/enoe2026_02.pdf,0.06,participation_rate,59.3
2025Q4,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2026/enoe/enoe2026_02.pdf,0.06,unemployment_rate,2.5
2026Q1,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2026/enoe/enoe2026_05.pdf,0.06,participation_rate,58.7
2026Q1,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2026/enoe/enoe2026_05.pdf,0.06,unemployment_rate,2.6
2026Q2,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2026/enoe/enoe2026_08.pdf,0.06,participation_rate,59.1
2026Q2,15+,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2026/enoe/enoe2026_08.pdf,0.06,unemployment_rate,2.7
