period,population,source_url,tolerance,indicator,value
2022Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,0.05,participation_rate,71.908
2022Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,0.05,unemployment_rate,6.196
2022Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,0.05,employment_rate,67.453
2022Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,126620.0,population,25324000.0
2022Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,85409.0,employed,17081800.0
2022Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,0.05,participation_rate,71.642
2022Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,0.05,unemployment_rate,4.192
2022Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,0.05,employment_rate,68.639
2022Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,127134.0,population,25426800.0
2022Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,87263.0,employed,17452600.0
2022Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,0.05,participation_rate,71.091
2022Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,0.05,unemployment_rate,4.344
2022Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,0.05,employment_rate,68.003
2022Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,127670.0,population,25534000.0
2022Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,86820.0,employed,17364000.0
2022Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,0.05,participation_rate,70.767
2022Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,0.05,unemployment_rate,3.913
2022Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,0.05,employment_rate,67.998
2022Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,128209.5,population,25641900.0
2022Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,87180.5,employed,17436100.0
2023Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,0.05,participation_rate,70.241
2023Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,0.05,unemployment_rate,5.855
2023Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,0.05,employment_rate,66.128
2023Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,128743.5,population,25748700.0
2023Q1,14+,https://cdn.www.gob.pe/uploads/document/file/4980278/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20Nacional%20y%20en%2026%20Ciudades%20-%20I%20Trimestre%202023.pdf,85136.0,employed,17027200.0
2023Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,0.05,participation_rate,70.641
2023Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,0.05,unemployment_rate,5.339
2023Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,0.05,employment_rate,66.869
2023Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,129279.5,population,25855900.0
2023Q2,14+,https://cdn.www.gob.pe/uploads/document/file/5137425/Per%C3%BA%3A%20Comportamiento%20de%20los%20Indicadores%20del%20Mercado%20Laboral%20a%20nivel%20nacional%20y%2026%20ciudades%20-%20Segundo%20trimestre%202023.pdf,86448.5,employed,17289700.0
2023Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,0.05,participation_rate,69.858
2023Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,0.05,unemployment_rate,5.13
2023Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,0.05,employment_rate,66.274
2023Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,129819.0,population,25963800.0
2023Q3,14+,https://cdn.www.gob.pe/uploads/document/file/5425564/4848417-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-tercer-trimestre-del-ano-2023.pdf,86036.0,employed,17207200.0
2023Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,0.05,participation_rate,69.579
2023Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,0.05,unemployment_rate,5.21
2023Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,0.05,employment_rate,65.954
2023Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,130358.5,population,26071700.0
2023Q4,14+,https://cdn.www.gob.pe/uploads/document/file/5863603/5196099-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-de-26-ciudades-cuarto-trimestre-del-ano-2023.pdf,85976.5,employed,17195300.0
2024Q1,14+,https://cdn.www.gob.pe/uploads/document/file/6350623/5575916-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-26-ciudades-primer-trimestre-2024.pdf,0.05,participation_rate,70.067
2024Q1,14+,https://cdn.www.gob.pe/uploads/document/file/6350623/5575916-peru-comportamiento-de-los-indicadores-del-mercado-laboral-a-nivel-nacional-y-26-ciudades-primer-trimestre-2024.pdf,0.05,unemployment_rate,6.382
