period,population,source_url,tolerance,indicator,value
2021Q1,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,participation_rate,60.498
2021Q1,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,unemployment_rate,8.767
2021Q1,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,employment_rate,55.194
2021Q1,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,373662.89,population,74732578.0
2021Q1,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,206238.64500000002,employed,41247729.0
2021Q2,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,participation_rate,63.234
2021Q2,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,unemployment_rate,8.728
2021Q2,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,employment_rate,57.715
2021Q2,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,374852.575,population,74970515.0
2021Q2,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,216344.845,employed,43268969.0
2021Q3,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,participation_rate,59.412
2021Q3,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,unemployment_rate,7.192
2021Q3,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,employment_rate,55.139
2021Q3,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,377870.97000000003,population,75574194.0
2021Q3,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,208354.91,employed,41670982.0
2021Q4,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,participation_rate,62.627
2021Q4,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,unemployment_rate,7.404
2021Q4,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,employment_rate,57.99
2021Q4,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,377834.255,population,75566851.0
2021Q4,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,219107.77000000002,employed,43821554.0
2022Q1,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,participation_rate,60.535
2022Q1,15+,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1B/LFS/0011B3FKEI1.px,0.05,unemployment_rate,6.388
