period,population,source_url,tolerance,indicator,value
2022Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,56.894
2022Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,34.518
2022Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,37.255
2022Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",200162.8697362039,population,40032573.94724078
2022Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",74571.03742182083,employed,14914207.484364165
2022Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,58.63
2022Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,33.937
2022Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,38.733
2022Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",200886.91902613328,population,40177383.805226654
2022Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",77809.29061616004,employed,15561858.123232007
2022Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,58.258
2022Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,32.886
2022Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,39.099
2022Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",201608.22740015347,population,40321645.48003069
2022Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",78827.01832001601,employed,15765403.6640032
2022Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,58.543
2022Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,32.731
2022Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,39.381
2022Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",202311.28183804688,population,40462256.367609374
2022Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",79672.46537402525,employed,15934493.07480505
2023Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,59.416
2023Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,32.882
2023Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,39.879
2023Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",203017.84436079537,population,40603568.87215907
2023Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",80961.39325503427,employed,16192278.651006855
2023Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,59.559
2023Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,32.642
2023Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.118
2023Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",203727.87888400842,population,40745575.77680168
2023Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",81730.9643306495,employed,16346192.8661299
2023Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,60.152
2023Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,31.915
2023Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.955
2023Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",204429.67808496815,population,40885935.61699363
2023Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",83723.90583578005,employed,16744781.167156009
2023Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,60.014
2023Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,32.071
2023Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.767
2023Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",205107.55214966377,population,41021510.42993275
